SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SMARTLINK, EQ, 01-Jan-2020,84.25,86.0,86.3,82.6, 83.05,83.15,83.75,3552,2.97,306, 2614, 73.59,-1.31
SMARTLINK, EQ, 01-Jan-2024,181.35,182.7,182.7,177.2, 177.95,177.75,179.55,20834,37.41,571, 12295, 59.01,-1.99
SMARTLINK, EQ, 01-Feb-2022,167.1,167.35,174.3,162.4,164.6,165.7,167.54,28909,48.43,990, 10644, 36.82,-0.84
SMARTLINK, EQ, 01-Feb-2023,135.3,135.5,139.25,127.2, 130.25,130.45,133.66,37942,50.71,1065, 22180, 58.46,-3.58
SMARTLINK, EQ, 01-Feb-2024,183.85,187.95,187.95,180.1, 180.90,181.55,183.29,18386,33.7,706, 6635, 36.09,-1.25
SMARTLINK, EQ, 01-Mar-2021,90.5,92.5,92.55,89.5, 89.50,90.0,90.43,28557,25.82,468, 19669, 68.88,-0.55
SMARTLINK, EQ, 01-Mar-2023,138.35,138.65,142.0,138.1, 141.00,141.0,140.58,19101,26.85,475, 11652, 61.00,1.92
SMARTLINK, EQ, 01-Mar-2024,170.55,173.9,174.8,170.1, 170.45,171.0,171.67,4352,7.47,229, 3405, 78.24,0.26
SMARTLINK, EQ, 01-Apr-2020,62.35,67.75,67.85,61.25,65.0,65.05,64.17,935,0.6,57, 626, 66.95,4.33
SMARTLINK, EQ, 01-Apr-2021,83.7,83.55,85.25,83.5, 85.25,84.95,84.28,6492,5.47,150, 3577, 55.10,1.49
SMARTLINK, EQ, 01-Apr-2022,113.75,115.7,119.4,108.45, 119.40,119.1,116.77,60387,70.51,1037, 26361, 43.65,4.7
SMARTLINK, EQ, 01-Apr-2024,170.85,173.0,173.85,170.1, 173.50,173.6,173.09,4501,7.79,158, 3234, 71.85,1.61
SMARTLINK, EQ, 01-Apr-2025,126.71,132.06,132.06,125.99,126.22,126.46,128.31,9613,12.33,448, 5213, 54.23,-0.2
SMARTLINK, EQ, 01-Jun-2020,62.25,65.7,65.7,62.3, 62.75,63.55,63.68,4657,2.97,154, 3042, 65.32,2.09
SMARTLINK, EQ, 01-Jun-2021,93.6,93.15,97.45,93.05, 93.20,93.55,94.78,7860,7.45,279, 3756, 47.79,-0.05
SMARTLINK, EQ, 01-Jun-2022,113.55,115.7,116.7,112.4,114.0,113.95,114.74,8008,9.19,370, 4451, 55.58,0.35
SMARTLINK, EQ, 01-Jun-2023,160.8,157.7,159.9,157.0, 157.00,157.5,158.03,7776,12.29,204, 4210, 54.14,-2.05
SMARTLINK, EQ, 01-Jul-2020,69.7,69.5,72.0,67.05, 69.30,69.55,69.35,3053,2.12,88, 1917, 62.79,-0.22
SMARTLINK, EQ, 01-Jul-2021,113.1,117.4,117.4,111.0, 112.20,112.5,112.99,79435,89.75,2105, 24990, 31.46,-0.53
SMARTLINK, EQ, 01-Jul-2022,111.75,110.0,111.55,108.15,108.8,109.55,109.66,9520,10.44,427, 3866, 40.61,-1.97
SMARTLINK, EQ, 01-Aug-2022,137.6,135.2,143.0,135.2, 138.00,138.0,139.09,17889,24.88,532, 8100, 45.28,0.29
SMARTLINK, EQ, 01-Aug-2023,172.5,172.5,181.45,172.5, 176.00,176.0,177.83,59878,106.48,2180, 20409, 34.08,2.03
SMARTLINK, EQ, 01-Sep-2020,70.7,72.0,72.0,69.0, 70.00,69.85,70.03,6445,4.51,163, 4711, 73.10,-1.2
SMARTLINK, EQ, 01-Sep-2021,103.25,101.2,106.6,101.2,103.95,103.7,104.88,18498,19.4,498, 6028, 32.59,0.44
SMARTLINK, EQ, 01-Sep-2022,133.95,133.75,140.95,129.9,140.65,139.7,137.44,165107,226.92,2550, 71610, 43.37,4.29
SMARTLINK, EQ, 01-Sep-2023,171.3,174.7,176.6,172.5, 174.00,174.55,174.95,18935,33.13,1232, 12552, 66.29,1.9
SMARTLINK, EQ, 01-Oct-2020,70.75,70.85,72.85,70.0, 70.20,70.6,70.69,4022,2.84,117, 1977, 49.15,-0.21
SMARTLINK, EQ, 01-Oct-2021,118.1,116.8,120.7,116.8, 117.80,118.75,118.45,37949,44.95,1092, 19481, 51.33,0.55
SMARTLINK, EQ, 01-Oct-2024,290.55,282.0,305.05,280.0,282.2,285.0,295.66,122695,362.76,1589, 52608, 42.88,-1.91
SMARTLINK, EQ, 01-Nov-2021,113.3,116.7,118.7,110.35, 114.05,114.75,115.13,86266,99.32,1665, 16511, 19.14,1.28
SMARTLINK, EQ, 01-Nov-2022,168.25,166.2,169.4,160.0,161.1,161.45,164.31,71848,118.05,2358, 34404, 47.88,-4.04
SMARTLINK, EQ, 01-Nov-2023,170.25,169.0,177.05,168.95, 172.00,172.35,174.13,7818,13.61,357, 4688, 59.96,1.23
SMARTLINK, EQ, 01-Dec-2020,72.55,72.0,74.4,72.0,73.0,73.15,73.55,9619,7.07,242, 4528, 47.07,0.83
SMARTLINK, EQ, 01-Dec-2021,102.2,104.3,104.3,101.1,101.9,101.85,102.21,18823,19.24,541, 9418, 50.03,-0.34
