SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SONAMLTD, EQ, 01-Feb-2024,85.2,86.4,88.95,79.2, 79.50,80.65,82.71,47510,39.3,438, 32536, 68.48,-5.34
SONAMLTD, EQ, 01-Mar-2024,81.25,80.5,86.4,80.5, 83.50,84.05,84.76,54478,46.18,393, 36636, 67.25,3.45
SONAMLTD, EQ, 01-Apr-2024,79.35,80.0,80.0,78.0, 78.50,79.6,78.98,3058,2.42,55, 1893, 61.90,0.32
SONAMLTD, EQ, 01-Apr-2025,40.79,41.48,43.2,40.1,42.11,42.31,42.11,74200,31.24,841, 43333, 58.40,3.73
SONAMLTD, EQ, 01-Jul-2024,39.39,38.45,39.99,38.45,39.74,39.41,39.36,17515,6.89,294, 12452, 71.09,0.05
SONAMLTD, EQ, 01-Aug-2024,55.95,57.55,57.55,54.5,55.79,55.08,56.3,71479,40.24,1067, 31419, 43.96,-1.55
SONAMLTD, EQ, 02-Feb-2024,80.65,86.0,91.7,81.05, 82.80,82.15,86.98,172932,150.41,1380, 97279, 56.25,1.86
SONAMLTD, EQ, 02-Apr-2024,79.6,80.0,83.25,78.5, 82.90,82.0,81.69,26490,21.64,147, 20410, 77.05,3.02
SONAMLTD, EQ, 02-Apr-2025,42.31,42.3,45.5,41.22,44.15,43.78,43.34,238375,103.3,2223, 134259, 56.32,3.47
SONAMLTD, EQ, 02-May-2024,82.55,82.6,83.95,82.3, 83.45,83.0,83.13,41378,34.4,430, 33602, 81.21,0.55
SONAMLTD, EQ, 02-Jul-2024,39.41,40.85,40.85,38.5,38.75,38.65,39.09,10456,4.09,458, 5374, 51.40,-1.93
SONAMLTD, EQ, 02-Aug-2024,55.08,55.88,55.88,52.92,54.0,54.46,53.87,56092,30.22,1349, 18965, 33.81,-1.13
SONAMLTD, EQ, 02-Sep-2024,53.87,54.01,54.9,53.11,54.9,54.29,54.21,40826,22.13,646, 18404, 45.08,0.78
SONAMLTD, EQ, 03-Feb-2025,60.82,59.98,68.0,48.9,49.49,50.16,55.13,1260181,694.72,6398, 610598, 48.45,-17.53
SONAMLTD, EQ, 03-Mar-2025,44.48,44.0,45.8,42.02,45.5,45.03,43.74,121129,52.98,1054, 85166, 70.31,1.24
SONAMLTD, EQ, 03-Apr-2024,82.0,83.7,84.25,80.6, 81.55,82.5,82.31,42425,34.92,362, 32341, 76.23,0.61
SONAMLTD, EQ, 03-Apr-2025,43.78,44.45,45.45,43.92,44.9,44.39,44.59,148437,66.19,711, 111104, 74.85,1.39
SONAMLTD, EQ, 03-May-2024,83.0,83.75,84.95,83.55, 84.55,84.25,84.12,35249,29.65,407, 24472, 69.43,1.51
SONAMLTD, EQ, 03-Jun-2024,39.9,41.0,42.0,39.6,39.7,39.8,40.44,21880,8.85,194, 15651, 71.53,-0.25
SONAMLTD, EQ, 03-Jul-2024,38.65,39.86,39.86,37.22,38.85,38.01,38.67,15748,6.09,361, 10373, 65.87,-1.66
SONAMLTD, EQ, 03-Sep-2024,54.29,54.99,56.2,54.11,54.42,54.65,55.22,67424,37.23,969, 29349, 43.53,0.66
