SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SONATSOFTW, EQ, 01-Jan-2020,309.2,310.5,315.0,308.45, 313.00,312.8,312.46,71221,222.54,2362, 26065, 36.60,1.16
SONATSOFTW, EQ, 01-Jan-2021,394.55,396.5,400.0,390.0, 393.95,393.3,394.66,146354,577.6,4620, 84520, 57.75,-0.32
SONATSOFTW, EQ, 01-Jan-2024,742.75,736.0,739.9,720.4, 722.70,722.9,724.1,1066481,7722.44,39834, 507889, 47.62,-2.67
SONATSOFTW, EQ, 01-Jan-2025,599.4,604.85,613.5,602.05,606.8,605.3,606.89,272422,1653.31,17264, 127041, 46.63,0.98
SONATSOFTW, EQ, 01-Feb-2021,386.0,377.0,388.05,355.55, 370.00,369.95,369.45,791205,2923.08,24799, 403994, 51.06,-4.16
SONATSOFTW, EQ, 01-Feb-2022,811.0,824.0,832.35,818.0,824.0,823.85,823.9,66759,550.03,6217, 32591, 48.82,1.58
SONATSOFTW, EQ, 01-Feb-2023,607.0,609.95,644.4,609.95, 619.80,620.1,629.5,378597,2383.26,22330, 167027, 44.12,2.16
SONATSOFTW, EQ, 01-Feb-2024,768.0,769.9,778.0,752.9, 769.90,764.65,761.24,398384,3032.66,33777, 172996, 43.42,-0.44
SONATSOFTW, EQ, 01-Mar-2021,478.0,485.0,493.4,465.55, 477.00,476.05,482.6,353774,1707.3,10869, 113301, 32.03,-0.41
SONATSOFTW, EQ, 01-Mar-2023,726.3,735.0,791.0,722.0, 781.45,770.95,751.72,1020369,7670.28,29014, 273204, 26.78,6.15
SONATSOFTW, EQ, 01-Mar-2024,810.95,815.0,825.0,806.55, 818.20,817.3,817.08,379858,3103.73,20537, 232323, 61.16,0.78
SONATSOFTW, EQ, 01-Apr-2020,164.2,169.9,178.75,163.0,166.0,167.8,168.48,351205,591.71,3948, 289819, 82.52,2.19
SONATSOFTW, EQ, 01-Apr-2021,509.2,513.3,528.9,512.55, 521.95,525.7,523.54,441480,2311.33,21259, 137043, 31.04,3.24
SONATSOFTW, EQ, 01-Apr-2022,739.4,739.05,764.6,736.0, 750.00,751.65,756.16,131757,996.29,6192, 76301, 57.91,1.66
SONATSOFTW, EQ, 01-Apr-2024,722.35,722.0,729.5,711.5, 718.50,716.15,718.08,1119265,8037.23,40967, 799219, 71.41,-0.86
SONATSOFTW, EQ, 01-Apr-2025,345.7,345.0,358.6,343.55,348.75,348.6,350.77,651868,2286.54,31410, 175756, 26.96,0.84
SONATSOFTW, EQ, 01-Jun-2020,202.9,203.8,211.0,203.0, 205.40,205.05,206.56,430645,889.56,14148, 257195, 59.72,1.06
SONATSOFTW, EQ, 01-Jun-2021,672.55,679.0,679.0,655.0, 663.05,660.4,661.91,125901,833.35,6864, 54416, 43.22,-1.81
SONATSOFTW, EQ, 01-Jun-2022,685.15,688.8,695.0,670.15,679.0,675.15,678.94,88931,603.79,5194, 41815, 47.02,-1.46
SONATSOFTW, EQ, 01-Jun-2023,971.75,976.85,1004.9,971.8, 986.80,987.15,992.04,595430,5906.88,21878, 169730, 28.51,1.58
SONATSOFTW, EQ, 01-Jul-2020,238.6,239.0,241.95,234.05, 237.85,238.5,239.01,350419,837.54,8248, 80125, 22.87,-0.04
SONATSOFTW, EQ, 01-Jul-2021,746.8,752.0,764.7,742.05, 757.00,755.15,753.21,107963,813.19,7130, 43572, 40.36,1.12
SONATSOFTW, EQ, 01-Jul-2022,669.45,669.45,671.95,655.0,655.0,662.35,667.09,57392,382.85,3731, 14169, 24.69,-1.06
