SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SPENCERS, EQ, 01-Jan-2020,56.6,57.0,58.1,56.35, 57.80,57.65,57.35,91987,52.75,933, 48409, 52.63,1.86
SPENCERS, EQ, 01-Jan-2021,85.25,85.55,92.3,85.3, 90.80,91.15,90.08,3423166,3083.74,24924, 1265399, 36.97,6.92
SPENCERS, EQ, 01-Jan-2024,107.75,108.2,112.0,107.0, 110.50,109.05,108.81,274936,299.16,2632, 150314, 54.67,1.21
SPENCERS, EQ, 01-Jan-2025,81.26,81.5,83.5,80.94,82.71,82.33,82.16,167179,137.35,1989, 124979, 74.76,1.32
SPENCERS, EQ, 01-Feb-2021,76.7,76.55,77.35,74.5, 76.40,76.15,75.88,353154,267.99,4925, 169025, 47.86,-0.72
SPENCERS, EQ, 01-Feb-2022,98.05,99.1,99.95,97.4,99.55,99.1,98.95,155135,153.51,2571, 70222, 45.27,1.07
SPENCERS, EQ, 01-Feb-2023,68.4,68.7,69.85,66.1, 66.95,66.85,68.03,92869,63.18,1735, 48611, 52.34,-2.27
SPENCERS, EQ, 01-Feb-2024,130.15,131.75,139.3,126.6, 134.85,136.1,134.2,3709429,4978.21,19048, 1898373, 51.18,4.57
SPENCERS, EQ, 01-Mar-2021,77.05,77.75,78.5,77.0, 77.60,77.5,77.78,221620,172.38,2545, 115125, 51.95,0.58
SPENCERS, EQ, 01-Mar-2023,59.75,59.6,61.9,59.6, 61.20,61.5,60.73,65200,39.6,1149, 40627, 62.31,2.93
SPENCERS, EQ, 01-Mar-2024,114.75,115.4,117.05,112.1, 113.00,113.0,114.86,647882,744.19,4500, 453308, 69.97,-1.53
SPENCERS, EQ, 01-Apr-2020,74.25,77.5,79.3,74.7,76.85,77.1,77.47,1962291,1520.12,17225, 605812, 30.87,3.84
SPENCERS, EQ, 01-Apr-2021,70.6,70.9,73.9,70.9, 72.60,72.5,72.62,268472,194.96,1996, 133114, 49.58,2.69
SPENCERS, EQ, 01-Apr-2022,80.35,80.4,85.25,80.4, 84.20,84.15,83.87,362260,303.81,4295, 168406, 46.49,4.73
SPENCERS, EQ, 01-Apr-2024,91.3,92.8,98.6,92.15, 98.00,97.65,96.64,520384,502.87,5171, 232533, 44.68,6.96
SPENCERS, EQ, 01-Apr-2025,64.17,65.05,66.86,64.7,66.02,65.91,65.62,135047,88.61,1830, 56818, 42.07,2.71
SPENCERS, EQ, 01-Jun-2020,89.05,91.7,97.25,90.1, 94.60,94.95,94.57,5249998,4964.91,37971, 1215251, 23.15,6.63
SPENCERS, EQ, 01-Jun-2021,73.55,74.2,75.75,72.0, 73.60,73.0,73.72,381661,281.38,3398, 182068, 47.70,-0.75
SPENCERS, EQ, 01-Jun-2022,75.2,75.4,76.6,74.4,75.8,75.8,75.86,94642,71.79,1661, 39699, 41.95,0.8
SPENCERS, EQ, 01-Jun-2023,57.15,57.15,58.45,57.15, 58.20,58.0,58.06,56851,33.01,1565, 33273, 58.53,1.49
SPENCERS, EQ, 01-Jul-2020,87.15,87.45,100.9,86.65, 98.80,98.8,92.1,17015492,15670.95,67915, 2197369, 12.91,13.37
SPENCERS, EQ, 01-Jul-2021,77.95,78.0,78.9,77.4, 77.80,77.6,78.02,186174,145.25,2870, 95159, 51.11,-0.45
SPENCERS, EQ, 01-Jul-2022,69.5,69.9,70.4,68.6,69.9,69.95,69.51,42018,29.21,668, 22756, 54.16,0.65
SPENCERS, EQ, 01-Jul-2024,90.21,91.0,93.78,89.89,91.0,90.66,91.52,325950,298.3,3385, 202272, 62.06,0.5
SPENCERS, EQ, 01-Aug-2022,71.4,71.1,74.0,71.1, 73.45,73.25,73.1,140705,102.85,1872, 85068, 60.46,2.59
SPENCERS, EQ, 01-Aug-2023,61.75,62.15,63.4,61.95, 62.55,62.2,62.61,179582,112.43,1628, 100308, 55.86,0.73
SPENCERS, EQ, 01-Aug-2024,87.14,88.88,89.0,84.44,85.0,85.27,86.52,397970,344.32,5299, 206687, 51.94,-2.15
SPENCERS, EQ, 01-Sep-2020,84.3,83.3,84.4,81.05, 82.50,82.6,82.39,532221,438.52,4516, 258311, 48.53,-2.02
SPENCERS, EQ, 01-Sep-2021,101.65,102.8,103.7,100.25,101.3,101.5,101.76,530583,539.93,6894, 176976, 33.36,-0.15
SPENCERS, EQ, 01-Sep-2022,79.15,78.8,80.0,78.45,78.7,79.0,79.28,299702,237.6,2560, 145194, 48.45,-0.19
SPENCERS, EQ, 01-Sep-2023,61.45,61.45,62.4,61.15, 61.65,61.4,61.66,172589,106.42,1661, 109060, 63.19,-0.08
SPENCERS, EQ, 01-Oct-2020,75.55,76.2,79.15,76.0, 77.35,77.25,77.91,364166,283.72,3621, 126984, 34.87,2.25
SPENCERS, EQ, 01-Oct-2021,127.15,125.0,135.25,123.4, 128.80,129.45,130.88,4644876,6079.27,59710, 1109823, 23.89,1.81
SPENCERS, EQ, 01-Oct-2024,107.25,107.7,109.8,104.08,106.83,107.67,107.41,553935,595.01,4877, 254756, 45.99,0.39
SPENCERS, EQ, 01-Nov-2021,125.6,126.9,137.9,119.55, 135.50,135.5,132.0,1961268,2588.89,24297, 797940, 40.68,7.88
SPENCERS, EQ, 01-Nov-2022,72.95,73.0,74.0,72.85,74.0,73.6,73.33,102425,75.11,987, 68276, 66.66,0.89
SPENCERS, EQ, 01-Nov-2023,67.5,67.55,69.2,65.1, 65.45,65.45,66.42,104196,69.2,1267, 56168, 53.91,-3.04
SPENCERS, EQ, 01-Dec-2020,81.55,81.8,82.7,80.4,80.9,80.95,81.41,596587,485.71,5018, 232900, 39.04,-0.74
SPENCERS, EQ, 01-Dec-2021,100.6,102.75,103.65,98.8,99.8,99.35,100.17,447254,448.02,5058, 176356, 39.43,-1.24
SPENCERS, EQ, 01-Dec-2022,69.3,69.85,71.0,69.2,70.5,70.7,70.05,103860,72.75,1617, 56341, 54.25,2.02
SPENCERS, EQ, 01-Dec-2023,77.75,78.85,80.45,77.05, 78.00,77.8,78.65,370841,291.65,3636, 187978, 50.69,0.06
SPENCERS, EQ, 02-Jan-2020,57.65,58.5,64.7,57.0, 64.00,62.8,61.43,690295,424.04,9257, 408097, 59.12,8.93
SPENCERS, EQ, 02-Jan-2023,65.2,65.2,66.9,65.1, 66.20,66.15,66.21,45243,29.96,849, 24629, 54.44,1.46
SPENCERS, EQ, 02-Jan-2024,109.05,110.0,114.1,106.95, 108.50,108.35,109.68,444730,487.77,3517, 251385, 56.53,-0.64
SPENCERS, EQ, 02-Jan-2025,82.33,83.3,84.0,82.02,83.0,83.07,82.9,75244,62.38,1180, 40932, 54.40,0.9
SPENCERS, EQ, 02-Feb-2021,76.15,77.0,77.8,76.5, 76.90,76.95,76.95,255581,196.67,2427, 147776, 57.82,1.05
SPENCERS, EQ, 02-Feb-2022,99.1,100.0,102.2,99.55, 100.60,100.75,101.01,243500,245.97,3869, 105359, 43.27,1.66
SPENCERS, EQ, 02-Feb-2023,66.85,66.3,68.4,66.2, 66.70,66.65,67.04,81680,54.76,1556, 44600, 54.60,-0.3
SPENCERS, EQ, 02-Feb-2024,136.1,136.0,136.0,122.5, 122.50,122.5,127.84,2326422,2974.13,12903, 1230835, 52.91,-9.99
SPENCERS, EQ, 02-Mar-2020,91.15,94.9,96.9,85.0, 85.40,86.1,90.87,1690683,1536.29,15902, 648752, 38.37,-5.54
SPENCERS, EQ, 02-Mar-2021,77.5,77.9,79.85,77.5,78.35,78.25,78.68,340569,267.97,3107, 159760, 46.91,0.97
SPENCERS, EQ, 02-Mar-2022,80.3,79.8,81.25,78.45, 79.40,79.4,80.01,138153,110.54,2877, 67002, 48.50,-1.12
SPENCERS, EQ, 02-Mar-2023,61.5,62.15,62.15,60.55, 61.50,61.1,61.13,65743,40.19,758, 38947, 59.24,-0.65
SPENCERS, EQ, 02-Apr-2024,97.65,98.15,103.0,96.9, 101.10,101.65,100.56,550473,553.54,6535, 233079, 42.34,4.1
SPENCERS, EQ, 02-Apr-2025,65.91,66.6,67.6,64.01,66.69,66.17,66.05,222278,146.8,2487, 98275, 44.21,0.39
SPENCERS, EQ, 02-May-2022,87.7,86.0,87.6,85.1,86.8,86.7,86.2,190116,163.87,3013, 73287, 38.55,-1.14
SPENCERS, EQ, 02-May-2023,60.1,60.4,61.75,60.25, 61.10,60.95,61.05,214297,130.84,2136, 116479, 54.35,1.41
SPENCERS, EQ, 02-May-2024,101.0,101.05,102.2,98.1, 98.80,98.65,99.38,218523,217.16,2810, 124833, 57.13,-2.33
SPENCERS, EQ, 02-Jun-2020,94.95,95.0,96.45,92.15,92.7,92.65,94.12,1528432,1438.58,11601, 481116, 31.48,-2.42
SPENCERS, EQ, 02-Jun-2021,73.0,73.7,76.3,73.3, 76.00,75.85,75.29,502032,377.99,4833, 239288, 47.66,3.9
SPENCERS, EQ, 02-Jun-2022,75.8,76.0,78.6,75.6,77.15,77.35,77.56,171712,133.19,2278, 73683, 42.91,2.04
SPENCERS, EQ, 02-Jun-2023,58.0,58.3,63.0,57.85, 61.50,62.35,61.23,503840,308.53,4368, 212144, 42.11,7.5
SPENCERS, EQ, 02-Jul-2020,98.8,97.5,101.3,93.25, 94.80,95.45,97.1,4516055,4385.07,30080, 1116724, 24.73,-3.39
SPENCERS, EQ, 02-Jul-2021,77.6,77.95,80.95,77.3,80.0,79.7,79.75,556387,443.71,5720, 252680, 45.41,2.71
SPENCERS, EQ, 02-Jul-2024,90.66,91.0,92.59,88.61,89.0,89.1,89.83,223232,200.53,4424, 118738, 53.19,-1.72
SPENCERS, EQ, 02-Aug-2021,108.1,109.4,109.4,104.6,105.55,105.8,106.38,1413679,1503.85,13025, 573797, 40.59,-2.13
SPENCERS, EQ, 02-Aug-2022,73.25,73.25,75.65,72.75,75.0,74.95,74.67,201232,150.27,2437, 100012, 49.70,2.32
SPENCERS, EQ, 02-Aug-2023,62.2,62.2,62.8,60.4, 60.50,60.7,61.4,165733,101.75,1527, 122730, 74.05,-2.41
SPENCERS, EQ, 02-Aug-2024,85.27,84.06,85.35,83.19,84.0,84.2,84.09,245421,206.39,3898, 118713, 48.37,-1.25
SPENCERS, EQ, 02-Sep-2020,82.6,83.55,86.0,82.4, 86.00,85.1,84.35,411035,346.7,4050, 140638, 34.22,3.03
SPENCERS, EQ, 02-Sep-2021,101.5,102.0,104.8,101.25, 102.25,102.4,103.1,507993,523.75,6411, 156666, 30.84,0.89
SPENCERS, EQ, 02-Sep-2022,79.0,79.75,82.3,78.15,78.25,78.35,80.04,235372,188.39,2505, 120990, 51.40,-0.82
SPENCERS, EQ, 02-Sep-2024,104.31,105.7,106.7,99.6,101.0,100.39,102.28,553850,566.49,9421, 273086, 49.31,-3.76
SPENCERS, EQ, 02-Nov-2020,74.25,74.9,74.9,72.45, 73.00,72.75,73.52,144322,106.1,1785, 78273, 54.23,-2.02
SPENCERS, EQ, 02-Nov-2021,135.5,134.0,135.55,128.55, 129.70,129.8,131.93,894674,1180.37,14659, 371587, 41.53,-4.21
SPENCERS, EQ, 02-Nov-2022,73.6,73.6,74.55,72.2,73.4,73.05,73.47,59870,43.99,873, 33308, 55.63,-0.75
SPENCERS, EQ, 02-Nov-2023,65.45,66.45,67.95,65.8, 66.85,66.8,66.85,145529,97.29,1780, 72897, 50.09,2.06
SPENCERS, EQ, 02-Dec-2020,80.95,81.0,81.55,78.95, 79.55,79.5,80.12,456116,365.43,3920, 234625, 51.44,-1.79
SPENCERS, EQ, 02-Dec-2021,99.35,99.0,104.2,98.45, 101.50,101.3,101.31,658380,667.01,8666, 233808, 35.51,1.96
SPENCERS, EQ, 02-Dec-2022,70.7,70.7,70.9,68.85, 69.15,69.0,69.62,270119,188.06,2852, 190467, 70.51,-2.4
SPENCERS, EQ, 02-Dec-2024,85.57,86.0,86.6,84.19,85.88,85.88,85.55,386839,330.93,1760, 336025, 86.86,0.36
SPENCERS, EQ, 03-Jan-2020,62.8,62.85,64.5,60.4, 62.10,62.55,62.73,452841,284.06,8860, 231817, 51.19,-0.4
SPENCERS, EQ, 03-Jan-2022,99.25,99.95,109.5,99.65, 107.85,107.4,105.4,757333,798.22,10526, 290771, 38.39,8.21
