SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SPMLINFRA, EQ, 01-Jan-2020,11.95,12.45,12.45,11.8, 11.80,11.85,11.99,19737,2.37,75, 16969, 85.98,-0.84
SPMLINFRA, EQ, 01-Feb-2023,27.35,27.75,28.7,27.7, 28.70,28.65,28.59,81996,23.44,251, 51409, 62.70,4.75
SPMLINFRA, EQ, 01-Mar-2021,13.3,13.1,13.45,12.9, 13.10,13.05,13.12,51194,6.72,209, 46849, 91.51,-1.88
SPMLINFRA, EQ, 01-Mar-2023,23.05,23.2,24.2,22.3, 24.20,24.15,23.69,33127,7.85,331, 12620, 38.10,4.77
SPMLINFRA, EQ, 01-Apr-2020,5.15,5.1,5.4,4.9,5.2,5.2,5.32,38080,2.03,78, 29994, 78.77,0.97
SPMLINFRA, EQ, 01-Apr-2021,9.85,9.85,10.35,9.75, 10.00,10.0,9.97,39283,3.92,75, 37874, 96.41,1.52
SPMLINFRA, EQ, 01-Apr-2022,57.6,57.05,60.45,56.8, 60.45,60.45,60.22,126902,76.42,442, 99831, 78.67,4.95
SPMLINFRA, EQ, 01-Apr-2024,129.55,129.55,132.85,124.85, 127.60,127.85,127.5,94375,120.33,542, 80662, 85.47,-1.31
SPMLINFRA, EQ, 01-Apr-2025,158.78,155.99,162.0,154.51,161.5,159.46,159.02,120188,191.12,1404, 55557, 46.23,0.43
SPMLINFRA, EQ, 01-Jun-2020,7.05,7.35,7.4,6.95, 7.40,7.4,7.26,18138,1.32,49, 11625, 64.09,4.96
SPMLINFRA, EQ, 01-Jun-2022,38.25,39.05,39.8,37.5,38.65,38.6,39.02,56000,21.85,518, 38528, 68.80,0.92
SPMLINFRA, EQ, 01-Jul-2020,10.2,9.7,9.7,9.7, 9.70,9.7,9.7,9716,0.94,31, 9716, 100.00,-4.9
SPMLINFRA, EQ, 01-Jul-2022,36.2,36.9,38.0,34.65,38.0,38.0,36.02,85810,30.91,736, 45380, 52.88,4.97
SPMLINFRA, EQ, 01-Jul-2024,159.08,162.0,167.03,157.98,167.03,167.03,166.2,56571,94.02,464, 46433, 82.08,5.0
SPMLINFRA, EQ, 01-Aug-2024,196.08,199.0,199.0,186.27,186.27,186.27,188.68,138755,261.8,1502, 92954, 66.99,-5.0
