SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SREINFRA, EQ, 01-Jan-2020,7.9,8.0,8.65,7.85, 8.65,8.6,8.3,997737,82.84,1375, 434297, 43.53,8.86
SREINFRA, EQ, 01-Jan-2021,6.65,6.55,7.95,6.55, 7.95,7.95,7.56,10485405,792.6,7666, 6069521, 57.89,19.55
SREINFRA, EQ, 01-Feb-2021,7.15,7.3,7.45,7.1, 7.40,7.3,7.24,1062321,76.92,1693, 634144, 59.69,2.1
SREINFRA, EQ, 01-Feb-2022,6.15,6.1,6.25,6.0,6.1,6.05,6.12,862240,52.8,1357, 450738, 52.28,-1.63
SREINFRA, EQ, 01-Mar-2021,6.35,6.55,6.55,6.35, 6.45,6.4,6.43,872033,56.05,956, 554209, 63.55,0.79
SREINFRA, EQ, 01-Apr-2020,3.6,3.7,3.95,3.5,3.95,3.95,3.85,917603,35.35,1160, 579626, 63.17,9.72
SREINFRA, EQ, 01-Apr-2021,5.05,5.2,6.05,5.15, 6.05,6.05,5.83,6626032,386.51,4572, 2917786, 44.04,19.8
SREINFRA, EQ, 01-Apr-2022,5.1,5.2,5.35,5.2, 5.35,5.35,5.32,356820,18.99,378, 298100, 83.54,4.9
SREINFRA, EQ, 01-Jun-2020,4.0,4.05,4.4,4.0, 4.30,4.35,4.36,6825670,297.55,3391, 4718267, 69.13,8.75
SREINFRA, EQ, 01-Jun-2021,7.15,7.2,7.4,7.05, 7.20,7.15,7.22,1796389,129.67,1401, 795073, 44.26,0.0
SREINFRA, EQ, 01-Jul-2020,9.5,9.95,9.95,9.05, 9.05,9.05,9.3,5739635,533.84,5268, 3192936, 55.63,-4.74
SREINFRA, EQ, 01-Jul-2021,14.3,14.3,14.3,13.6, 13.60,13.6,13.81,3462438,478.07,3365, 1995654, 57.64,-4.9
SREINFRA, EQ, 01-Sep-2020,7.4,7.4,7.65,6.8, 7.20,7.2,7.25,823032,59.7,1314, 563306, 68.44,-2.7
SREINFRA, EQ, 01-Oct-2020,6.6,6.6,6.85,6.6, 6.80,6.75,6.73,355614,23.93,510, 204521, 57.51,2.27
SREINFRA, EQ, 01-Nov-2021,4.0,4.1,4.2,4.0, 4.20,4.2,4.15,4167263,172.76,2017, 2909634, 69.82,5.0
SREINFRA, EQ, 01-Dec-2020,6.0,5.95,6.0,5.85,5.95,5.95,5.93,1265574,75.05,1281, 936278, 73.98,-0.83
SREINFRA, EQ, 02-Jan-2020,8.6,8.95,9.45,8.75, 9.45,9.45,9.28,1074777,99.76,1480, 754915, 70.24,9.88
SREINFRA, EQ, 02-Feb-2021,7.3,7.45,7.6,7.2, 7.25,7.25,7.37,788148,58.1,1253, 447489, 56.78,-0.68
SREINFRA, EQ, 02-Feb-2022,6.05,6.15,6.2,6.05, 6.20,6.15,6.15,810285,49.82,1012, 491410, 60.65,1.65
SREINFRA, EQ, 02-Mar-2020,7.85,7.9,8.2,7.5, 7.55,7.65,7.84,532273,41.73,790, 371561, 69.81,-2.55
SREINFRA, EQ, 02-Mar-2021,6.4,6.45,7.1,6.4,6.85,6.85,6.79,2762613,187.46,2662, 1297868, 46.98,7.03
SREINFRA, EQ, 02-Mar-2022,5.05,4.95,5.2,4.95, 5.15,5.05,5.04,883161,44.54,941, 351622, 39.81,0.0
SREINFRA, EQ, 02-May-2022,5.45,5.5,5.5,5.3,5.35,5.3,5.36,349123,18.73,609, 197273, 56.51,-2.75
SREINFRA, EQ, 02-Jun-2020,4.35,4.45,4.7,4.3,4.65,4.65,4.49,6613294,297.11,3292, 4485115, 67.82,6.9
SREINFRA, EQ, 02-Jun-2021,7.15,7.15,7.3,7.1, 7.25,7.2,7.21,1291948,93.19,1031, 557171, 43.13,0.7
SREINFRA, EQ, 02-Jul-2020,9.05,8.6,8.65,8.6, 8.60,8.6,8.6,1372705,118.08,1784, 977755, 71.23,-4.97
