SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SRF, EQ, 01-Jan-2020,3436.1,3431.5,3453.0,3425.3, 3441.00,3439.55,3439.71,106572,3665.77,4662, 15352, 14.41,0.1
SRF, EQ, 01-Jan-2021,5573.9,5550.0,5730.0,5549.0, 5730.00,5681.2,5637.6,183896,10367.32,14400, 28705, 15.61,1.93
SRF, EQ, 01-Jan-2024,2479.25,2488.75,2497.45,2460.0, 2462.20,2467.7,2483.01,158733,3941.36,12008, 63256, 39.85,-0.47
SRF, EQ, 01-Jan-2025,2237.95,2237.0,2243.5,2209.2,2211.1,2211.3,2216.5,136970,3035.94,13798, 80836, 59.02,-1.19
SRF, EQ, 01-Feb-2021,5369.95,5390.0,5539.7,5296.0, 5486.10,5490.95,5437.5,343680,18687.62,36085, 169195, 49.23,2.25
SRF, EQ, 01-Feb-2022,2406.8,2424.05,2485.0,2366.1,2445.0,2447.2,2410.72,812910,19596.98,55883, 280286, 34.48,1.68
SRF, EQ, 01-Feb-2023,2182.45,2200.0,2248.0,2182.8, 2225.00,2224.65,2218.01,1054831,23396.25,76102, 517337, 49.04,1.93
SRF, EQ, 01-Feb-2024,2325.1,2320.0,2324.95,2279.0, 2306.70,2308.45,2298.66,1374086,31585.59,37529, 1020644, 74.28,-0.72
SRF, EQ, 01-Mar-2021,5437.95,5438.0,5519.4,5388.6, 5421.00,5421.75,5439.95,109665,5965.72,13681, 36417, 33.21,-0.3
SRF, EQ, 01-Mar-2023,2168.55,2184.05,2241.75,2184.05, 2236.00,2235.45,2222.83,618814,13755.17,31898, 287770, 46.50,3.09
SRF, EQ, 01-Mar-2024,2389.65,2389.65,2409.9,2380.5, 2395.00,2397.35,2398.38,282374,6772.41,21424, 167818, 59.43,0.32
SRF, EQ, 01-Apr-2020,2783.3,2800.65,2817.85,2620.0,2650.0,2654.95,2715.51,247051,6708.69,32420, 83454, 33.78,-4.61
SRF, EQ, 01-Apr-2021,5410.8,5449.5,5774.75,5436.05, 5740.00,5741.35,5657.27,431901,24433.81,46169, 76244, 17.65,6.11
SRF, EQ, 01-Apr-2022,2679.35,2690.0,2715.0,2612.85, 2625.80,2621.85,2648.14,1104351,29244.8,53359, 602474, 54.55,-2.15
SRF, EQ, 01-Apr-2024,2560.25,2559.9,2629.4,2552.05, 2625.00,2616.6,2594.36,678813,17610.86,42648, 319557, 47.08,2.2
SRF, EQ, 01-Apr-2025,2939.15,2931.0,2937.95,2854.0,2880.0,2879.5,2884.85,603406,17407.34,44716, 376220, 62.35,-2.03
SRF, EQ, 01-Jun-2020,3487.15,3520.0,3734.3,3511.8, 3709.00,3707.15,3655.4,313811,11471.04,20611, 48171, 15.35,6.31
SRF, EQ, 01-Jun-2021,6513.15,6556.0,6571.1,6461.7, 6556.85,6558.6,6522.97,96335,6283.9,12349, 31776, 32.98,0.7
SRF, EQ, 01-Jun-2022,2464.05,2457.0,2493.0,2381.1,2399.0,2397.45,2425.68,465902,11301.3,37276, 200798, 43.10,-2.7
SRF, EQ, 01-Jun-2023,2519.75,2503.0,2520.75,2473.7, 2480.00,2478.55,2486.62,485845,12081.13,39493, 335129, 68.98,-1.64
SRF, EQ, 01-Jul-2020,3605.7,3607.0,3628.15,3585.0, 3602.50,3597.95,3608.27,101975,3679.53,7107, 21179, 20.77,-0.21
SRF, EQ, 01-Jul-2021,7275.7,7325.0,7406.0,7251.0, 7363.70,7347.7,7330.72,182879,13406.36,19605, 39204, 21.44,0.99
SRF, EQ, 01-Jul-2022,2252.2,2230.0,2239.75,2133.05,2161.4,2161.65,2168.08,809031,17540.41,72336, 302709, 37.42,-4.02
SRF, EQ, 01-Jul-2024,2436.05,2426.05,2471.0,2415.7,2460.0,2462.4,2446.28,471598,11536.62,33645, 268159, 56.86,1.08
SRF, EQ, 01-Aug-2022,2428.3,2439.0,2457.8,2422.15, 2453.00,2453.5,2442.28,336004,8206.15,25461, 137433, 40.90,1.04
SRF, EQ, 01-Aug-2023,2170.55,2183.0,2258.85,2168.0, 2250.00,2251.1,2218.66,1623153,36012.27,57376, 870817, 53.65,3.71
SRF, EQ, 01-Aug-2024,2644.9,2631.5,2653.55,2601.45,2615.45,2624.9,2621.69,810488,21248.47,42607, 508468, 62.74,-0.76
SRF, EQ, 01-Sep-2020,4053.9,4065.0,4151.95,4035.9, 4141.95,4112.75,4094.13,201156,8235.58,16546, 38061, 18.92,1.45
SRF, EQ, 01-Sep-2021,10139.75,10300.0,10313.0,9825.1,9944.95,9929.9,9981.33,549006,54798.08,93626, 181058, 32.98,-2.07
SRF, EQ, 01-Sep-2022,2543.4,2514.65,2683.0,2511.4,2669.0,2666.35,2637.12,2165693,57111.91,120444, 752052, 34.73,4.83
SRF, EQ, 01-Sep-2023,2356.5,2356.2,2397.0,2352.0, 2383.00,2384.05,2383.54,510493,12167.81,32641, 296225, 58.03,1.17
SRF, EQ, 01-Oct-2020,4130.1,4159.6,4192.95,4101.1, 4115.00,4113.45,4134.49,121716,5032.34,10730, 34321, 28.20,-0.4
SRF, EQ, 01-Oct-2021,11279.1,11325.0,11325.0,11000.0, 11075.10,11089.7,11094.6,277347,30770.55,41570, 115521, 41.65,-1.68
SRF, EQ, 01-Oct-2024,2497.85,2494.0,2494.0,2428.5,2475.05,2481.35,2463.52,724115,17838.75,35721, 361811, 49.97,-0.66
SRF, EQ, 01-Nov-2021,2117.3,2130.0,2142.65,2080.0, 2130.00,2122.1,2106.9,953721,20093.91,48523, 497366, 52.15,0.23
SRF, EQ, 01-Nov-2022,2558.65,2565.0,2639.7,2547.05,2612.6,2620.45,2603.38,595570,15504.97,43788, 232819, 39.09,2.42
SRF, EQ, 01-Nov-2023,2195.3,2190.0,2199.85,2160.05, 2181.95,2183.4,2182.0,364774,7959.38,21113, 216165, 59.26,-0.54
SRF, EQ, 01-Dec-2020,5133.65,5179.5,5179.5,5066.35,5098.95,5098.0,5116.18,116811,5976.27,12706, 38158, 32.67,-0.69
SRF, EQ, 01-Dec-2021,2005.85,2032.55,2098.05,1994.0,2021.0,2016.7,2037.21,1502267,30604.27,78521, 567449, 37.77,0.54
SRF, EQ, 01-Dec-2022,2365.7,2370.95,2410.0,2349.0,2392.0,2398.55,2386.28,742826,17725.93,41441, 370266, 49.85,1.39
SRF, EQ, 01-Dec-2023,2367.4,2364.8,2445.0,2360.8, 2405.00,2412.5,2417.77,1117033,27007.26,68382, 489839, 43.85,1.91
SRF, EQ, 02-Jan-2020,3439.55,3441.0,3469.5,3435.0, 3458.20,3463.3,3456.5,152503,5271.26,7288, 26664, 17.48,0.69
SRF, EQ, 02-Jan-2023,2290.35,2294.6,2308.0,2276.15, 2293.00,2292.45,2292.54,321609,7373.02,24594, 149900, 46.61,0.09
SRF, EQ, 02-Jan-2024,2467.7,2482.95,2496.9,2424.8, 2490.00,2488.3,2461.13,602156,14819.84,39819, 243938, 40.51,0.83
SRF, EQ, 02-Jan-2025,2211.3,2228.3,2232.45,2200.45,2222.35,2224.75,2217.89,128080,2840.68,16755, 54147, 42.28,0.61
SRF, EQ, 02-Feb-2021,5490.95,5540.0,5581.3,5430.0, 5460.00,5449.55,5503.12,246981,13591.66,29608, 118693, 48.06,-0.75
SRF, EQ, 02-Feb-2022,2447.2,2460.6,2494.0,2440.8, 2450.15,2453.5,2471.58,498572,12322.62,41971, 153237, 30.74,0.26
SRF, EQ, 02-Feb-2023,2224.65,2220.0,2231.0,2187.05, 2211.00,2202.8,2205.94,487744,10759.32,37678, 262635, 53.85,-0.98
SRF, EQ, 02-Feb-2024,2308.45,2324.9,2325.0,2302.0, 2318.00,2318.65,2316.78,701436,16250.75,29962, 484878, 69.13,0.44
SRF, EQ, 02-Mar-2020,3893.8,4000.0,4019.0,3885.45, 3915.10,3907.4,3971.72,279388,11096.5,16751, 49344, 17.66,0.35
SRF, EQ, 02-Mar-2021,5421.75,5450.0,5550.0,5421.0,5544.0,5501.8,5467.9,119790,6550.0,15322, 58093, 48.50,1.48
SRF, EQ, 02-Mar-2022,2383.65,2379.0,2419.0,2330.1, 2350.00,2349.55,2363.36,710813,16799.04,41217, 374772, 52.72,-1.43
SRF, EQ, 02-Mar-2023,2235.45,2223.3,2257.7,2222.0, 2250.00,2247.0,2239.63,340417,7624.08,17719, 193839, 56.94,0.52
SRF, EQ, 02-Apr-2024,2616.6,2632.85,2662.95,2600.05, 2622.00,2621.8,2636.91,1308354,34500.08,81007, 611375, 46.73,0.2
SRF, EQ, 02-Apr-2025,2879.5,2889.0,2987.0,2851.0,2973.65,2981.6,2927.91,715592,20951.87,51628, 393661, 55.01,3.55
