SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
STARPAPER, EQ, 01-Jan-2020,113.3,114.0,114.7,112.2, 113.20,113.15,113.23,53525,60.61,1266, 26592, 49.68,-0.13
STARPAPER, EQ, 01-Jan-2021,114.5,113.65,119.5,113.65, 118.20,118.15,118.37,310810,367.92,5110, 115550, 37.18,3.19
STARPAPER, EQ, 01-Jan-2024,231.1,231.1,234.95,230.1, 232.00,231.5,232.43,32390,75.28,1544, 16954, 52.34,0.17
STARPAPER, EQ, 01-Jan-2025,215.33,215.21,222.89,215.21,218.25,218.6,219.66,16505,36.25,731, 7078, 42.88,1.52
STARPAPER, EQ, 01-Feb-2021,107.4,107.35,109.3,105.05, 108.40,108.25,107.24,82334,88.3,1719, 24277, 29.49,0.79
STARPAPER, EQ, 01-Feb-2022,131.15,132.0,136.75,131.75,133.5,133.25,134.04,58803,78.82,1657, 20066, 34.12,1.6
STARPAPER, EQ, 01-Feb-2023,178.4,179.8,182.0,170.55, 173.20,173.05,176.25,36426,64.2,1490, 16841, 46.23,-3.0
STARPAPER, EQ, 01-Feb-2024,282.0,284.25,286.0,270.3, 275.00,274.55,276.5,166745,461.06,10496, 63993, 38.38,-2.64
STARPAPER, EQ, 01-Mar-2021,117.35,118.3,120.9,117.4, 117.90,118.25,119.21,93417,111.36,1933, 32652, 34.95,0.77
STARPAPER, EQ, 01-Mar-2023,164.3,164.25,165.95,163.55, 165.95,165.1,164.99,13015,21.47,449, 7550, 58.01,0.49
STARPAPER, EQ, 01-Mar-2024,238.55,236.55,244.85,236.55, 241.60,242.05,241.93,26480,64.06,1024, 13820, 52.19,1.47
STARPAPER, EQ, 01-Apr-2020,70.55,70.5,74.4,69.75,71.85,71.55,72.08,71808,51.76,1853, 24726, 34.43,1.42
STARPAPER, EQ, 01-Apr-2021,120.1,123.0,124.15,121.65, 123.75,123.7,123.09,51751,63.7,1060, 21310, 41.18,3.0
STARPAPER, EQ, 01-Apr-2022,158.9,158.3,174.5,158.3, 171.00,172.2,169.98,1522052,2587.14,21467, 545466, 35.84,8.37
STARPAPER, EQ, 01-Apr-2024,224.5,226.0,233.95,226.0, 230.05,231.45,230.65,25750,59.39,903, 18752, 72.82,3.1
STARPAPER, EQ, 01-Apr-2025,154.22,157.98,160.45,157.11,160.45,160.06,159.56,14010,22.35,304, 7868, 56.16,3.79
STARPAPER, EQ, 01-Jun-2020,92.4,92.6,95.15,92.6, 94.10,94.2,94.36,168616,159.11,2684, 61898, 36.71,1.95
