SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUNDARMHLD, EQ, 01-Jan-2020,74.45,76.9,76.9,74.5, 74.85,74.85,75.37,21202,15.98,169, 18576, 87.61,0.54
SUNDARMHLD, EQ, 01-Jan-2021,76.8,77.1,77.65,75.6, 75.95,76.25,76.32,61851,47.21,637, 43272, 69.96,-0.72
SUNDARMHLD, EQ, 01-Jan-2024,146.05,147.4,148.5,144.55, 145.20,145.95,146.3,105057,153.7,2331, 59606, 56.74,-0.07
SUNDARMHLD, EQ, 01-Jan-2025,299.35,301.4,310.0,299.95,309.7,308.55,306.03,45241,138.45,2177, 23025, 50.89,3.07
SUNDARMHLD, EQ, 01-Feb-2021,70.35,70.95,73.5,69.9, 72.40,72.55,71.84,84051,60.38,836, 51697, 61.51,3.13
SUNDARMHLD, EQ, 01-Feb-2022,83.2,82.6,84.5,82.05,83.95,83.75,83.54,51945,43.39,764, 33819, 65.11,0.66
SUNDARMHLD, EQ, 01-Feb-2023,88.5,88.5,88.5,85.25, 85.30,85.65,87.2,55582,48.47,905, 30934, 55.65,-3.22
SUNDARMHLD, EQ, 01-Feb-2024,191.6,197.4,197.5,184.3, 185.70,185.35,187.8,262431,492.84,10836, 124276, 47.36,-3.26
SUNDARMHLD, EQ, 01-Mar-2021,84.15,84.5,88.4,82.55, 87.80,87.75,85.96,303362,260.78,2834, 158638, 52.29,4.28
SUNDARMHLD, EQ, 01-Mar-2023,82.45,82.5,82.75,81.65, 82.40,82.15,82.14,116438,95.64,525, 91460, 78.55,-0.36
SUNDARMHLD, EQ, 01-Mar-2024,208.25,208.6,219.8,208.6, 219.60,218.15,216.27,134955,291.87,6294, 82101, 60.84,4.75
