SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUNPHARMA, EQ, 01-Jan-2020,432.55,432.95,436.45,431.25, 433.70,434.3,434.19,2321850,10081.34,26860, 535495, 23.06,0.4
SUNPHARMA, EQ, 01-Jan-2021,592.35,592.5,599.75,585.85, 597.70,596.25,593.06,8229768,48807.72,111042, 1706553, 20.74,0.66
SUNPHARMA, EQ, 01-Jan-2024,1259.45,1261.0,1263.95,1252.5, 1260.05,1260.25,1258.17,733452,9228.07,124371, 373106, 50.87,0.06
SUNPHARMA, EQ, 01-Jan-2025,1886.35,1889.9,1902.95,1878.65,1894.0,1889.95,1889.72,1338092,25286.24,100504, 699316, 52.26,0.19
SUNPHARMA, EQ, 01-Feb-2021,586.2,596.0,599.4,579.6, 593.00,590.15,589.43,12621971,74397.16,219511, 2955251, 23.41,0.67
SUNPHARMA, EQ, 01-Feb-2022,834.5,847.4,895.0,839.85,891.9,891.75,876.9,12337459,108187.5,237350, 3238150, 26.25,6.86
SUNPHARMA, EQ, 01-Feb-2023,1034.5,1036.45,1043.95,1005.1, 1015.00,1014.9,1013.55,4717887,47818.08,170127, 2790885, 59.16,-1.89
SUNPHARMA, EQ, 01-Feb-2024,1418.45,1427.0,1430.45,1398.9, 1407.65,1407.95,1413.59,2442481,34526.7,165535, 1195178, 48.93,-0.74
SUNPHARMA, EQ, 01-Mar-2021,594.6,600.0,610.8,597.05, 606.00,604.45,602.93,5274758,31803.13,93184, 1259108, 23.87,1.66
SUNPHARMA, EQ, 01-Mar-2023,956.6,951.0,966.05,951.0, 959.95,959.3,960.92,1862513,17897.24,66930, 1166836, 62.65,0.28
SUNPHARMA, EQ, 01-Mar-2024,1577.95,1580.0,1581.9,1548.05, 1562.10,1559.25,1564.26,4069161,63652.35,158896, 3095366, 76.07,-1.19
SUNPHARMA, EQ, 01-Apr-2020,352.3,353.0,355.25,338.4,344.35,343.55,344.57,6702259,23093.79,94680, 2249335, 33.56,-2.48
SUNPHARMA, EQ, 01-Apr-2021,597.8,600.0,612.7,597.35, 610.00,610.75,605.26,6033653,36519.19,90978, 2143177, 35.52,2.17
SUNPHARMA, EQ, 01-Apr-2022,914.75,914.0,919.0,904.1, 911.80,908.7,909.67,1184766,10777.42,39391, 417701, 35.26,-0.66
SUNPHARMA, EQ, 01-Apr-2024,1620.55,1631.6,1633.75,1618.5, 1627.80,1629.25,1627.31,1148498,18689.65,75621, 712650, 62.05,0.54
SUNPHARMA, EQ, 01-Apr-2025,1734.7,1731.0,1733.95,1681.6,1698.3,1698.35,1703.36,4142445,70560.56,177054, 2764836, 66.74,-2.1
SUNPHARMA, EQ, 01-Jun-2020,474.25,483.5,483.7,458.3, 465.90,465.4,470.82,18563845,87402.07,213739, 4287333, 23.10,-1.87
SUNPHARMA, EQ, 01-Jun-2021,668.3,670.1,673.3,664.3, 671.00,671.05,668.26,6443084,43056.82,109510, 2230544, 34.62,0.41
SUNPHARMA, EQ, 01-Jun-2022,860.6,875.0,875.0,832.6,842.9,839.25,846.31,5999099,50771.06,143827, 2912266, 48.55,-2.48
SUNPHARMA, EQ, 01-Jun-2023,975.35,979.8,990.45,975.0, 986.55,987.7,983.55,3261906,32082.53,74533, 2260949, 69.31,1.27
SUNPHARMA, EQ, 01-Jul-2020,472.95,473.5,475.8,466.15, 467.95,468.15,469.78,5984010,28111.65,65841, 1555807, 26.00,-1.01
