SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUPERHOUSE, EQ, 01-Jan-2020,90.65,90.95,91.55,89.3, 91.45,91.45,90.43,2612,2.36,157, 2540, 97.24,0.88
SUPERHOUSE, EQ, 01-Jan-2021,133.55,129.0,133.0,126.5, 129.10,130.9,129.54,237952,308.23,4500, 64322, 27.03,-1.98
SUPERHOUSE, EQ, 01-Jan-2024,248.85,249.6,260.0,249.6, 254.90,256.6,255.54,32594,83.29,819, 15685, 48.12,3.11
SUPERHOUSE, EQ, 01-Jan-2025,209.75,210.89,211.79,204.61,209.0,206.72,208.06,4023,8.37,189, 2543, 63.21,-1.44
SUPERHOUSE, EQ, 01-Feb-2021,120.6,122.0,128.0,117.0, 124.90,124.6,122.03,28728,35.06,888, 9448, 32.89,3.32
SUPERHOUSE, EQ, 01-Feb-2022,213.9,213.3,217.8,208.1,210.6,211.15,211.42,49646,104.96,2202, 15873, 31.97,-1.29
SUPERHOUSE, EQ, 01-Feb-2023,201.05,208.8,208.8,197.05, 201.50,199.7,204.25,5876,12.0,262, 4346, 73.96,-0.67
SUPERHOUSE, EQ, 01-Feb-2024,249.1,252.6,252.6,245.35, 248.50,246.85,248.07,8891,22.06,426, 5610, 63.10,-0.9
SUPERHOUSE, EQ, 01-Mar-2021,127.8,129.7,131.95,126.55, 128.50,128.75,129.53,71158,92.17,1165, 25055, 35.21,0.74
SUPERHOUSE, EQ, 01-Mar-2023,228.7,226.45,264.6,226.45, 252.70,250.9,255.06,335761,856.38,10129, 62570, 18.64,9.71
SUPERHOUSE, EQ, 01-Mar-2024,220.95,221.5,225.95,220.1, 220.50,221.1,222.09,5322,11.82,281, 3048, 57.27,0.07
SUPERHOUSE, EQ, 01-Apr-2020,60.35,66.5,68.0,60.0,63.55,63.9,64.22,36515,23.45,789, 12219, 33.46,5.88
SUPERHOUSE, EQ, 01-Apr-2021,122.6,123.0,127.05,123.0, 127.00,126.0,125.31,10823,13.56,185, 6265, 57.89,2.77
SUPERHOUSE, EQ, 01-Apr-2022,162.95,161.35,171.25,161.35, 170.10,169.75,168.0,9297,15.62,437, 5537, 59.56,4.17
SUPERHOUSE, EQ, 01-Apr-2024,196.35,196.3,207.55,196.3, 207.40,206.1,205.38,11572,23.77,421, 6005, 51.89,4.97
SUPERHOUSE, EQ, 01-Apr-2025,140.78,140.78,147.0,140.78,144.04,146.31,144.76,3247,4.7,240, 1716, 52.85,3.93
SUPERHOUSE, EQ, 01-Jun-2020,64.5,65.65,68.4,65.65, 67.25,67.5,67.18,13338,8.96,347, 6759, 50.67,4.65
SUPERHOUSE, EQ, 01-Jun-2021,147.75,149.1,149.75,142.2, 143.90,143.9,145.62,79327,115.52,4352, 23652, 29.82,-2.61
SUPERHOUSE, EQ, 01-Jun-2022,191.0,187.55,196.8,187.55,191.6,192.1,193.14,29135,56.27,798, 13541, 46.48,0.58
SUPERHOUSE, EQ, 01-Jun-2023,217.8,219.95,222.95,208.3, 211.50,211.0,213.46,120466,257.15,3761, 76854, 63.80,-3.12
SUPERHOUSE, EQ, 01-Jul-2020,80.9,79.9,86.4,74.75, 85.00,84.45,82.54,171393,141.47,3230, 50024, 29.19,4.39
SUPERHOUSE, EQ, 01-Jul-2021,154.0,155.7,155.9,149.9, 151.60,151.5,153.05,43859,67.13,2033, 27430, 62.54,-1.62
SUPERHOUSE, EQ, 01-Jul-2022,173.45,174.85,174.85,165.0,171.8,170.5,171.12,4622,7.91,245, 3465, 74.97,-1.7
SUPERHOUSE, EQ, 01-Jul-2024,211.75,212.08,216.95,212.0,216.95,215.98,215.04,3746,8.06,173, 2475, 66.07,2.0
SUPERHOUSE, EQ, 01-Aug-2022,232.3,230.0,241.0,230.0, 233.00,234.3,235.96,30539,72.06,1197, 13465, 44.09,0.86
SUPERHOUSE, EQ, 01-Aug-2023,210.7,212.0,216.8,210.7, 215.00,214.65,214.32,25046,53.68,570, 17677, 70.58,1.87
SUPERHOUSE, EQ, 01-Aug-2024,238.75,241.15,242.9,235.16,236.2,236.1,238.68,16162,38.58,572, 9571, 59.22,-1.11
SUPERHOUSE, EQ, 01-Sep-2020,95.55,98.7,98.7,93.1, 96.40,95.5,95.46,18172,17.35,405, 8243, 45.36,-0.05
SUPERHOUSE, EQ, 01-Sep-2021,166.2,165.0,169.0,162.3,162.55,162.9,165.05,21008,34.67,475, 12054, 57.38,-1.99
SUPERHOUSE, EQ, 01-Sep-2022,206.35,209.4,209.4,205.1,206.0,206.15,206.92,19942,41.26,534, 13242, 66.40,-0.1
SUPERHOUSE, EQ, 01-Sep-2023,212.45,212.05,221.4,212.05, 220.00,219.45,218.79,112895,247.01,3659, 64424, 57.07,3.29
SUPERHOUSE, EQ, 01-Oct-2020,89.05,90.9,91.75,88.3, 89.90,89.3,89.58,5787,5.18,186, 3162, 54.64,0.28
SUPERHOUSE, EQ, 01-Oct-2021,169.75,169.25,173.9,169.0, 169.40,169.45,170.53,15857,27.04,635, 8112, 51.16,-0.18
SUPERHOUSE, EQ, 01-Oct-2024,226.01,227.09,228.8,223.35,224.0,225.43,225.66,5525,12.47,363, 2584, 46.77,-0.26
SUPERHOUSE, EQ, 01-Nov-2021,168.9,168.95,174.15,168.95, 171.85,170.6,170.62,15572,26.57,631, 9294, 59.68,1.01
SUPERHOUSE, EQ, 01-Nov-2022,219.65,219.65,224.8,214.55,215.8,216.0,218.86,25089,54.91,1114, 13411, 53.45,-1.66
SUPERHOUSE, EQ, 01-Nov-2023,221.05,220.3,225.0,220.05, 221.05,221.3,223.14,6078,13.56,493, 3744, 61.60,0.11
SUPERHOUSE, EQ, 01-Dec-2020,108.65,109.95,110.75,105.4,108.35,108.35,108.69,16220,17.63,532, 8257, 50.91,-0.28
SUPERHOUSE, EQ, 01-Dec-2021,149.5,153.45,157.4,147.75,154.95,154.0,152.94,21803,33.35,914, 11262, 51.65,3.01
SUPERHOUSE, EQ, 01-Dec-2022,213.45,220.9,220.9,212.55,214.0,213.35,214.13,7596,16.27,248, 5459, 71.87,-0.05
SUPERHOUSE, EQ, 01-Dec-2023,232.65,232.0,238.8,232.0, 236.95,235.9,236.53,48464,114.63,2123, 24174, 49.88,1.4
SUPERHOUSE, EQ, 02-Jan-2020,91.45,91.4,95.0,90.55, 93.80,93.5,93.17,15285,14.24,308, 6797, 44.47,2.24
SUPERHOUSE, EQ, 02-Jan-2023,201.95,202.0,207.2,202.0, 205.35,206.25,204.75,6045,12.38,244, 4371, 72.31,2.13
SUPERHOUSE, EQ, 02-Jan-2024,256.6,256.4,259.6,246.35, 254.40,253.05,253.19,38903,98.5,1253, 19090, 49.07,-1.38
SUPERHOUSE, EQ, 02-Jan-2025,206.72,208.3,211.47,206.42,207.65,208.3,208.41,2857,5.95,105, 1291, 45.19,0.76
SUPERHOUSE, EQ, 02-Feb-2021,124.6,126.55,127.9,121.5, 123.40,123.8,124.02,19512,24.2,535, 8166, 41.85,-0.64
SUPERHOUSE, EQ, 02-Feb-2022,211.15,214.9,221.95,210.4, 211.35,212.2,215.54,76843,165.62,4183, 28447, 37.02,0.5
SUPERHOUSE, EQ, 02-Feb-2023,199.7,197.7,205.0,197.7, 201.70,199.75,200.65,5170,10.37,156, 4560, 88.20,0.03
SUPERHOUSE, EQ, 02-Feb-2024,246.85,248.0,257.0,243.2, 246.70,244.55,248.56,26216,65.16,943, 10514, 40.11,-0.93
SUPERHOUSE, EQ, 02-Mar-2020,82.05,82.0,85.3,79.05, 82.00,81.95,82.53,7310,6.03,182, 4522, 61.86,-0.12
SUPERHOUSE, EQ, 02-Mar-2021,128.75,128.2,131.55,128.05,129.4,129.6,129.82,33433,43.4,541, 13318, 39.83,0.66
SUPERHOUSE, EQ, 02-Mar-2022,167.7,165.0,168.75,162.45, 163.30,163.55,165.09,13233,21.85,422, 8148, 61.57,-2.47
SUPERHOUSE, EQ, 02-Mar-2023,250.9,253.65,258.95,248.2, 248.25,250.55,253.08,69480,175.84,2896, 24439, 35.17,-0.14
SUPERHOUSE, EQ, 02-Apr-2024,206.1,205.55,213.0,205.55, 211.60,210.1,209.85,11065,23.22,419, 5957, 53.84,1.94
SUPERHOUSE, EQ, 02-Apr-2025,146.31,147.1,148.65,145.1,147.97,146.71,146.64,3587,5.26,271, 1148, 32.00,0.27
SUPERHOUSE, EQ, 02-May-2022,182.85,184.2,185.0,179.55,182.35,181.45,181.84,8897,16.18,396, 5204, 58.49,-0.77
SUPERHOUSE, EQ, 02-May-2023,267.0,267.0,268.95,256.0, 256.55,257.65,262.84,26249,68.99,1533, 17562, 66.91,-3.5
SUPERHOUSE, EQ, 02-May-2024,222.8,222.0,223.7,218.35, 219.00,219.2,220.66,6512,14.37,291, 4691, 72.04,-1.62
SUPERHOUSE, EQ, 02-Jun-2020,67.5,67.05,73.6,66.1,70.6,71.5,71.28,73755,52.57,1005, 29488, 39.98,5.93
