SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUPREMEENG, EQ, 01-Jan-2021,24.45,25.45,25.45,23.55, 25.00,25.0,24.67,27504,6.79,62, 13048, 47.44,2.25
SUPREMEENG, EQ, 01-Feb-2021,24.9,24.9,26.1,23.95, 26.00,26.0,25.72,8915,2.29,72, 7836, 87.90,4.42
SUPREMEENG, EQ, 01-Feb-2022,23.95,24.2,24.65,23.25,23.7,23.75,23.73,32126,7.62,266, 21058, 65.55,-0.84
SUPREMEENG, EQ, 01-Feb-2023,1.15,1.2,1.2,1.15, 1.15,1.15,1.17,452676,5.29,201, 269519, 59.54,0.0
SUPREMEENG, EQ, 01-Mar-2021,24.55,24.65,25.75,23.85, 25.75,25.75,25.46,90910,23.14,101, 85307, 93.84,4.89
SUPREMEENG, EQ, 01-Mar-2023,1.0,1.0,1.0,0.95, 1.00,1.0,0.99,238136,2.36,210, 96890, 40.69,0.0
SUPREMEENG, EQ, 01-Apr-2021,26.9,28.1,28.1,26.55, 27.75,27.5,27.4,4722,1.29,26, 2245, 47.54,2.23
SUPREMEENG, EQ, 01-Apr-2022,2.6,2.7,2.7,2.5, 2.70,2.7,2.62,13240498,346.39,2979, 6243926, 47.16,3.85
SUPREMEENG, EQ, 01-Jun-2021,36.35,38.15,38.15,37.0, 38.15,38.15,37.91,192760,73.07,1093, 119524, 62.01,4.95
SUPREMEENG, EQ, 01-Jul-2022,2.95,2.95,3.05,2.85,2.85,2.85,2.92,1720356,50.31,631, 640867, 37.25,-3.39
SUPREMEENG, EQ, 01-Aug-2022,2.25,2.3,2.35,2.2, 2.25,2.25,2.29,739400,16.94,486, 526111, 71.15,0.0
SUPREMEENG, EQ, 01-Sep-2021,32.15,31.6,31.8,30.3,30.5,30.45,31.07,191509,59.5,1192, 140732, 73.49,-5.29
SUPREMEENG, EQ, 01-Sep-2022,2.1,2.1,2.15,2.05,2.1,2.05,2.09,732952,15.34,362, 469697, 64.08,-2.38
SUPREMEENG, EQ, 01-Oct-2021,21.85,22.4,22.55,22.0, 22.35,22.2,22.29,166394,37.09,756, 112644, 67.70,1.6
SUPREMEENG, EQ, 01-Nov-2021,20.3,20.05,21.3,20.05, 21.30,21.3,21.13,166706,35.22,395, 91595, 54.94,4.93
SUPREMEENG, EQ, 01-Nov-2022,1.7,1.65,1.7,1.65,1.65,1.65,1.66,1732870,28.75,489, 1400498, 80.82,-2.94
SUPREMEENG, EQ, 01-Dec-2021,18.35,18.35,18.85,18.1,18.35,18.4,18.48,21224,3.92,147, 12797, 60.29,0.27
SUPREMEENG, EQ, 01-Dec-2022,1.4,1.45,1.45,1.4,1.45,1.45,1.44,157637,2.26,211, 156985, 99.59,3.57
SUPREMEENG, EQ, 02-Jan-2023,1.25,1.25,1.25,1.2, 1.25,1.25,1.24,643350,7.95,289, 438020, 68.08,0.0
SUPREMEENG, EQ, 02-Feb-2021,26.0,26.0,27.25,25.35, 25.35,25.35,26.0,9712,2.52,38, 8649, 89.05,-2.5
SUPREMEENG, EQ, 02-Feb-2022,23.75,23.75,24.3,22.6, 22.60,22.65,23.18,236508,54.82,497, 190692, 80.63,-4.63
SUPREMEENG, EQ, 02-Feb-2023,1.15,1.15,1.2,1.15, 1.20,1.15,1.17,201925,2.36,144, 107896, 53.43,0.0
SUPREMEENG, EQ, 02-Mar-2021,25.75,26.0,27.0,25.15,27.0,26.75,26.84,72421,19.44,84, 64406, 88.93,3.88
SUPREMEENG, EQ, 02-Mar-2022,20.55,21.55,21.55,21.55, 21.55,21.55,21.55,14901,3.21,43, 14901, 100.00,4.87
SUPREMEENG, EQ, 02-Mar-2023,1.0,1.0,1.0,0.95, 1.00,1.0,0.96,584934,5.62,340, 531781, 90.91,0.0
SUPREMEENG, EQ, 02-Jun-2021,38.15,39.4,40.05,38.15, 39.55,40.05,39.75,148199,58.91,982, 110620, 74.64,4.98
SUPREMEENG, EQ, 02-Aug-2021,34.0,34.0,34.0,32.3,32.3,32.7,32.66,32839,10.73,271, 25610, 77.99,-3.82
SUPREMEENG, EQ, 02-Aug-2022,2.25,2.2,2.25,2.15,2.2,2.15,2.19,878731,19.22,540, 596795, 67.92,-4.44
SUPREMEENG, EQ, 02-Sep-2021,30.45,30.5,32.0,30.3, 31.00,30.95,31.22,74616,23.3,514, 45645, 61.17,1.64
SUPREMEENG, EQ, 02-Sep-2022,2.05,2.05,2.15,2.0,2.1,2.1,2.08,1233830,25.65,385, 572930, 46.44,2.44
SUPREMEENG, EQ, 02-Nov-2021,21.3,21.9,22.25,20.25, 20.25,20.3,20.86,401657,83.8,900, 187268, 46.62,-4.69
SUPREMEENG, EQ, 02-Nov-2022,1.65,1.65,1.65,1.6,1.65,1.6,1.61,1671053,26.84,668, 1323272, 79.19,-3.03
SUPREMEENG, EQ, 02-Dec-2021,18.4,18.65,19.2,18.4, 18.80,18.9,18.84,35404,6.67,126, 31231, 88.21,2.72
SUPREMEENG, EQ, 02-Dec-2022,1.45,1.45,1.45,1.4, 1.45,1.45,1.44,411832,5.92,253, 300626, 73.00,0.0
SUPREMEENG, EQ, 03-Jan-2022,24.3,25.45,26.7,22.1, 24.75,24.8,25.68,1586574,407.46,4918, 690745, 43.54,2.06
SUPREMEENG, EQ, 03-Jan-2023,1.25,1.3,1.3,1.2, 1.30,1.25,1.26,391449,4.94,333, 333533, 85.20,0.0
SUPREMEENG, EQ, 03-Feb-2021,25.35,24.5,26.6,24.45, 26.00,26.0,25.96,13076,3.39,69, 8293, 63.42,2.56
SUPREMEENG, EQ, 03-Feb-2022,22.65,22.05,22.9,22.05, 22.85,22.8,22.73,60703,13.8,293, 54900, 90.44,0.66
SUPREMEENG, EQ, 03-Feb-2023,1.15,1.15,1.2,1.15, 1.15,1.15,1.17,196689,2.3,200, 123522, 62.80,0.0
SUPREMEENG, EQ, 03-Mar-2021,26.75,26.8,28.05,26.75,27.6,27.75,27.82,104036,28.94,114, 95998, 92.27,3.74
SUPREMEENG, EQ, 03-Mar-2022,21.55,2.25,2.25,2.25,2.25,2.25,2.25,175310,3.94,17, 175310, 100.00,-89.56
SUPREMEENG, EQ, 03-Mar-2023,1.0,1.0,1.0,0.95, 1.00,1.0,0.98,357658,3.5,214, 207156, 57.92,0.0
SUPREMEENG, EQ, 03-Apr-2023,0.65,0.7,0.7,0.7, 0.70,0.7,0.7,329970,2.31,116, 309919, 93.92,7.69
SUPREMEENG, EQ, 03-May-2021,23.5,23.5,23.9,23.0,23.45,23.45,23.4,3714,0.87,53, 3261, 87.80,-0.21
