SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUULD, EQ, 01-Jan-2021,114.0,125.4,125.4,125.4, 125.40,125.4,125.4,6418,8.05,21, 6418, 100.00,10.0
SUULD, EQ, 01-Feb-2021,144.0,149.45,149.45,140.0, 140.00,140.95,144.94,19198,27.83,155, 16526, 86.08,-2.12
SUULD, EQ, 01-Feb-2022,289.45,303.9,303.9,303.9,303.9,303.9,303.9,69760,212.0,678, 69754, 99.99,4.99
SUULD, EQ, 01-Feb-2023,35.4,35.25,35.8,33.65, 34.10,34.0,34.57,140816,48.69,1102, 81912, 58.17,-3.95
SUULD, EQ, 01-Mar-2023,20.65,19.65,21.65,19.65, 21.65,21.6,20.99,2053443,430.98,5567, 1455581, 70.88,4.6
SUULD, EQ, 01-Apr-2022,96.4,101.2,101.2,101.2, 101.20,101.2,101.2,180022,182.18,113, 180022, 100.00,4.98
SUULD, EQ, 01-Apr-2024,6.8,6.8,7.1,6.75, 7.10,7.1,7.07,522114,36.91,451, 430177, 82.39,4.41
SUULD, EQ, 01-Jun-2021,404.05,424.25,424.25,405.0, 424.25,423.95,416.66,54839,228.49,1761, 29723, 54.20,4.93
SUULD, EQ, 01-Jun-2022,72.25,75.85,75.85,75.85,75.85,75.85,75.85,17141,13.0,96, 17141, 100.00,4.98
SUULD, EQ, 01-Jun-2023,11.4,11.45,11.6,11.3, 11.45,11.35,11.43,161261,18.42,586, 116132, 72.01,-0.44
SUULD, EQ, 01-Jul-2021,606.75,634.95,637.05,625.3, 637.05,637.05,634.7,53006,336.43,1130, 34988, 66.01,4.99
SUULD, EQ, 01-Jul-2022,66.65,67.85,68.2,64.65,67.85,67.45,66.68,68772,45.86,648, 39800, 57.87,1.2
SUULD, EQ, 01-Jul-2024,5.58,5.69,5.7,5.34,5.68,5.63,5.56,521788,28.99,850, 281517, 53.95,0.9
SUULD, EQ, 01-Aug-2022,57.2,56.5,59.85,55.1, 58.25,58.3,57.98,362918,210.42,2601, 198213, 54.62,1.92
SUULD, EQ, 01-Sep-2021,502.2,502.0,514.6,500.0,513.0,511.1,508.88,38059,193.68,1012, 35191, 92.46,1.77
SUULD, EQ, 01-Sep-2022,43.95,43.95,44.5,42.7,43.5,43.4,43.49,109820,47.76,989, 81462, 74.18,-1.25
SUULD, EQ, 01-Oct-2021,541.75,545.9,545.9,530.0, 535.90,536.25,536.7,12685,68.08,808, 9375, 73.91,-1.02
SUULD, EQ, 01-Nov-2021,252.7,265.3,265.3,252.7, 265.30,265.3,264.77,321303,850.71,2426, 153747, 47.85,4.99
SUULD, EQ, 01-Nov-2022,43.5,45.65,45.65,45.65,45.65,45.65,45.65,633406,289.15,1245, 533908, 84.29,4.94
SUULD, EQ, 01-Dec-2020,103.5,102.95,107.0,102.0,102.0,102.05,102.58,19003,19.49,138, 10654, 56.06,-1.4
SUULD, EQ, 01-Dec-2021,275.5,261.75,261.75,261.75,261.75,261.75,261.75,8042,21.05,371, 8042, 100.00,-4.99
SUULD, EQ, 01-Dec-2022,40.8,41.95,42.8,41.0,42.5,42.8,42.54,1011100,430.17,5194, 637431, 63.04,4.9
SUULD, EQ, 02-Jan-2023,36.9,37.65,38.0,36.2, 37.25,36.95,36.93,151110,55.81,1250, 109025, 72.15,0.14
SUULD, EQ, 02-Feb-2022,303.9,319.05,319.05,310.0, 319.05,319.05,318.36,217780,693.33,2855, 135839, 62.37,4.99
SUULD, EQ, 02-Feb-2023,34.0,34.0,34.5,32.5, 32.80,33.05,33.25,360039,119.71,1642, 219501, 60.97,-2.79
