SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SUYOG, EQ, 01-Jan-2025,1761.8,1790.0,1819.9,1767.2,1790.0,1806.4,1796.18,19847,356.49,2342, 8497, 42.81,2.53
SUYOG, EQ, 01-Oct-2024,1596.6,1619.25,1628.85,1550.0,1580.0,1566.2,1578.38,13232,208.85,1112, 8021, 60.62,-1.9
SUYOG, EQ, 02-Jan-2025,1806.4,1807.3,1829.9,1800.0,1805.45,1804.4,1811.6,11074,200.62,1388, 6560, 59.24,-0.11
SUYOG, EQ, 02-Sep-2024,1664.0,1678.8,1703.8,1600.0,1625.0,1620.3,1641.58,33245,545.74,6370, 21718, 65.33,-2.63
SUYOG, EQ, 02-Dec-2024,1898.1,1899.6,1924.9,1825.25,1867.4,1857.2,1889.75,62024,1172.1,6193, 35018, 56.46,-2.15
SUYOG, EQ, 03-Jan-2025,1804.4,1816.45,1831.45,1779.95,1800.45,1793.2,1806.81,23141,418.11,4776, 12694, 54.86,-0.62
SUYOG, EQ, 03-Feb-2025,1521.9,1539.95,1540.0,1424.15,1442.15,1443.2,1460.81,24275,354.61,3174, 12629, 52.02,-5.17
SUYOG, EQ, 03-Mar-2025,1026.3,1006.05,1059.2,941.05,981.15,997.85,980.37,64292,630.3,6934, 32142, 49.99,-2.77
SUYOG, EQ, 03-Sep-2024,1620.3,1619.95,1625.1,1540.0,1552.7,1556.7,1566.29,55166,864.06,8185, 34823, 63.12,-3.93
SUYOG, EQ, 03-Oct-2024,1566.2,1566.2,1584.85,1480.0,1554.3,1554.5,1529.69,31888,487.79,3207, 15884, 49.81,-0.75
SUYOG, EQ, 03-Dec-2024,1857.2,1857.2,1878.0,1818.15,1830.0,1836.65,1843.47,31780,585.86,5475, 16449, 51.76,-1.11
SUYOG, EQ, 04-Feb-2025,1443.2,1460.0,1471.95,1426.35,1450.05,1460.9,1452.18,10890,158.14,1933, 5661, 51.98,1.23
SUYOG, EQ, 04-Mar-2025,997.85,982.9,1039.0,971.05,1019.85,1006.2,1011.55,31857,322.25,4719, 15574, 48.89,0.84
SUYOG, EQ, 04-Sep-2024,1556.7,1543.25,1595.5,1525.0,1540.0,1543.8,1549.43,17622,273.04,3706, 10342, 58.69,-0.83
SUYOG, EQ, 04-Oct-2024,1554.5,1548.9,1571.9,1508.1,1538.95,1542.65,1543.92,29334,452.89,4126, 17723, 60.42,-0.76
SUYOG, EQ, 04-Nov-2024,1661.25,1674.85,1683.85,1621.65,1626.0,1636.75,1655.18,22989,380.51,2609, 11391, 49.55,-1.47
SUYOG, EQ, 04-Dec-2024,1836.65,1860.0,1863.95,1810.65,1819.95,1819.25,1820.73,23981,436.63,4517, 14241, 59.38,-0.95
SUYOG, EQ, 05-Feb-2025,1460.9,1485.0,1499.9,1424.0,1434.75,1434.3,1468.64,36175,531.28,2921, 29357, 81.15,-1.82
SUYOG, EQ, 05-Mar-2025,1006.2,1007.8,1070.9,1007.8,1051.0,1053.15,1044.88,27681,289.23,2591, 17225, 62.23,4.67
SUYOG, EQ, 05-Sep-2024,1543.8,1566.95,1570.45,1496.25,1530.0,1531.65,1522.1,52137,793.58,10792, 30885, 59.24,-0.79
SUYOG, EQ, 05-Nov-2024,1636.75,1636.75,1688.0,1627.4,1660.0,1664.45,1657.58,19623,325.27,2589, 10679, 54.42,1.69
SUYOG, EQ, 05-Dec-2024,1819.25,1830.0,1835.9,1792.3,1825.0,1824.65,1807.46,25950,469.04,3533, 12581, 48.48,0.3
SUYOG, EQ, 06-Jan-2025,1793.2,1799.95,1800.0,1675.0,1702.45,1691.5,1705.18,66748,1138.18,8084, 36077, 54.05,-5.67
SUYOG, EQ, 06-Feb-2025,1434.3,1453.0,1488.0,1434.45,1457.25,1463.9,1457.98,25579,372.94,3261, 13011, 50.87,2.06
SUYOG, EQ, 06-Mar-2025,1053.15,1068.95,1093.15,1044.0,1079.95,1086.5,1070.67,35477,379.84,3018, 24191, 68.19,3.17
SUYOG, EQ, 06-Sep-2024,1531.65,1546.45,1596.5,1511.45,1570.0,1578.15,1546.93,27459,424.77,3915, 16667, 60.70,3.04
SUYOG, EQ, 06-Nov-2024,1664.45,1678.6,1713.95,1655.0,1709.95,1704.1,1686.12,25964,437.79,3129, 17092, 65.83,2.38
SUYOG, EQ, 06-Dec-2024,1824.65,1845.0,1859.0,1799.2,1835.0,1823.9,1826.51,31552,576.3,4332, 16433, 52.08,-0.04
SUYOG, EQ, 07-Jan-2025,1691.5,1703.0,1730.0,1690.0,1724.0,1706.8,1710.01,21475,367.22,2433, 11242, 52.35,0.9
SUYOG, EQ, 07-Feb-2025,1463.9,1480.25,1493.2,1435.0,1454.9,1458.0,1457.72,16769,244.45,2174, 12071, 71.98,-0.4
SUYOG, EQ, 07-Mar-2025,1086.5,1090.0,1120.0,1075.55,1112.05,1104.45,1102.06,32323,356.22,4272, 18784, 58.11,1.65
SUYOG, EQ, 07-Oct-2024,1542.65,1555.0,1567.95,1470.0,1510.0,1521.25,1506.15,26527,399.54,2670, 14390, 54.25,-1.39
SUYOG, EQ, 07-Nov-2024,1704.1,1699.85,1900.0,1661.0,1868.0,1867.4,1836.18,237136,4354.24,17988, 101754, 42.91,9.58
SUYOG, EQ, 08-Jan-2025,1706.8,1724.0,1734.6,1653.1,1689.45,1680.05,1682.06,25315,425.81,2835, 13435, 53.07,-1.57
SUYOG, EQ, 08-Oct-2024,1521.25,1539.8,1600.1,1486.35,1587.0,1591.6,1544.6,24307,375.45,2481, 13632, 56.08,4.62
SUYOG, EQ, 08-Nov-2024,1867.4,1895.0,1945.05,1805.0, 1822.00,1823.8,1871.73,116737,2185.0,13457, 50338, 43.12,-2.33
SUYOG, EQ, 09-Jan-2025,1680.05,1671.0,1705.15,1627.0,1632.2,1637.5,1665.81,35060,584.03,3846, 15501, 44.21,-2.53
SUYOG, EQ, 09-Sep-2024,1578.15,1594.4,1735.1,1578.1,1691.95,1700.8,1682.19,90433,1521.25,14289, 43729, 48.36,7.77
SUYOG, EQ, 09-Oct-2024,1591.6,1605.9,1606.45,1575.0,1589.95,1588.4,1588.6,17072,271.21,1947, 11747, 68.81,-0.2
SUYOG, EQ, 09-Dec-2024,1823.9,1825.0,1924.95,1824.95,1907.0,1909.15,1896.83,71035,1347.41,5219, 36700, 51.66,4.67
SUYOG, EQ, 10-Jan-2025,1637.5,1635.0,1662.75,1582.0,1621.45,1617.55,1623.99,44287,719.22,4987, 21537, 48.63,-1.22
SUYOG, EQ, 10-Feb-2025,1458.0,1428.85,1469.9,1385.0,1415.0,1406.95,1415.66,19973,282.75,2261, 13238, 66.28,-3.5
SUYOG, EQ, 10-Mar-2025,1104.45,1104.45,1109.95,1051.55,1057.05,1055.75,1076.64,21505,231.53,2282, 13692, 63.67,-4.41
SUYOG, EQ, 10-Sep-2024,1700.8,1728.0,1777.4,1699.55,1729.0,1726.75,1734.74,67622,1173.07,7328, 33141, 49.01,1.53
SUYOG, EQ, 10-Oct-2024,1588.4,1611.0,1640.0,1589.45,1598.05,1603.5,1611.87,19301,311.11,1931, 12008, 62.21,0.95
SUYOG, EQ, 10-Dec-2024,1909.15,1933.0,1947.7,1862.0,1930.0,1918.7,1919.06,113635,2180.73,8575, 53254, 46.86,0.5
SUYOG, EQ, 11-Feb-2025,1406.95,1414.0,1431.95,1125.6,1125.6,1125.95,1206.37,129591,1563.35,10109, 80776, 62.33,-19.97
SUYOG, EQ, 11-Mar-2025,1055.75,1071.6,1071.6,972.5,985.0,993.45,1008.72,61986,625.26,5897, 41387, 66.77,-5.9
SUYOG, EQ, 11-Sep-2024,1726.75,1709.5,1728.05,1647.3,1655.0,1654.05,1681.07,51446,864.84,9008, 19216, 37.35,-4.21
SUYOG, EQ, 11-Oct-2024,1603.5,1604.25,1639.8,1592.0,1610.5,1613.6,1616.88,11479,185.6,1551, 6951, 60.55,0.63
