SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SVLL, EQ, 01-Apr-2025,396.85,400.65,416.65,400.0,416.65,416.65,412.05,732,3.02,62, 439, 59.97,4.99
SVLL, EQ, 01-Jun-2023,165.85,173.0,173.0,165.15, 170.75,169.55,170.0,2167,3.68,120, 917, 42.32,2.23
SVLL, EQ, 01-Jul-2024,235.38,241.85,241.85,227.15,229.99,229.3,233.99,6049,14.15,714, 1487, 24.58,-2.58
SVLL, EQ, 01-Aug-2023,172.8,170.0,176.9,170.0, 176.80,176.8,175.1,74,0.13,12, 41, 55.41,2.31
SVLL, EQ, 01-Aug-2024,227.32,225.32,243.12,225.32,229.0,228.9,228.59,5196,11.88,183, 4203, 80.89,0.7
SVLL, EQ, 02-Apr-2025,416.65,416.65,437.45,399.9,435.0,434.0,416.05,4204,17.49,173, 2804, 66.70,4.16
SVLL, EQ, 02-May-2023,166.2,171.0,171.0,158.25, 159.25,159.7,163.61,6597,10.79,358, 3016, 45.72,-3.91
SVLL, EQ, 02-May-2024,221.35,231.8,231.8,213.05, 214.10,216.7,219.77,1061,2.33,134, 668, 62.96,-2.1
SVLL, EQ, 02-Jun-2023,169.55,169.4,180.0,165.2, 165.20,167.25,172.36,3147,5.42,110, 2108, 66.98,-1.36
SVLL, EQ, 02-Jul-2024,229.3,229.3,234.93,227.0,228.0,227.81,228.56,52288,119.51,410, 49753, 95.15,-0.65
SVLL, EQ, 02-Aug-2023,176.8,170.7,178.0,170.7, 178.00,175.5,176.4,1421,2.51,36, 1343, 94.51,-0.74
SVLL, EQ, 02-Aug-2024,228.9,228.94,239.99,221.12,226.0,225.9,227.49,3902,8.88,53, 3376, 86.52,-1.31
SVLL, EQ, 02-Sep-2024,270.69,304.0,324.8,302.2,324.8,324.8,316.51,235063,743.99,5210, 60694, 25.82,19.99
SVLL, EQ, 03-Mar-2025,391.95,373.4,400.0,373.0,378.0,391.35,380.0,1855,7.05,73, 1552, 83.67,-0.15
SVLL, EQ, 03-Apr-2025,434.0,454.4,454.4,425.45,441.0,439.7,437.68,661,2.89,88, 325, 49.17,1.31
SVLL, EQ, 03-May-2023,159.7,153.55,166.45,153.55,162.7,160.25,161.36,2244,3.62,141, 825, 36.76,0.34
SVLL, EQ, 03-May-2024,216.7,224.9,224.9,214.9, 222.05,222.05,215.91,627,1.35,43, 514, 81.98,2.47
SVLL, EQ, 03-Jun-2024,225.15,227.65,235.1,227.6,235.05,235.05,234.76,3885,9.12,51, 3600, 92.66,4.4
SVLL, EQ, 03-Jul-2023,183.0,175.0,184.9,175.0, 184.40,184.25,181.94,627,1.14,96, 310, 49.44,0.68
