SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
SYNDIBANK, EQ, 01-Jan-2020,27.8,28.0,28.0,27.6, 27.75,27.85,27.8,283701,78.88,1140, 90484, 31.89,0.18
SYNDIBANK, EQ, 02-Jan-2020,27.85,27.9,28.65,27.75, 28.35,28.3,28.21,813589,229.48,2067, 385632, 47.40,1.62
SYNDIBANK, EQ, 02-Mar-2020,18.35,18.6,20.4,18.2, 18.50,18.5,18.91,1595855,301.82,3918, 1035244, 64.87,0.82
SYNDIBANK, EQ, 03-Jan-2020,28.3,28.35,28.4,27.6, 27.95,27.8,27.95,566321,158.28,1701, 210589, 37.19,-1.77
SYNDIBANK, EQ, 03-Feb-2020,24.2,24.1,24.25,23.55, 23.70,23.7,23.81,885291,210.75,2620, 496039, 56.03,-2.07
SYNDIBANK, EQ, 03-Mar-2020,18.5,19.0,19.15,18.65, 19.00,18.9,18.95,1467508,278.12,2915, 1064308, 72.52,2.16
SYNDIBANK, EQ, 04-Feb-2020,23.7,24.15,24.15,23.65, 23.80,23.75,23.89,628409,150.12,2218, 294870, 46.92,0.21
SYNDIBANK, EQ, 04-Mar-2020,18.9,19.2,19.9,18.6, 18.90,19.0,19.19,3945223,757.03,6756, 2215372, 56.15,0.53
SYNDIBANK, EQ, 05-Feb-2020,23.75,23.85,24.15,23.7, 23.95,23.8,23.9,651682,155.72,1955, 342272, 52.52,0.21
SYNDIBANK, EQ, 05-Mar-2020,19.0,19.1,21.85,19.0, 21.00,21.0,20.56,5091953,1046.74,9355, 1904073, 37.39,10.53
SYNDIBANK, EQ, 06-Jan-2020,27.8,27.7,27.7,26.25, 26.50,26.35,26.63,1109767,295.48,2859, 668328, 60.22,-5.22
SYNDIBANK, EQ, 06-Feb-2020,23.8,24.0,24.5,23.8, 23.90,23.95,24.06,1882262,452.88,3107, 1229726, 65.33,0.63
SYNDIBANK, EQ, 06-Mar-2020,21.0,20.75,20.85,19.75, 20.35,20.3,20.37,7286202,1484.52,5949, 4709377, 64.63,-3.33
SYNDIBANK, EQ, 07-Jan-2020,26.35,27.0,27.25,26.65, 26.85,26.85,26.93,774130,208.46,1749, 285637, 36.90,1.9
SYNDIBANK, EQ, 07-Feb-2020,23.95,23.9,24.3,23.85, 23.95,23.9,23.99,1747177,419.09,2534, 1018842, 58.31,-0.21
SYNDIBANK, EQ, 08-Jan-2020,26.85,26.5,26.6,25.7, 26.35,26.45,26.31,572940,150.75,1783, 247916, 43.27,-1.49
SYNDIBANK, EQ, 09-Jan-2020,26.45,27.4,27.4,26.8, 26.90,26.95,27.09,521335,141.23,1484, 231704, 44.44,1.89
SYNDIBANK, EQ, 09-Mar-2020,20.3,19.8,20.0,18.65, 18.85,18.9,19.15,7911214,1514.79,4245, 5412394, 68.41,-6.9
SYNDIBANK, EQ, 10-Jan-2020,26.95,26.6,27.45,26.6, 26.95,26.9,27.1,777031,210.55,4665, 304007, 39.12,-0.19
SYNDIBANK, EQ, 10-Feb-2020,23.9,23.9,24.0,23.6, 23.80,23.9,23.86,770628,183.87,1577, 368665, 47.84,0.0
SYNDIBANK, EQ, 11-Feb-2020,23.9,24.0,25.7,23.8, 24.05,24.3,24.71,5228027,1291.99,8740, 940606, 17.99,1.67
SYNDIBANK, EQ, 11-Mar-2020,18.9,18.9,19.35,17.95, 18.15,18.1,18.6,4354398,809.95,9984, 2473051, 56.79,-4.23
SYNDIBANK, EQ, 12-Feb-2020,24.3,24.9,25.15,23.6, 23.80,23.9,24.32,2095966,509.81,4448, 731314, 34.89,-1.65
SYNDIBANK, EQ, 12-Mar-2020,18.1,17.7,17.7,15.1, 15.30,15.3,15.87,3578805,568.02,5162, 1038413, 29.02,-15.47
SYNDIBANK, EQ, 13-Jan-2020,26.9,27.1,27.4,26.85, 27.30,27.3,27.18,534221,145.18,1355, 260974, 48.85,1.49
SYNDIBANK, EQ, 13-Feb-2020,23.9,24.1,24.1,23.6, 23.70,23.8,23.81,653868,155.68,1504, 237323, 36.30,-0.42
SYNDIBANK, EQ, 13-Mar-2020,15.3,13.9,17.0,12.55, 16.75,16.7,15.47,3999368,618.56,6742, 816828, 20.42,9.15
SYNDIBANK, EQ, 14-Jan-2020,27.3,27.3,27.5,27.05, 27.25,27.25,27.25,297496,81.08,1009, 157629, 52.99,-0.18
