SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TANLA, EQ, 01-Jan-2020,70.5,71.0,71.0,69.65, 70.20,70.05,70.09,140667,98.6,469, 112924, 80.28,-0.64
TANLA, EQ, 01-Jan-2021,673.9,670.05,707.55,665.2, 688.00,686.8,691.05,389342,2690.56,11422, 139381, 35.80,1.91
TANLA, EQ, 01-Jan-2024,1094.65,1088.0,1110.0,1088.0, 1105.10,1100.35,1098.27,507337,5571.94,21457, 162157, 31.96,0.52
TANLA, EQ, 01-Jan-2025,672.15,673.95,772.65,672.15,753.1,750.25,749.03,26072951,195294.79,511689, 929623, 3.57,11.62
TANLA, EQ, 01-Feb-2021,678.3,678.3,684.9,660.0, 671.10,672.65,670.86,137989,925.72,7216, 67008, 48.56,-0.83
TANLA, EQ, 01-Feb-2022,1748.2,1767.95,1791.9,1735.0,1762.0,1762.1,1759.95,231365,4071.91,20496, 96941, 41.90,0.8
TANLA, EQ, 01-Feb-2023,646.8,654.7,664.6,631.0, 643.95,637.4,653.14,164655,1075.42,9544, 51050, 31.00,-1.45
TANLA, EQ, 01-Feb-2024,1030.2,1036.05,1038.45,1011.35, 1023.00,1016.45,1023.33,385196,3941.82,20910, 140074, 36.36,-1.33
TANLA, EQ, 01-Mar-2021,896.6,933.95,941.4,908.15, 941.40,941.4,930.05,227043,2111.61,8187, 144743, 63.75,5.0
TANLA, EQ, 01-Mar-2023,675.2,669.0,674.9,658.0, 660.75,661.6,667.16,312250,2083.21,15698, 67485, 21.61,-2.01
TANLA, EQ, 01-Mar-2024,979.6,984.0,994.75,968.0, 973.80,974.7,978.73,434888,4256.4,25938, 163784, 37.66,-0.5
TANLA, EQ, 01-Apr-2020,48.45,50.3,50.85,48.3,50.5,50.25,50.02,149225,74.64,871, 97477, 65.32,3.72
TANLA, EQ, 01-Apr-2021,813.6,834.0,854.25,821.6, 854.25,854.25,846.34,144313,1221.38,5982, 90047, 62.40,5.0
TANLA, EQ, 01-Apr-2022,1525.95,1539.0,1555.0,1465.2, 1484.75,1484.2,1497.54,501016,7502.92,40986, 217684, 43.45,-2.74
TANLA, EQ, 01-Apr-2024,819.7,832.0,847.05,825.15, 846.00,841.95,837.09,498974,4176.85,28800, 228876, 45.87,2.71
TANLA, EQ, 01-Apr-2025,467.25,466.0,484.9,464.0,481.8,480.45,478.64,584198,2796.23,26881, 147726, 25.29,2.83
TANLA, EQ, 01-Jun-2020,68.65,69.85,70.2,67.9, 68.80,68.7,68.91,115889,79.86,662, 85922, 74.14,0.07
TANLA, EQ, 01-Jun-2021,917.45,912.0,927.7,871.6, 871.60,872.2,901.34,1238549,11163.5,17870, 875384, 70.68,-4.93
TANLA, EQ, 01-Jun-2022,1328.5,1328.5,1379.9,1328.5,1372.6,1362.85,1357.47,234934,3189.17,16360, 81754, 34.80,2.59
