SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TARMAT, EQ, 01-Jan-2020,23.15,23.9,23.95,23.5, 23.50,23.5,23.61,405,0.1,9, 401, 99.01,1.51
TARMAT, EQ, 01-Jan-2021,52.8,53.95,54.5,52.15, 52.85,53.3,53.54,19028,10.19,270, 15268, 80.24,0.95
TARMAT, EQ, 01-Jan-2024,93.15,93.0,95.95,90.1, 91.05,91.15,92.9,288423,267.93,3280, 158182, 54.84,-2.15
TARMAT, EQ, 01-Jan-2025,77.29,77.49,80.99,77.23,80.01,80.44,79.81,28924,23.08,838, 11409, 39.44,4.08
TARMAT, EQ, 01-Feb-2021,51.9,54.0,54.7,51.0, 54.70,53.9,53.03,21483,11.39,579, 11112, 51.72,3.85
TARMAT, EQ, 01-Feb-2022,65.95,66.8,67.6,66.0,66.65,66.9,66.8,34767,23.23,707, 16225, 46.67,1.44
TARMAT, EQ, 01-Feb-2023,51.0,51.95,54.45,51.0, 53.00,52.15,52.35,13061,6.84,244, 6506, 49.81,2.25
TARMAT, EQ, 01-Feb-2024,99.2,100.45,101.0,96.9, 97.20,97.65,98.21,110628,108.65,1131, 72614, 65.64,-1.56
TARMAT, EQ, 01-Mar-2021,51.25,53.25,53.25,51.0, 51.00,51.25,51.66,17673,9.13,394, 7599, 43.00,0.0
TARMAT, EQ, 01-Mar-2023,64.5,65.15,72.0,64.1, 71.70,70.95,69.07,333787,230.54,3434, 170750, 51.16,10.0
TARMAT, EQ, 01-Apr-2020,23.35,23.5,23.5,22.2,22.2,23.3,23.34,506,0.12,14, 456, 90.12,-0.21
TARMAT, EQ, 01-Apr-2021,43.25,46.35,48.75,43.05, 48.00,47.05,45.49,31173,14.18,445, 20417, 65.50,8.79
TARMAT, EQ, 01-Apr-2022,59.95,61.25,63.3,59.5, 62.75,62.15,62.0,32099,19.9,583, 19716, 61.42,3.67
TARMAT, EQ, 01-Apr-2025,50.67,50.67,52.39,50.0,52.2,51.81,51.5,13574,6.99,375, 7610, 56.06,2.25
TARMAT, EQ, 01-Jun-2020,19.15,18.55,20.1,18.55, 20.10,20.1,19.83,6088,1.21,125, 2747, 45.12,4.96
TARMAT, EQ, 01-Jun-2021,57.6,58.75,63.15,57.85, 62.00,61.85,60.81,162625,98.89,1574, 105371, 64.79,7.38
TARMAT, EQ, 01-Jun-2022,55.8,56.5,56.55,55.45,56.55,56.4,56.14,8126,4.56,94, 5736, 70.59,1.08
TARMAT, EQ, 01-Jun-2023,71.85,71.15,73.4,67.95, 69.55,69.5,70.91,74306,52.69,872, 44424, 59.79,-3.27
TARMAT, EQ, 01-Jul-2020,25.0,25.2,25.2,23.35, 23.70,24.0,24.15,9080,2.19,325, 2102, 23.15,-4.0
