SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TATATECH, EQ, 01-Jan-2024,1180.15,1184.0,1197.9,1180.0, 1180.00,1180.45,1185.74,794228,9417.45,54162, 440787, 55.50,0.03
TATATECH, EQ, 01-Jan-2025,891.35,894.0,896.95,887.65,890.9,890.8,890.95,438587,3907.61,29866, 188385, 42.95,-0.06
TATATECH, EQ, 01-Feb-2024,1111.4,1119.0,1119.0,1094.1, 1099.90,1098.5,1099.64,1090740,11994.17,84128, 631799, 57.92,-1.16
TATATECH, EQ, 01-Mar-2024,1083.4,1097.65,1105.0,1086.1, 1087.50,1088.4,1093.17,718126,7850.31,40873, 360206, 50.16,0.46
TATATECH, EQ, 01-Apr-2024,1020.6,1040.0,1057.45,1033.5, 1049.80,1049.8,1047.7,957844,10035.37,45199, 487114, 50.86,2.86
TATATECH, EQ, 01-Apr-2025,679.9,677.9,690.95,674.7,686.5,687.05,683.39,1618830,11062.87,43800, 704797, 43.54,1.05
TATATECH, EQ, 01-Jul-2024,1021.95,1023.3,1029.5,1012.0,1013.15,1014.85,1019.28,627199,6392.92,37172, 358945, 57.23,-0.69
TATATECH, EQ, 01-Aug-2024,999.35,1001.0,1004.0,994.0,995.2,995.4,997.77,578837,5775.47,32379, 351590, 60.74,-0.4
TATATECH, EQ, 01-Oct-2024,1103.15,1105.0,1112.0,1091.4,1095.3,1094.25,1098.49,993851,10917.39,39029, 480544, 48.35,-0.81
TATATECH, EQ, 01-Dec-2023,1313.0,1339.3,1348.0,1211.6, 1216.00,1220.6,1243.62,18681419,232326.28,693074, 4664065, 24.97,-7.04
TATATECH, EQ, 02-Jan-2024,1180.45,1184.0,1188.9,1177.0, 1183.65,1181.95,1183.42,720393,8525.29,38674, 348134, 48.33,0.13
TATATECH, EQ, 02-Jan-2025,890.8,890.8,909.9,890.1,904.25,904.8,903.46,633036,5719.21,38498, 278974, 44.07,1.57
TATATECH, EQ, 02-Feb-2024,1098.5,1101.05,1106.0,1088.05, 1099.70,1098.3,1096.6,873712,9581.12,61899, 444110, 50.83,-0.02
TATATECH, EQ, 02-Apr-2024,1049.8,1059.5,1127.0,1048.05, 1095.15,1092.0,1099.44,5508984,60568.1,194725, 1553638, 28.20,4.02
TATATECH, EQ, 02-Apr-2025,687.05,687.0,690.0,675.05,687.5,687.85,683.87,866567,5926.23,30039, 369550, 42.65,0.12
TATATECH, EQ, 02-May-2024,1067.15,1069.4,1095.0,1064.55, 1092.00,1090.2,1081.3,1716282,18558.12,74488, 851158, 49.59,2.16
TATATECH, EQ, 02-Jul-2024,1014.85,1014.85,1019.1,1006.75,1010.6,1009.6,1010.81,433251,4379.35,32471, 267778, 61.81,-0.52
TATATECH, EQ, 02-Aug-2024,995.4,993.0,997.2,990.8,992.2,992.0,993.58,355341,3530.61,27310, 244190, 68.72,-0.34
TATATECH, EQ, 02-Sep-2024,1065.6,1075.0,1076.0,1048.0,1049.6,1050.95,1059.07,3261188,34538.15,123011, 1670918, 51.24,-1.37
TATATECH, EQ, 02-Dec-2024,938.5,939.1,956.95,936.4,949.4,948.75,949.37,1097909,10423.25,42584, 421944, 38.43,1.09
TATATECH, EQ, 03-Jan-2024,1181.95,1180.0,1185.0,1168.0, 1173.75,1172.05,1173.55,937005,10996.21,59940, 547973, 58.48,-0.84
TATATECH, EQ, 03-Jan-2025,904.8,906.65,912.5,895.0,897.8,896.6,901.94,626222,5648.14,56090, 372393, 59.47,-0.91
TATATECH, EQ, 03-Feb-2025,775.55,770.25,774.2,758.35,772.0,768.25,764.93,531189,4063.22,36895, 300050, 56.49,-0.94
TATATECH, EQ, 03-Mar-2025,671.75,675.1,679.4,634.55,663.0,666.25,652.71,2362959,15423.29,137689, 772712, 32.70,-0.82
TATATECH, EQ, 03-Apr-2024,1092.0,1104.7,1146.0,1058.4, 1133.90,1134.15,1120.66,4906449,54984.39,159988, 1511980, 30.82,3.86
TATATECH, EQ, 03-Apr-2025,687.85,684.85,691.0,677.45,681.9,680.05,682.28,1107386,7555.43,38177, 530932, 47.94,-1.13
TATATECH, EQ, 03-May-2024,1090.2,1100.0,1109.8,1076.0, 1085.00,1086.8,1093.14,1612124,17622.82,76038, 685215, 42.50,-0.31
TATATECH, EQ, 03-Jun-2024,1030.2,1070.0,1070.0,1034.15,1038.0,1035.5,1042.16,806191,8401.84,45839, 516854, 64.11,0.51
TATATECH, EQ, 03-Jul-2024,1009.6,1014.25,1014.3,1008.15,1010.0,1009.75,1009.91,409471,4135.28,27686, 294991, 72.04,0.01
TATATECH, EQ, 03-Sep-2024,1050.95,1057.0,1074.3,1045.55,1069.5,1068.8,1064.73,4403973,46890.25,145616, 2010515, 45.65,1.7
TATATECH, EQ, 03-Oct-2024,1094.25,1078.9,1087.7,1061.05,1064.0,1063.3,1072.56,1400311,15019.17,60155, 816801, 58.33,-2.83
TATATECH, EQ, 03-Dec-2024,948.75,951.0,973.85,951.0,956.85,956.35,962.94,1023745,9858.02,41311, 471740, 46.08,0.8
TATATECH, EQ, 04-Jan-2024,1172.05,1175.0,1181.55,1169.45, 1171.45,1171.35,1174.29,706442,8295.65,49951, 453432, 64.19,-0.06
