SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TBZ, EQ, 01-Jan-2020,37.0,36.9,38.25,36.6, 37.90,38.0,37.69,67712,25.52,630, 44098, 65.13,2.7
TBZ, EQ, 01-Jan-2021,62.8,63.0,66.05,61.8, 64.50,64.35,64.56,1278467,825.44,9327, 374736, 29.31,2.47
TBZ, EQ, 01-Jan-2024,127.85,128.5,129.75,125.6, 128.20,127.8,128.25,207456,266.07,5044, 70919, 34.19,-0.04
TBZ, EQ, 01-Jan-2025,236.46,236.1,246.4,234.51,239.2,238.36,240.36,303904,730.45,6619, 116140, 38.22,0.8
TBZ, EQ, 01-Feb-2021,71.75,73.55,78.9,70.6, 78.40,78.05,76.13,1457950,1110.01,14628, 351254, 24.09,8.78
TBZ, EQ, 01-Feb-2022,81.9,81.3,85.4,81.1,82.6,82.2,83.0,402995,334.47,6216, 94322, 23.41,0.37
TBZ, EQ, 01-Feb-2023,74.5,74.8,74.85,71.95, 73.85,73.05,73.79,62863,46.39,1113, 29146, 46.36,-1.95
TBZ, EQ, 01-Feb-2024,131.1,131.1,134.45,129.05, 133.05,132.8,131.42,261332,343.45,4756, 101620, 38.89,1.3
TBZ, EQ, 01-Mar-2021,73.3,74.15,79.0,74.15, 77.60,77.35,77.64,356106,276.49,3443, 176421, 49.54,5.53
TBZ, EQ, 01-Mar-2023,66.55,67.05,68.95,66.5, 67.55,67.45,67.09,27041,18.14,833, 11094, 41.03,1.35
TBZ, EQ, 01-Mar-2024,116.05,116.95,121.9,116.95, 120.45,120.15,119.35,211022,251.85,3517, 91238, 43.24,3.53
TBZ, EQ, 01-Apr-2020,20.1,21.0,22.0,19.8,21.9,21.6,21.01,57108,12.0,687, 26378, 46.19,7.46
TBZ, EQ, 01-Apr-2021,62.15,62.95,68.75,62.45, 66.15,65.85,66.04,175701,116.03,2101, 96783, 55.08,5.95
TBZ, EQ, 01-Apr-2022,68.3,68.9,71.85,68.35, 71.70,71.55,70.98,200335,142.2,2947, 97350, 48.59,4.76
TBZ, EQ, 01-Apr-2024,104.05,107.0,112.65,107.0, 111.15,110.85,110.1,452964,498.71,7581, 183980, 40.62,6.54
TBZ, EQ, 01-Apr-2025,183.3,182.01,192.46,180.43,192.46,192.46,191.14,358401,685.06,3067, 144939, 40.44,5.0
TBZ, EQ, 01-Jun-2020,21.2,21.5,25.4,21.0, 24.30,24.05,23.11,821097,189.79,2510, 489439, 59.61,13.44
TBZ, EQ, 01-Jun-2021,74.65,74.65,78.2,74.5, 75.00,75.2,76.42,274002,209.4,3571, 113647, 41.48,0.74
TBZ, EQ, 01-Jun-2022,62.05,62.85,62.85,60.05,61.0,60.7,61.26,98413,60.29,1543, 43077, 43.77,-2.18
TBZ, EQ, 01-Jun-2023,73.3,73.8,74.3,73.1, 73.45,73.35,73.62,100179,73.75,940, 58656, 58.55,0.07
