SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TEAMLEASE, EQ, 01-Jan-2020,2479.85,2482.45,2510.0,2475.0, 2490.00,2478.5,2490.6,7482,186.35,1953, 5003, 66.87,-0.05
TEAMLEASE, EQ, 01-Jan-2021,2626.3,2640.0,2698.0,2553.9, 2665.90,2666.65,2650.77,23540,623.99,1979, 15873, 67.43,1.54
TEAMLEASE, EQ, 01-Jan-2024,3198.05,3218.25,3300.5,3140.2, 3205.00,3258.55,3217.43,32085,1032.31,7675, 8942, 27.87,1.89
TEAMLEASE, EQ, 01-Jan-2025,2931.0,2904.4,3015.9,2904.4,2983.2,3002.5,2996.09,9410,281.93,2390, 4036, 42.89,2.44
TEAMLEASE, EQ, 01-Feb-2021,2850.9,2890.0,2890.0,2770.0, 2770.00,2784.0,2808.46,16694,468.84,4395, 8388, 50.25,-2.35
TEAMLEASE, EQ, 01-Feb-2022,4322.35,4358.0,4497.0,4299.05,4424.0,4408.0,4389.56,37026,1625.28,9522, 14209, 38.38,1.98
TEAMLEASE, EQ, 01-Feb-2023,2304.0,2290.05,2439.9,2216.0, 2235.00,2250.0,2358.18,34131,804.87,6435, 7826, 22.93,-2.34
TEAMLEASE, EQ, 01-Feb-2024,2866.6,2893.1,2973.0,2780.1, 2960.75,2960.95,2866.67,41452,1188.29,8490, 17078, 41.20,3.29
TEAMLEASE, EQ, 01-Mar-2021,3404.2,3440.0,3839.0,3402.8, 3600.00,3591.25,3614.7,93699,3386.94,18756, 26720, 28.52,5.49
TEAMLEASE, EQ, 01-Mar-2023,2512.6,2525.8,2560.0,2519.1, 2550.00,2543.35,2540.73,5450,138.47,2009, 1602, 29.39,1.22
TEAMLEASE, EQ, 01-Mar-2024,3012.6,3027.7,3030.4,2925.0, 2945.00,2955.45,2968.63,15815,469.49,3193, 4282, 27.08,-1.9
TEAMLEASE, EQ, 01-Apr-2020,1627.1,1627.0,1639.95,1492.5,1520.0,1549.45,1552.23,9340,144.98,2033, 3785, 40.52,-4.77
TEAMLEASE, EQ, 01-Apr-2021,3771.65,3800.0,3859.95,3710.0, 3774.00,3772.6,3792.24,33458,1268.81,4532, 14571, 43.55,0.03
TEAMLEASE, EQ, 01-Apr-2022,4338.9,4300.0,4300.0,4220.0, 4230.00,4247.55,4241.84,10882,461.6,3942, 4181, 38.42,-2.11
TEAMLEASE, EQ, 01-Apr-2024,2740.6,2785.0,2866.15,2746.6, 2835.00,2813.65,2797.68,52115,1458.01,8123, 37663, 72.27,2.67
TEAMLEASE, EQ, 01-Apr-2025,1810.25,1810.25,1879.7,1798.0,1845.95,1855.8,1849.84,29515,545.98,9051, 12606, 42.71,2.52
TEAMLEASE, EQ, 01-Jun-2020,1483.45,1486.0,1633.9,1472.65, 1490.00,1498.7,1527.46,51711,789.87,7866, 29449, 56.95,1.03
TEAMLEASE, EQ, 01-Jun-2021,3463.9,3465.0,3520.0,3416.0, 3417.30,3422.6,3456.52,5554,191.98,1754, 2726, 49.08,-1.19
TEAMLEASE, EQ, 01-Jun-2022,3301.75,3318.3,3400.8,3234.0,3392.3,3374.85,3341.06,12964,433.13,3915, 4913, 37.90,2.21
TEAMLEASE, EQ, 01-Jun-2023,2221.5,2214.9,2285.95,2214.9, 2245.00,2248.55,2248.06,41396,930.61,2873, 33072, 79.89,1.22
TEAMLEASE, EQ, 01-Jul-2020,1680.5,1692.4,1710.9,1640.0, 1665.95,1650.2,1677.73,58846,987.28,5615, 49664, 84.40,-1.8
TEAMLEASE, EQ, 01-Jul-2021,3617.35,3635.45,3666.35,3589.85, 3620.00,3603.95,3616.82,10887,393.76,1761, 7819, 71.82,-0.37
TEAMLEASE, EQ, 01-Jul-2022,3236.15,3252.0,3358.0,3203.6,3300.0,3301.1,3310.08,17375,575.13,5219, 6628, 38.15,2.01
TEAMLEASE, EQ, 01-Jul-2024,2957.25,2978.0,3028.8,2959.6,3015.0,2998.55,2990.5,25017,748.13,3579, 17967, 71.82,1.4
TEAMLEASE, EQ, 01-Aug-2022,3500.25,3517.8,3552.8,3244.0, 3263.00,3255.25,3310.61,90588,2999.02,17068, 39893, 44.04,-7.0
TEAMLEASE, EQ, 01-Aug-2023,2357.85,2358.15,2366.1,2308.0, 2320.00,2317.05,2345.41,14624,342.99,2897, 10675, 73.00,-1.73
TEAMLEASE, EQ, 01-Aug-2024,3516.95,3405.0,3456.0,3240.0,3277.0,3275.55,3368.47,110022,3706.06,23550, 57518, 52.28,-6.86
TEAMLEASE, EQ, 01-Sep-2020,2369.8,2369.8,2400.0,2302.95, 2366.85,2362.35,2354.26,15061,354.57,2158, 4526, 30.05,-0.31
TEAMLEASE, EQ, 01-Sep-2021,4116.05,4120.0,4444.55,4115.0,4245.0,4257.1,4286.45,87676,3758.19,16817, 31934, 36.42,3.43
TEAMLEASE, EQ, 01-Sep-2022,3386.0,3402.95,3454.75,3332.8,3365.0,3375.05,3411.71,17002,580.06,6270, 9684, 56.96,-0.32
TEAMLEASE, EQ, 01-Sep-2023,2420.0,2414.1,2482.95,2377.95, 2455.00,2453.45,2429.49,20800,505.33,4353, 10490, 50.43,1.38
TEAMLEASE, EQ, 01-Oct-2020,2195.05,2233.0,2300.0,2152.8, 2265.00,2268.45,2238.85,7502,167.96,1238, 3782, 50.41,3.34
TEAMLEASE, EQ, 01-Oct-2021,4488.65,4416.0,4580.0,4400.0, 4570.00,4567.7,4532.81,9054,410.4,3267, 4472, 49.39,1.76
TEAMLEASE, EQ, 01-Oct-2024,3129.3,3125.0,3140.0,3065.25,3130.0,3130.85,3106.69,12280,381.5,3045, 4561, 37.14,0.05
TEAMLEASE, EQ, 01-Nov-2021,4478.75,4595.0,4939.95,4480.3, 4650.10,4747.3,4655.83,38900,1811.12,8492, 27091, 69.64,6.0
TEAMLEASE, EQ, 01-Nov-2022,2911.25,2911.25,2940.0,2891.0,2891.0,2904.1,2904.69,70653,2052.25,3609, 66230, 93.74,-0.25
TEAMLEASE, EQ, 01-Nov-2023,2346.2,2350.0,2367.9,2300.0, 2325.05,2325.7,2326.85,19168,446.01,5681, 8078, 42.14,-0.87
TEAMLEASE, EQ, 01-Dec-2020,2499.9,2499.0,2710.0,2421.0,2661.0,2671.95,2643.53,64868,1714.8,11771, 29015, 44.73,6.88
TEAMLEASE, EQ, 01-Dec-2021,4278.5,4262.1,4343.9,4123.55,4152.0,4175.15,4257.26,28126,1197.4,9996, 9999, 35.55,-2.42
TEAMLEASE, EQ, 01-Dec-2022,2494.4,2500.0,2518.85,2482.05,2513.5,2510.2,2495.96,61225,1528.15,3166, 55612, 90.83,0.63
TEAMLEASE, EQ, 01-Dec-2023,2524.0,2525.1,2648.95,2525.1, 2579.75,2575.75,2587.76,89650,2319.92,14583, 59284, 66.13,2.05
TEAMLEASE, EQ, 02-Jan-2020,2478.5,2475.0,2543.9,2475.0, 2499.25,2503.55,2504.36,11553,289.33,1119, 7854, 67.98,1.01
TEAMLEASE, EQ, 02-Jan-2023,2522.65,2530.0,2559.55,2512.35, 2520.50,2525.7,2536.21,4126,104.64,1435, 1975, 47.87,0.12
TEAMLEASE, EQ, 02-Jan-2024,3258.55,3258.55,3274.3,3115.0, 3154.00,3144.95,3149.55,90503,2850.44,18402, 34271, 37.87,-3.49
