SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TEMBO, EQ, 01-Jan-2024,273.15,273.8,281.3,267.6, 269.95,268.75,273.74,63797,174.64,2110, 18799, 29.47,-1.61
TEMBO, EQ, 01-Feb-2022,284.45,287.85,287.9,275.0,285.0,281.1,280.3,62007,173.8,886, 20776, 33.51,-1.18
TEMBO, EQ, 01-Feb-2023,161.55,161.55,165.0,157.3, 163.70,162.5,161.48,89487,144.5,504, 23679, 26.46,0.59
TEMBO, EQ, 01-Feb-2024,288.25,285.05,303.9,285.05, 287.50,290.0,290.38,79344,230.4,2025, 28661, 36.12,0.61
TEMBO, EQ, 01-Mar-2023,160.1,160.6,168.1,159.05, 168.10,165.05,161.65,238070,384.84,795, 125903, 52.88,3.09
TEMBO, EQ, 01-Mar-2024,284.2,283.8,289.5,277.4, 284.00,287.35,284.2,79373,225.57,1294, 34175, 43.06,1.11
TEMBO, EQ, 01-Apr-2022,198.75,204.0,204.55,193.5, 202.00,203.4,199.76,101859,203.48,2717, 21414, 21.02,2.34
TEMBO, EQ, 01-Apr-2024,251.3,253.85,268.85,250.55, 264.00,263.25,256.06,81695,209.19,1988, 28129, 34.43,4.76
TEMBO, EQ, 01-Jun-2021,164.15,189.9,189.9,160.7, 166.50,168.05,165.41,532793,881.31,2214, 260554, 48.90,2.38
TEMBO, EQ, 01-Jun-2022,158.3,159.0,159.0,150.4,154.95,153.8,152.73,91591,139.89,316, 33965, 37.08,-2.84
TEMBO, EQ, 01-Jun-2023,227.6,229.9,230.5,225.8, 230.00,228.5,228.13,29014,66.19,489, 16897, 58.24,0.4
TEMBO, EQ, 01-Jul-2022,117.7,118.1,122.75,106.5,107.0,114.05,116.69,13019,15.19,299, 8875, 68.17,-3.1
TEMBO, EQ, 01-Jul-2024,234.23,234.9,235.1,230.99,235.1,233.72,233.24,38703,90.27,481, 8276, 21.38,-0.22
TEMBO, EQ, 01-Aug-2022,166.05,163.0,166.85,162.0, 166.80,165.7,164.68,27682,45.59,120, 6299, 22.75,-0.21
TEMBO, EQ, 01-Aug-2024,228.93,227.0,230.1,223.6,223.6,224.41,227.15,13351,30.33,694, 8972, 67.20,-1.97
TEMBO, EQ, 01-Sep-2021,252.85,247.45,254.0,247.45,254.0,253.8,249.81,111772,279.22,554, 30757, 27.52,0.38
TEMBO, EQ, 01-Sep-2022,110.05,108.1,113.25,104.55,105.0,104.85,107.14,90860,97.35,822, 58820, 64.74,-4.73
TEMBO, EQ, 01-Oct-2021,323.6,320.0,324.5,310.0, 316.45,318.9,315.45,278848,879.64,2431, 95363, 34.20,-1.45
TEMBO, EQ, 01-Nov-2022,107.5,108.95,112.85,106.5,112.85,112.85,110.53,292249,323.04,763, 139444, 47.71,4.98
TEMBO, EQ, 01-Nov-2023,234.45,228.2,235.95,228.2, 233.00,231.9,234.45,31547,73.96,607, 3180, 10.08,-1.09
TEMBO, EQ, 01-Dec-2022,109.7,111.6,111.75,108.0,111.5,110.0,109.41,77786,85.11,429, 40114, 51.57,0.27
TEMBO, EQ, 01-Dec-2023,236.6,238.95,240.7,234.45, 239.00,236.55,238.91,41239,98.52,1054, 8397, 20.36,-0.02
TEMBO, EQ, 02-Jan-2023,130.85,131.85,132.25,124.35, 125.60,128.15,126.26,202631,255.85,749, 73350, 36.20,-2.06
TEMBO, EQ, 02-Jan-2024,268.75,272.0,274.0,265.85, 273.20,269.8,269.81,39890,107.63,417, 9936, 24.91,0.39
TEMBO, EQ, 02-Feb-2022,281.1,283.05,292.0,277.5, 291.40,291.65,286.05,138387,395.85,1515, 31268, 22.59,3.75
TEMBO, EQ, 02-Feb-2023,162.5,162.5,164.6,160.05, 163.00,163.25,161.85,72598,117.5,339, 16499, 22.73,0.46
TEMBO, EQ, 02-Feb-2024,290.0,290.5,294.05,281.2, 283.10,283.0,286.44,98621,282.49,1954, 44681, 45.31,-2.41
TEMBO, EQ, 02-Mar-2022,218.4,207.5,207.5,207.5, 207.50,207.5,207.5,9521,19.76,120, 9484, 99.61,-4.99
TEMBO, EQ, 02-Mar-2023,165.05,170.0,173.3,170.0, 173.30,173.25,172.75,408503,705.69,1090, 180442, 44.17,4.97
TEMBO, EQ, 02-Apr-2024,263.25,263.0,276.0,261.2, 273.00,270.9,268.06,59972,160.76,2140, 14941, 24.91,2.91
TEMBO, EQ, 02-May-2022,205.55,212.0,215.95,196.6,208.85,208.1,204.1,80419,164.14,1659, 19749, 24.56,1.24
TEMBO, EQ, 02-May-2023,230.0,233.0,233.0,221.3, 222.00,225.8,227.39,216754,492.87,1657, 84041, 38.77,-1.83
TEMBO, EQ, 02-May-2024,229.05,227.05,232.5,226.95, 231.75,231.3,229.03,42011,96.22,708, 7446, 17.72,0.98
TEMBO, EQ, 02-Jun-2021,168.05,168.05,178.05,167.6, 177.20,173.65,170.12,198419,337.54,1363, 34939, 17.61,3.33
TEMBO, EQ, 02-Jun-2022,153.8,150.25,153.5,146.15,148.5,151.9,150.93,41048,61.95,274, 23019, 56.08,-1.24
TEMBO, EQ, 02-Jun-2023,228.5,230.8,231.5,227.3, 229.40,228.5,228.71,8656,19.8,267, 5279, 60.99,0.0
TEMBO, EQ, 02-Jul-2024,233.72,235.0,242.45,233.65,233.76,234.6,236.65,67487,159.71,1515, 23866, 35.36,0.38
TEMBO, EQ, 02-Aug-2021,206.1,208.8,214.65,201.7,210.0,210.55,206.81,61286,126.75,451, 31187, 50.89,2.16
TEMBO, EQ, 02-Aug-2022,165.7,163.9,166.0,157.45,157.45,158.1,163.03,18729,30.53,268, 7354, 39.27,-4.59
TEMBO, EQ, 02-Aug-2024,224.41,223.93,225.6,220.0,222.9,221.11,222.2,19181,42.62,936, 10435, 54.40,-1.47
TEMBO, EQ, 02-Sep-2021,253.8,254.2,256.0,250.55, 255.00,254.35,254.01,69887,177.52,383, 16124, 23.07,0.22
TEMBO, EQ, 02-Sep-2022,104.85,106.0,110.05,106.0,110.05,110.0,109.43,70091,76.7,460, 52942, 75.53,4.91
TEMBO, EQ, 02-Sep-2024,289.17,293.0,337.25,289.0,319.8,323.0,322.4,1513859,4880.65,47649, 348131, 23.00,11.7
TEMBO, EQ, 02-Nov-2022,112.85,115.95,118.45,112.35,114.1,114.35,116.13,135495,157.35,819, 54877, 40.50,1.33
TEMBO, EQ, 02-Nov-2023,231.9,231.8,235.0,230.25, 235.00,232.7,233.19,33333,77.73,543, 4125, 12.38,0.34
TEMBO, EQ, 02-Dec-2022,110.0,111.45,111.45,109.0, 110.50,110.0,110.11,34519,38.01,252, 2609, 7.56,0.0
TEMBO, EQ, 03-Jan-2023,128.15,125.0,134.55,124.0, 134.55,132.35,127.92,284387,363.8,659, 127601, 44.87,3.28
TEMBO, EQ, 03-Jan-2024,269.8,267.1,273.55,267.0, 270.00,270.4,271.7,34533,93.83,744, 5717, 16.56,0.22
TEMBO, EQ, 03-Feb-2022,291.65,294.0,297.0,286.15, 291.00,291.05,292.33,109413,319.84,1381, 25604, 23.40,-0.21
TEMBO, EQ, 03-Feb-2023,163.25,163.5,164.6,158.0, 163.00,160.65,160.99,510900,822.51,666, 336347, 65.83,-1.59
TEMBO, EQ, 03-Mar-2022,207.5,197.15,217.85,197.15,217.85,211.75,202.2,316542,640.05,1567, 56146, 17.74,2.05
TEMBO, EQ, 03-Mar-2023,173.25,179.8,181.1,164.6, 164.60,165.85,176.97,422333,747.42,2349, 195747, 46.35,-4.27
TEMBO, EQ, 03-Apr-2023,200.15,204.15,204.15,198.25, 200.00,199.9,199.94,279532,558.89,1759, 160325, 57.35,-0.12
TEMBO, EQ, 03-Apr-2024,270.9,270.55,276.0,268.9, 271.00,272.55,273.73,53022,145.14,1090, 22158, 41.79,0.61
TEMBO, EQ, 03-May-2021,137.45,139.85,145.0,137.0,143.0,142.05,139.05,145047,201.69,1416, 48971, 33.76,3.35
TEMBO, EQ, 03-May-2023,225.8,223.0,225.0,212.0,212.15,216.8,220.03,274370,603.7,1794, 101250, 36.90,-3.99
TEMBO, EQ, 03-May-2024,231.3,232.5,232.5,220.25, 221.50,222.8,227.92,43547,99.25,775, 9125, 20.95,-3.67
