SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TI, EQ, 01-Jan-2021,29.8,30.75,30.75,28.25, 28.85,28.9,29.23,241865,70.7,1300, 156556, 64.73,-3.02
TI, EQ, 01-Jan-2024,240.95,240.1,243.0,240.0, 240.65,240.6,240.92,424525,1022.78,14547, 232182, 54.69,-0.15
TI, EQ, 01-Jan-2025,422.25,422.4,427.75,418.2,419.5,420.2,424.0,567601,2406.62,16637, 236949, 41.75,-0.49
TI, EQ, 01-Feb-2021,28.2,28.3,28.65,25.7, 28.45,28.25,27.71,309861,85.88,1379, 184785, 59.63,0.18
TI, EQ, 01-Feb-2023,115.95,117.05,117.95,110.15, 111.30,111.6,112.64,236736,266.66,2382, 129772, 54.82,-3.75
TI, EQ, 01-Feb-2024,244.05,245.0,248.4,240.0, 240.60,240.3,242.75,377955,917.47,11653, 193953, 51.32,-1.54
TI, EQ, 01-Mar-2021,27.95,28.65,28.65,27.75, 28.50,28.2,28.2,206201,58.14,1060, 107042, 51.91,0.89
TI, EQ, 01-Mar-2023,114.5,115.5,117.35,114.05, 117.00,116.2,115.16,696533,802.16,2377, 626639, 89.97,1.48
TI, EQ, 01-Mar-2024,215.2,216.75,222.4,215.5, 216.80,216.4,218.49,424675,927.88,9964, 243160, 57.26,0.56
TI, EQ, 01-Apr-2020,15.1,15.05,15.2,14.95,15.0,15.0,15.01,15246,2.29,75, 14302, 93.81,-0.66
TI, EQ, 01-Apr-2021,29.45,29.55,31.8,29.5, 31.00,30.9,30.92,781996,241.79,1232, 648296, 82.90,4.92
TI, EQ, 01-Apr-2022,66.65,67.7,69.55,66.75, 68.40,68.5,68.42,111654,76.39,966, 68850, 61.66,2.78
TI, EQ, 01-Apr-2024,210.5,212.5,218.35,212.0, 215.10,216.55,215.89,428305,924.68,12865, 194379, 45.38,2.87
TI, EQ, 01-Apr-2025,236.75,236.7,245.98,234.75,242.3,242.65,240.67,591812,1424.31,8738, 256426, 43.33,2.49
