SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TIINDIA, EQ, 01-Jan-2020,481.6,480.1,492.85,480.1, 489.00,490.55,487.5,17858,87.06,1689, 8626, 48.30,1.86
TIINDIA, EQ, 01-Jan-2021,800.85,806.05,807.95,792.45, 800.00,798.3,800.26,29002,232.09,1935, 18085, 62.36,-0.32
TIINDIA, EQ, 01-Jan-2024,3541.65,3575.0,3604.95,3551.1, 3593.00,3588.1,3588.08,40530,1454.25,7566, 16339, 40.31,1.31
TIINDIA, EQ, 01-Jan-2025,3576.25,3556.25,3587.35,3526.35,3561.0,3579.9,3558.28,54944,1955.06,9535, 24750, 45.05,0.1
TIINDIA, EQ, 01-Feb-2021,779.2,772.0,805.95,752.4, 789.00,796.0,795.02,777606,6182.14,4643, 149587, 19.24,2.16
TIINDIA, EQ, 01-Feb-2022,1695.35,1703.0,1703.45,1662.4,1679.0,1686.75,1685.1,40460,681.79,6774, 18145, 44.85,-0.51
TIINDIA, EQ, 01-Feb-2023,2609.95,2610.15,2631.7,2541.9, 2600.00,2616.9,2613.38,149585,3909.22,17769, 87880, 58.75,0.27
TIINDIA, EQ, 01-Feb-2024,3898.05,3943.8,4000.0,3601.0, 3775.00,3779.35,3867.74,252250,9756.37,40506, 83082, 32.94,-3.05
TIINDIA, EQ, 01-Mar-2021,1080.45,1080.45,1082.0,1021.0, 1050.00,1041.4,1035.77,226705,2348.14,9453, 176980, 78.07,-3.61
TIINDIA, EQ, 01-Mar-2023,2771.8,2788.0,2818.65,2747.0, 2780.35,2782.95,2776.66,234903,6522.45,25857, 93403, 39.76,0.4
TIINDIA, EQ, 01-Mar-2024,3488.65,3520.0,3824.8,3510.95, 3719.90,3713.9,3655.33,296730,10846.45,33414, 131856, 44.44,6.46
TIINDIA, EQ, 01-Apr-2020,273.9,272.5,278.0,255.05,257.85,258.8,263.39,132835,349.87,6919, 112874, 84.97,-5.51
TIINDIA, EQ, 01-Apr-2021,1193.35,1219.0,1219.85,1153.0, 1195.00,1198.35,1197.34,282259,3379.61,4331, 258697, 91.65,0.42
TIINDIA, EQ, 01-Apr-2022,1624.7,1624.85,1659.35,1603.95, 1610.10,1614.9,1625.13,551256,8958.64,9572, 502242, 91.11,-0.6
