SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TIMETECHNO, EQ, 01-Jan-2020,55.75,56.6,58.9,54.85, 57.30,57.1,57.27,750815,429.96,4645, 209693, 27.93,2.42
TIMETECHNO, EQ, 01-Jan-2021,49.3,49.8,50.35,49.15, 49.80,49.45,49.74,380430,189.21,2083, 174096, 45.76,0.3
TIMETECHNO, EQ, 01-Jan-2024,176.7,177.3,186.45,175.85, 185.30,185.15,180.85,2590338,4684.65,20350, 1004525, 38.78,4.78
TIMETECHNO, EQ, 01-Jan-2025,493.6,493.85,501.95,485.1,495.8,495.15,495.07,905739,4484.0,22531, 200558, 22.14,0.31
TIMETECHNO, EQ, 01-Feb-2021,52.1,52.0,53.35,51.45, 52.80,52.65,52.43,406255,212.99,2112, 194512, 47.88,1.06
TIMETECHNO, EQ, 01-Feb-2022,84.7,85.3,85.7,81.6,82.95,83.1,83.4,1819536,1517.48,16318, 777801, 42.75,-1.89
TIMETECHNO, EQ, 01-Feb-2023,84.95,85.7,86.5,82.45, 84.15,83.4,85.15,518624,441.62,4109, 145377, 28.03,-1.82
TIMETECHNO, EQ, 01-Feb-2024,174.55,174.0,175.05,170.95, 172.70,173.25,173.06,1026079,1775.71,15298, 421169, 41.05,-0.74
TIMETECHNO, EQ, 01-Mar-2021,56.35,60.0,60.9,56.65, 59.40,59.75,59.42,1762787,1047.46,13235, 546351, 30.99,6.03
TIMETECHNO, EQ, 01-Mar-2023,81.0,81.9,84.5,81.3, 83.35,83.45,83.05,944461,784.33,6920, 354049, 37.49,3.02
TIMETECHNO, EQ, 01-Mar-2024,217.15,218.35,225.15,217.15, 219.00,219.0,219.61,1545108,3393.25,19982, 500163, 32.37,0.85
TIMETECHNO, EQ, 01-Apr-2020,24.95,25.85,25.85,23.35,23.8,23.75,24.57,219114,53.84,1092, 159170, 72.64,-4.81
TIMETECHNO, EQ, 01-Apr-2021,60.55,61.0,62.95,60.2, 61.70,61.9,61.87,1127767,697.8,12084, 575124, 51.00,2.23
TIMETECHNO, EQ, 01-Apr-2022,63.9,63.9,71.2,63.85, 69.25,69.75,67.84,2183091,1481.08,12636, 788322, 36.11,9.15
TIMETECHNO, EQ, 01-Apr-2024,249.65,252.8,262.2,248.3, 251.00,251.7,254.64,1790282,4558.79,13182, 826338, 46.16,0.82
TIMETECHNO, EQ, 01-Apr-2025,417.7,424.0,431.85,419.25,429.0,428.7,426.08,942678,4016.55,29646, 373940, 39.67,2.63
TIMETECHNO, EQ, 01-Jun-2020,29.3,29.9,35.1,29.9, 34.25,34.35,32.9,744286,244.9,4144, 351641, 47.25,17.24
TIMETECHNO, EQ, 01-Jun-2021,82.35,82.9,84.8,81.15, 83.05,82.9,83.04,960779,797.83,7113, 451544, 47.00,0.67
TIMETECHNO, EQ, 01-Jun-2022,103.35,104.25,109.7,102.8,104.2,104.1,106.24,4584910,4871.1,28005, 1467572, 32.01,0.73
TIMETECHNO, EQ, 01-Jun-2023,93.05,93.8,99.0,93.5, 97.25,97.45,96.77,9386278,9083.05,27888, 3683545, 39.24,4.73
TIMETECHNO, EQ, 01-Jul-2020,37.45,37.0,38.6,37.0, 38.00,38.0,37.62,280448,105.5,1338, 175305, 62.51,1.47
