SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TOTAL, EQ, 01-Jan-2021,64.0,66.0,67.2,62.15, 67.20,67.2,66.7,68892,45.95,305, 52244, 75.83,5.0
TOTAL, EQ, 01-Jan-2024,129.65,129.65,135.0,128.05, 133.00,133.1,132.9,131809,175.18,1431, 56732, 43.04,2.66
TOTAL, EQ, 01-Jan-2025,73.69,75.14,75.31,72.51,72.67,73.08,73.67,7385,5.44,515, 3474, 47.04,-0.83
TOTAL, EQ, 01-Feb-2021,65.3,65.5,67.9,63.3, 65.00,65.25,64.97,21412,13.91,312, 14458, 67.52,-0.08
TOTAL, EQ, 01-Feb-2023,150.2,151.25,155.95,142.7, 142.70,142.7,149.53,16545,24.74,364, 11523, 69.65,-4.99
TOTAL, EQ, 01-Feb-2024,125.45,127.9,128.7,124.0, 124.40,124.7,125.85,17815,22.42,545, 10724, 60.20,-0.6
TOTAL, EQ, 01-Mar-2021,55.5,58.25,58.25,54.3, 58.00,58.0,57.91,27748,16.07,303, 24017, 86.55,4.5
TOTAL, EQ, 01-Mar-2023,127.5,130.0,134.0,126.1, 134.00,132.1,129.7,16187,20.99,1067, 10018, 61.89,3.61
TOTAL, EQ, 01-Mar-2024,114.0,116.0,116.1,113.5, 114.40,114.85,114.68,19411,22.26,439, 14896, 76.74,0.75
TOTAL, EQ, 01-Apr-2021,43.45,44.85,44.9,43.55, 43.55,43.6,44.15,5487,2.42,58, 4363, 79.52,0.35
TOTAL, EQ, 01-Apr-2022,71.2,70.3,71.7,67.75, 68.65,68.65,68.87,88158,60.71,763, 66647, 75.60,-3.58
TOTAL, EQ, 01-Apr-2024,93.9,94.15,101.0,94.15, 100.85,100.25,98.54,29908,29.47,410, 21577, 72.14,6.76
TOTAL, EQ, 01-Apr-2025,68.72,71.0,71.51,69.1,70.5,70.16,70.41,7978,5.62,332, 2463, 30.87,2.1
TOTAL, EQ, 01-Jun-2021,43.0,43.0,43.75,42.0, 42.30,42.45,42.74,12015,5.13,105, 9436, 78.54,-1.28
TOTAL, EQ, 01-Jun-2022,62.85,64.1,64.8,61.6,62.45,62.15,63.47,12164,7.72,252, 7269, 59.76,-1.11
TOTAL, EQ, 01-Jun-2023,138.85,139.6,141.0,134.5, 139.40,136.55,136.78,145403,198.88,1193, 93143, 64.06,-1.66
TOTAL, EQ, 01-Jul-2021,52.15,53.0,53.0,51.0, 51.35,51.2,51.75,23613,12.22,235, 14971, 63.40,-1.82
TOTAL, EQ, 01-Jul-2022,62.45,60.2,62.6,60.2,62.05,62.1,61.69,7927,4.89,164, 5265, 66.42,-0.56
TOTAL, EQ, 01-Aug-2022,78.85,80.55,93.1,78.1, 84.65,85.3,86.37,217640,187.97,1910, 94384, 43.37,8.18
TOTAL, EQ, 01-Sep-2020,27.25,27.3,28.6,25.9, 28.60,28.6,27.47,6690,1.84,63, 4225, 63.15,4.95
TOTAL, EQ, 01-Sep-2021,52.55,53.0,53.7,51.0,51.0,51.3,51.98,19222,9.99,230, 11195, 58.24,-2.38
TOTAL, EQ, 01-Sep-2022,116.1,114.0,121.45,113.4,115.1,115.4,118.27,99430,117.59,1381, 56014, 56.34,-0.6
TOTAL, EQ, 01-Oct-2020,40.15,42.15,42.15,41.0, 42.00,42.0,42.01,1562,0.66,15, 1262, 80.79,4.61
TOTAL, EQ, 01-Oct-2021,53.2,54.45,55.0,49.6, 51.60,51.5,51.2,103417,52.95,819, 56602, 54.73,-3.2
TOTAL, EQ, 01-Nov-2021,46.15,45.0,48.85,45.0, 48.80,48.7,48.12,24628,11.85,229, 16920, 68.70,5.53
TOTAL, EQ, 01-Nov-2022,182.65,180.0,191.75,180.0,191.75,191.75,189.9,127184,241.52,887, 81268, 63.90,4.98
TOTAL, EQ, 01-Nov-2023,120.75,123.2,132.0,121.25, 128.40,128.45,127.51,125211,159.66,3029, 34014, 27.17,6.38
TOTAL, EQ, 01-Dec-2020,63.0,66.15,66.15,63.0,66.15,66.15,66.04,115131,76.03,484, 95758, 83.17,5.0
TOTAL, EQ, 01-Dec-2021,53.5,54.6,54.6,52.5,53.1,53.15,53.0,8390,4.45,149, 6271, 74.74,-0.65
TOTAL, EQ, 01-Dec-2022,170.85,172.95,172.95,167.3,170.9,170.1,169.94,28929,49.16,373, 21000, 72.59,-0.44
TOTAL, EQ, 01-Dec-2023,125.65,124.65,126.0,123.7, 124.20,124.35,124.87,15957,19.93,1548, 6403, 40.13,-1.03
TOTAL, EQ, 02-Jan-2023,158.85,159.95,159.95,158.0, 159.85,158.65,158.83,11360,18.04,192, 8476, 74.61,-0.13
TOTAL, EQ, 02-Jan-2024,133.1,133.5,135.1,128.65, 130.00,130.8,131.77,22876,30.14,579, 12473, 54.52,-1.73
TOTAL, EQ, 02-Jan-2025,73.08,75.48,75.48,72.22,73.68,73.06,73.55,11420,8.4,523, 5211, 45.63,-0.03
TOTAL, EQ, 02-Feb-2021,65.25,66.9,67.1,64.3, 65.00,65.6,65.73,9360,6.15,158, 7223, 77.17,0.54
TOTAL, EQ, 02-Feb-2023,142.7,140.0,142.95,135.6, 138.00,136.6,137.58,24569,33.8,442, 15423, 62.77,-4.27
TOTAL, EQ, 02-Feb-2024,124.7,126.95,127.7,124.0, 124.50,124.5,125.2,13867,17.36,356, 9276, 66.89,-0.16
TOTAL, EQ, 02-Mar-2021,58.0,60.8,60.8,55.25,55.35,55.75,56.4,25499,14.38,280, 19000, 74.51,-3.88
TOTAL, EQ, 02-Mar-2023,132.1,133.0,138.0,132.0, 134.90,134.3,134.1,13002,17.44,724, 7269, 55.91,1.67
TOTAL, EQ, 02-Apr-2024,100.25,100.5,103.75,100.0, 102.55,102.9,101.88,24638,25.1,373, 14471, 58.73,2.64
TOTAL, EQ, 02-Apr-2025,70.16,70.14,72.56,70.14,72.51,72.29,71.86,5608,4.03,203, 3731, 66.53,3.04
TOTAL, EQ, 02-May-2022,69.95,71.0,71.0,68.45,69.0,69.15,69.69,6770,4.72,122, 3669, 54.19,-1.14
TOTAL, EQ, 02-May-2023,138.7,138.65,140.85,136.1, 137.00,137.05,138.22,9640,13.32,281, 6517, 67.60,-1.19
TOTAL, EQ, 02-May-2024,104.8,106.75,106.75,98.45, 103.20,102.15,102.09,24949,25.47,417, 13749, 55.11,-2.53
TOTAL, EQ, 02-Jun-2021,42.45,44.45,44.45,41.85, 42.00,42.1,42.47,23761,10.09,161, 19855, 83.56,-0.82
TOTAL, EQ, 02-Jun-2022,62.15,63.4,64.9,61.2,64.4,64.3,63.28,13184,8.34,220, 8427, 63.92,3.46
TOTAL, EQ, 02-Jun-2023,136.55,138.0,147.5,137.8, 142.55,141.55,142.29,61720,87.82,970, 28977, 46.95,3.66
TOTAL, EQ, 02-Jul-2021,51.2,49.6,52.05,49.6,50.45,50.35,50.36,15888,8.0,188, 11580, 72.89,-1.66
TOTAL, EQ, 02-Aug-2021,57.75,60.85,65.5,60.85,62.0,62.55,64.01,245427,157.1,3419, 113901, 46.41,8.31
TOTAL, EQ, 02-Aug-2022,85.3,85.95,90.0,84.8,87.05,88.05,87.93,59395,52.23,653, 40925, 68.90,3.22
TOTAL, EQ, 02-Sep-2020,28.6,29.4,30.0,29.0, 30.00,30.0,29.75,18051,5.37,131, 11200, 62.05,4.9
TOTAL, EQ, 02-Sep-2021,51.3,53.5,53.5,50.5, 51.50,51.15,51.37,18604,9.56,201, 13422, 72.15,-0.29
TOTAL, EQ, 02-Sep-2022,115.4,116.05,119.0,110.0,111.0,111.35,114.1,74723,85.26,1069, 51600, 69.06,-3.51
TOTAL, EQ, 02-Nov-2020,36.7,36.35,37.35,35.2, 35.30,35.85,35.86,1472,0.53,28, 1272, 86.41,-2.32
TOTAL, EQ, 02-Nov-2021,48.7,49.0,54.9,48.9, 51.90,51.8,52.42,109135,57.21,1558, 67713, 62.05,6.37
TOTAL, EQ, 02-Nov-2022,191.75,194.8,201.3,188.0,188.1,189.25,196.96,287942,567.13,2734, 102798, 35.70,-1.3
TOTAL, EQ, 02-Nov-2023,128.45,130.4,131.45,125.7, 128.85,127.7,128.83,26030,33.54,834, 10920, 41.95,-0.58
TOTAL, EQ, 02-Dec-2020,66.15,67.5,69.3,64.3, 68.00,67.3,67.75,49974,33.86,458, 35670, 71.38,1.74
TOTAL, EQ, 02-Dec-2021,53.15,53.35,54.9,53.2, 53.60,53.55,53.7,8283,4.45,94, 7256, 87.60,0.75
TOTAL, EQ, 02-Dec-2022,170.1,171.0,171.95,167.85, 170.50,170.55,170.18,16233,27.63,166, 13187, 81.24,0.26
TOTAL, EQ, 02-Dec-2024,72.12,74.4,75.0,71.41,75.0,74.33,73.47,12167,8.94,336, 8586, 70.57,3.06
TOTAL, EQ, 03-Jan-2022,88.75,90.85,90.85,85.25, 86.85,86.3,87.31,45325,39.57,668, 30506, 67.31,-2.76
TOTAL, EQ, 03-Jan-2023,158.65,158.15,164.3,155.7, 163.50,162.75,161.96,36695,59.43,507, 29887, 81.45,2.58
TOTAL, EQ, 03-Jan-2024,130.8,130.1,132.7,127.1, 128.90,128.8,129.3,15014,19.41,349, 8081, 53.82,-1.53
TOTAL, EQ, 03-Jan-2025,73.06,74.14,74.2,72.51,73.56,72.6,72.96,9220,6.73,288, 6527, 70.79,-0.63
TOTAL, EQ, 03-Feb-2021,65.6,65.5,66.65,62.6, 63.50,64.5,64.38,31337,20.18,355, 16914, 53.97,-1.68
TOTAL, EQ, 03-Feb-2023,136.6,132.0,140.0,129.8, 140.00,137.45,131.08,63200,82.85,599, 51978, 82.24,0.62
TOTAL, EQ, 03-Feb-2025,69.43,73.99,73.99,67.49,68.7,68.36,68.5,2681,1.84,116, 2216, 82.66,-1.54
TOTAL, EQ, 03-Mar-2021,55.75,57.6,57.6,53.15,55.25,54.95,54.75,33805,18.51,485, 19474, 57.61,-1.43
TOTAL, EQ, 03-Mar-2023,134.3,135.65,139.45,135.6, 139.00,138.05,137.52,9016,12.4,265, 7297, 80.93,2.79
TOTAL, EQ, 03-Mar-2025,67.63,69.0,72.0,64.1,66.25,67.04,67.49,21399,14.44,463, 9882, 46.18,-0.87
TOTAL, EQ, 03-Apr-2023,123.75,124.0,132.3,124.0, 132.00,131.55,128.24,13397,17.18,189, 10797, 80.59,6.3
TOTAL, EQ, 03-Apr-2024,102.9,102.9,107.85,102.9, 105.50,105.25,105.92,46512,49.26,689, 20534, 44.15,2.28
TOTAL, EQ, 03-Apr-2025,72.29,72.19,79.0,72.19,78.0,76.01,74.57,17773,13.25,267, 13781, 77.54,5.15
TOTAL, EQ, 03-May-2021,40.6,42.9,42.9,39.85,41.5,41.6,41.04,95946,39.38,532, 69605, 72.55,2.46
TOTAL, EQ, 03-May-2023,137.05,139.5,139.5,135.8,138.0,138.4,138.28,9091,12.57,163, 7283, 80.11,0.99
TOTAL, EQ, 03-May-2024,102.15,104.85,104.85,100.35, 101.15,102.05,102.15,14187,14.49,247, 8774, 61.85,-0.1
TOTAL, EQ, 03-Jun-2021,42.1,42.25,42.95,41.25, 42.15,41.7,41.96,26344,11.05,253, 21154, 80.30,-0.95
