SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TVSELECT, EQ, 01-Jan-2020,104.7,105.15,105.8,103.0, 103.70,103.5,104.32,25703,26.81,467, 15430, 60.03,-1.15
TVSELECT, EQ, 01-Jan-2024,356.15,356.15,364.8,355.25, 359.50,359.2,360.7,93155,336.01,6267, 35264, 37.86,0.86
TVSELECT, EQ, 01-Jan-2025,437.7,435.9,467.0,432.15,439.65,440.75,450.25,156535,704.81,6194, 59224, 37.83,0.7
TVSELECT, EQ, 01-Feb-2022,216.95,217.9,222.0,211.0,212.0,211.95,215.94,134319,290.05,4718, 56680, 42.20,-2.3
TVSELECT, EQ, 01-Feb-2023,379.2,382.0,390.0,344.0, 359.80,357.85,370.83,157513,584.11,5768, 63246, 40.15,-5.63
TVSELECT, EQ, 01-Feb-2024,353.6,355.0,355.05,346.35, 349.10,349.35,351.42,43932,154.39,4105, 20471, 46.60,-1.2
TVSELECT, EQ, 01-Mar-2021,174.4,183.1,183.1,183.1, 183.10,183.1,183.1,53525,98.0,473, 53525, 100.00,4.99
TVSELECT, EQ, 01-Mar-2023,323.1,324.7,333.15,322.5, 326.00,325.7,329.02,191518,630.14,10017, 51333, 26.80,0.8
TVSELECT, EQ, 01-Mar-2024,311.1,312.8,320.55,312.8, 317.50,316.25,317.15,46712,148.15,5178, 17060, 36.52,1.66
TVSELECT, EQ, 01-Apr-2020,53.1,55.5,55.75,52.7,55.75,55.65,55.15,26642,14.69,501, 19621, 73.65,4.8
TVSELECT, EQ, 01-Apr-2022,255.75,256.65,278.7,255.5, 269.00,268.0,267.98,645513,1729.83,20777, 187232, 29.01,4.79
TVSELECT, EQ, 01-Apr-2024,250.6,252.6,294.0,250.6, 284.20,286.8,282.43,696959,1968.45,27203, 129621, 18.60,14.45
TVSELECT, EQ, 01-Apr-2025,321.25,321.05,337.0,320.05,330.5,333.95,331.4,36804,121.97,2314, 11822, 32.12,3.95
TVSELECT, EQ, 01-Jun-2020,70.85,71.1,73.4,71.1, 72.90,72.5,72.46,26026,18.86,593, 17362, 66.71,2.33
TVSELECT, EQ, 01-Jun-2021,147.05,148.45,148.75,142.0, 143.35,143.1,144.74,43474,62.92,996, 26516, 60.99,-2.69
TVSELECT, EQ, 01-Jun-2022,213.8,214.0,223.6,208.0,219.0,218.7,218.71,79401,173.66,3286, 30430, 38.32,2.29
TVSELECT, EQ, 01-Jun-2023,355.6,356.0,360.0,353.1, 355.85,355.45,355.81,59881,213.06,2640, 24752, 41.34,-0.04
TVSELECT, EQ, 01-Jul-2021,165.2,166.85,168.0,163.1, 163.90,163.9,165.46,43888,72.62,1245, 20067, 45.72,-0.79
TVSELECT, EQ, 01-Jul-2022,187.2,184.55,188.6,184.05,186.0,186.7,186.32,16782,31.27,663, 6762, 40.29,-0.27
TVSELECT, EQ, 01-Jul-2024,343.85,344.85,352.65,343.7,349.1,349.0,347.87,83965,292.09,5823, 35533, 42.32,1.5
TVSELECT, EQ, 01-Aug-2022,212.25,212.75,216.8,210.5, 211.70,211.35,213.17,47663,101.6,2074, 22575, 47.36,-0.42
TVSELECT, EQ, 01-Aug-2023,382.45,383.9,384.9,376.35, 379.60,378.45,380.42,85508,325.29,4631, 42870, 50.14,-1.05
TVSELECT, EQ, 01-Aug-2024,381.1,382.7,386.0,375.0,378.0,377.05,381.19,88148,336.01,4670, 40241, 45.65,-1.06
TVSELECT, EQ, 01-Sep-2020,100.9,101.1,104.0,98.0, 100.30,100.15,100.12,30897,30.93,698, 16962, 54.90,-0.74
TVSELECT, EQ, 01-Sep-2021,166.55,168.95,168.95,165.2,167.15,165.9,166.54,18002,29.98,593, 12691, 70.50,-0.39
TVSELECT, EQ, 01-Sep-2022,302.65,301.5,323.7,301.0,320.5,320.1,315.45,508271,1603.33,12016, 191542, 37.69,5.77
TVSELECT, EQ, 01-Sep-2023,369.95,371.7,392.6,369.75, 385.65,385.75,385.18,598685,2306.02,17519, 161696, 27.01,4.27
TVSELECT, EQ, 01-Oct-2020,92.25,94.35,94.75,92.6, 93.15,93.35,93.58,10226,9.57,324, 6252, 61.14,1.19
TVSELECT, EQ, 01-Oct-2021,165.9,167.0,167.0,164.1, 165.45,165.2,165.42,33639,55.65,900, 22794, 67.76,-0.42
TVSELECT, EQ, 01-Nov-2021,157.7,159.25,162.9,156.05, 162.70,162.5,161.71,15536,25.12,659, 9033, 58.14,3.04
TVSELECT, EQ, 01-Nov-2022,280.55,282.75,282.95,273.0,278.0,277.55,278.32,49734,138.42,2399, 23296, 46.84,-1.07
TVSELECT, EQ, 01-Nov-2023,345.4,346.9,351.3,342.6, 343.90,344.1,347.09,38880,134.95,3467, 14702, 37.81,-0.38
TVSELECT, EQ, 01-Dec-2020,101.8,102.0,107.0,101.1,102.85,103.15,104.56,191788,200.53,2409, 89644, 46.74,1.33
TVSELECT, EQ, 01-Dec-2021,161.85,164.8,164.8,158.95,160.35,160.05,161.17,24100,38.84,812, 13801, 57.27,-1.11
TVSELECT, EQ, 01-Dec-2022,288.2,290.7,291.9,284.4,290.0,288.8,288.13,40520,116.75,2118, 23778, 58.68,0.21
TVSELECT, EQ, 01-Dec-2023,343.05,344.25,347.2,339.1, 342.75,340.25,342.53,75599,258.95,4774, 36035, 47.67,-0.82
TVSELECT, EQ, 02-Jan-2020,103.5,103.8,108.65,103.75, 108.65,108.65,107.49,46274,49.74,1056, 34400, 74.34,4.98
TVSELECT, EQ, 02-Jan-2023,288.85,289.0,300.4,280.0, 292.10,292.8,292.38,152873,446.98,6969, 55279, 36.16,1.37
TVSELECT, EQ, 02-Jan-2024,359.2,360.15,362.55,354.7, 356.60,356.95,357.6,39523,141.34,3400, 15314, 38.75,-0.63
TVSELECT, EQ, 02-Jan-2025,440.75,439.7,442.85,421.0,425.0,425.8,429.94,70935,304.98,3064, 38926, 54.88,-3.39
TVSELECT, EQ, 02-Feb-2021,119.85,120.95,123.8,118.0, 121.70,120.75,120.07,34536,41.47,714, 22117, 64.04,0.75
TVSELECT, EQ, 02-Feb-2022,211.95,212.25,222.0,212.25, 218.00,218.5,217.68,134353,292.46,4442, 67231, 50.04,3.09
TVSELECT, EQ, 02-Feb-2023,357.85,357.9,377.95,355.3, 359.70,359.0,362.48,108042,391.63,4646, 40053, 37.07,0.32
TVSELECT, EQ, 02-Feb-2024,349.35,351.9,353.5,345.05, 346.80,346.45,348.22,78783,274.33,5165, 41522, 52.70,-0.83
TVSELECT, EQ, 02-Mar-2020,91.55,93.2,95.7,86.6, 89.80,89.8,91.53,38889,35.59,730, 22124, 56.89,-1.91
TVSELECT, EQ, 02-Mar-2021,183.1,192.25,192.25,173.95,173.95,173.95,183.79,869281,1597.62,10146, 408933, 47.04,-5.0
TVSELECT, EQ, 02-Mar-2022,211.05,211.0,215.35,204.0, 207.00,208.25,210.72,59974,126.38,2354, 26502, 44.19,-1.33
TVSELECT, EQ, 02-Mar-2023,325.7,327.0,331.95,322.0, 324.90,324.5,327.08,65077,212.86,2790, 20261, 31.13,-0.37
TVSELECT, EQ, 02-Apr-2024,286.8,286.8,319.95,278.35, 309.80,312.7,305.13,905693,2763.58,38604, 134457, 14.85,9.03
TVSELECT, EQ, 02-Apr-2025,333.95,334.95,343.95,326.0,331.5,332.1,336.42,39054,131.38,2894, 11284, 28.89,-0.55
TVSELECT, EQ, 02-May-2022,240.55,239.85,250.0,234.5,235.0,235.45,237.77,85995,204.47,7067, 25450, 29.59,-2.12
TVSELECT, EQ, 02-May-2023,386.6,387.0,399.4,383.8, 388.00,389.1,389.86,312616,1218.77,11883, 68416, 21.88,0.65
TVSELECT, EQ, 02-May-2024,302.3,307.0,362.75,306.05, 362.75,360.85,348.63,4237953,14774.59,68727, 615805, 14.53,19.37
TVSELECT, EQ, 02-Jun-2020,72.5,73.9,76.1,70.5,76.1,76.1,74.73,25380,18.97,560, 18227, 71.82,4.97
TVSELECT, EQ, 02-Jun-2021,143.1,143.1,150.25,141.05, 150.25,150.25,148.2,116805,173.11,1199, 59632, 51.05,5.0
TVSELECT, EQ, 02-Jun-2022,218.7,220.0,224.5,216.3,218.75,217.95,219.84,40181,88.33,1809, 19182, 47.74,-0.34
TVSELECT, EQ, 02-Jun-2023,355.45,357.0,362.55,351.1, 353.20,353.4,357.7,123176,440.6,5203, 40744, 33.08,-0.58
