SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
TWL, EQ, 01-Jan-2020,49.1,49.65,52.3,49.05, 51.80,51.55,51.06,1363425,696.22,5630, 483946, 35.49,4.99
TWL, EQ, 01-Jan-2021,58.2,58.8,59.8,58.4, 59.20,58.95,59.03,1424350,840.8,8992, 667310, 46.85,1.29
TWL, EQ, 01-Feb-2021,55.85,55.25,56.2,52.8, 53.25,53.7,54.24,1327488,720.08,8101, 523589, 39.44,-3.85
TWL, EQ, 01-Feb-2022,111.8,113.5,115.8,108.8,112.4,112.05,112.6,1755057,1976.27,18039, 496321, 28.28,0.22
TWL, EQ, 01-Feb-2023,228.45,229.0,236.0,217.05, 217.05,217.05,225.46,1707875,3850.51,18743, 929637, 54.43,-4.99
TWL, EQ, 01-Mar-2021,50.35,50.85,52.0,50.45, 51.00,50.9,51.04,531336,271.17,3129, 227530, 42.82,1.09
TWL, EQ, 01-Mar-2023,208.1,209.3,223.6,208.05, 213.10,213.45,216.71,815625,1767.51,13143, 289744, 35.52,2.57
TWL, EQ, 01-Apr-2020,24.9,25.4,27.35,24.55,27.35,26.9,26.31,382475,100.64,2634, 157464, 41.17,8.03
TWL, EQ, 01-Apr-2021,44.55,45.45,47.45,44.95, 47.25,47.05,46.07,433663,199.79,3697, 156332, 36.05,5.61
TWL, EQ, 01-Apr-2022,101.35,101.35,102.7,100.25, 101.00,101.05,101.39,371381,376.55,3917, 195078, 52.53,-0.3
TWL, EQ, 01-Jun-2020,29.85,30.3,31.3,30.25, 31.00,30.85,30.94,210875,65.25,1450, 138908, 65.87,3.35
TWL, EQ, 01-Jun-2021,56.1,56.8,58.75,55.8, 56.65,56.8,57.5,6333174,3641.68,28765, 1504098, 23.75,1.25
TWL, EQ, 01-Jun-2022,100.45,98.65,100.15,98.1,98.6,98.55,99.11,585957,580.77,4648, 309007, 52.74,-1.89
TWL, EQ, 01-Jun-2023,352.7,354.1,360.95,353.0, 355.25,355.35,356.32,252442,899.5,8566, 152614, 60.46,0.75
TWL, EQ, 01-Jul-2020,34.15,34.75,35.3,33.1, 34.50,34.35,34.22,145406,49.76,1315, 76368, 52.52,0.59
TWL, EQ, 01-Jul-2021,70.05,70.55,70.85,68.15, 68.90,68.8,69.2,1337587,925.6,8838, 443854, 33.18,-1.78
TWL, EQ, 01-Jul-2022,102.0,101.75,103.25,100.85,102.3,102.35,102.12,224750,229.5,3628, 79812, 35.51,0.34
TWL, EQ, 01-Aug-2022,126.15,126.9,131.2,125.2, 129.60,129.9,128.72,787509,1013.67,6296, 307559, 39.05,2.97
TWL, EQ, 01-Sep-2020,44.15,44.5,46.3,43.0, 45.00,44.8,44.74,172401,77.14,1865, 87036, 50.48,1.47
TWL, EQ, 01-Sep-2021,93.15,93.6,96.7,93.0,94.65,94.6,94.79,1005976,953.56,9307, 300668, 29.89,1.56
TWL, EQ, 01-Sep-2022,171.55,171.0,177.9,164.1,166.3,165.75,171.49,2285562,3919.6,20035, 823931, 36.05,-3.38
TWL, EQ, 01-Oct-2020,47.55,46.8,46.8,45.5, 45.75,45.85,46.02,216783,99.76,2131, 102065, 47.08,-3.58
TWL, EQ, 01-Oct-2021,97.4,97.3,109.8,96.0, 108.50,108.25,105.26,6928391,7292.69,68833, 2111702, 30.48,11.14
TWL, EQ, 01-Nov-2021,94.25,93.05,95.55,92.7, 94.00,94.25,94.22,428464,403.71,4302, 173684, 40.54,0.0
TWL, EQ, 01-Dec-2020,46.3,46.5,47.95,45.7,47.05,47.15,46.99,528982,248.58,3333, 226185, 42.76,1.84
TWL, EQ, 01-Dec-2021,86.25,86.25,88.35,86.25,87.0,86.8,87.17,268818,234.32,4010, 97079, 36.11,0.64
TWL, EQ, 02-Jan-2020,51.55,52.15,54.2,51.15, 52.90,52.9,52.8,1596073,842.7,9512, 551735, 34.57,2.62
TWL, EQ, 02-Jan-2023,223.6,227.2,233.5,225.1, 227.00,226.95,229.01,1150702,2635.27,13628, 599882, 52.13,1.5
TWL, EQ, 02-Feb-2021,53.7,53.7,56.25,52.5, 52.70,52.8,54.56,2418059,1319.31,9835, 790612, 32.70,-1.68
TWL, EQ, 02-Feb-2022,112.05,112.8,116.8,111.35, 114.20,114.55,114.57,1575193,1804.72,14732, 475533, 30.19,2.23
TWL, EQ, 02-Feb-2023,217.05,209.15,221.15,206.2, 206.20,206.2,209.66,1077795,2259.74,11520, 584588, 54.24,-5.0
TWL, EQ, 02-Mar-2020,40.55,41.05,43.75,41.0, 42.50,42.3,42.45,761228,323.12,4003, 402943, 52.93,4.32
TWL, EQ, 02-Mar-2021,50.9,51.5,56.7,51.2,54.5,54.5,54.36,1809175,983.47,13435, 760817, 42.05,7.07
TWL, EQ, 02-Mar-2022,86.0,85.05,87.1,84.1, 85.70,85.75,85.63,306261,262.24,4101, 109078, 35.62,-0.29
TWL, EQ, 02-Mar-2023,213.45,217.95,234.75,217.95, 221.75,220.55,229.02,4316522,9885.89,42817, 1627737, 37.71,3.33
TWL, EQ, 02-May-2022,104.1,103.5,105.55,102.0,104.9,104.75,104.13,448532,467.07,4322, 193474, 43.13,0.62
TWL, EQ, 02-May-2023,332.25,333.45,339.6,330.1, 332.60,332.2,333.69,463010,1545.03,11033, 209150, 45.17,-0.02
TWL, EQ, 02-Jun-2020,30.85,30.7,31.8,30.5,31.7,31.4,31.29,148276,46.39,989, 92994, 62.72,1.78
TWL, EQ, 02-Jun-2021,56.8,56.5,56.75,55.4, 55.85,55.95,56.1,612342,343.51,4510, 252722, 41.27,-1.5
TWL, EQ, 02-Jun-2022,98.55,98.9,101.3,98.0,99.1,99.35,99.38,291777,289.95,3459, 110674, 37.93,0.81
TWL, EQ, 02-Jun-2023,355.35,355.35,388.3,355.35, 377.00,378.0,376.33,1949762,7337.59,41732, 932917, 47.85,6.37
TWL, EQ, 02-Jul-2020,34.35,36.05,36.05,36.05, 36.05,36.05,36.05,116948,42.16,207, 116948, 100.00,4.95
