SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
UFO, EQ, 01-Jan-2020,126.45,129.0,129.0,124.0, 124.95,124.45,125.63,20429,25.67,759, 14009, 68.57,-1.58
UFO, EQ, 01-Jan-2021,88.65,88.65,92.85,87.65, 90.35,90.3,91.07,509466,463.96,4293, 205653, 40.37,1.86
UFO, EQ, 01-Jan-2024,112.0,112.0,115.4,112.0, 113.60,113.65,113.67,222899,253.38,3563, 133762, 60.01,1.47
UFO, EQ, 01-Jan-2025,101.97,101.99,104.0,101.98,103.95,103.73,103.12,28217,29.1,907, 16471, 58.37,1.73
UFO, EQ, 01-Feb-2021,83.25,85.0,86.9,84.45, 85.15,85.45,85.4,201786,172.32,2247, 74022, 36.68,2.64
UFO, EQ, 01-Feb-2022,98.65,98.8,104.9,98.6,103.5,103.35,102.15,592458,605.18,8545, 273030, 46.08,4.76
UFO, EQ, 01-Feb-2023,86.65,88.15,88.4,84.3, 84.50,84.75,86.48,64463,55.75,911, 38931, 60.39,-2.19
UFO, EQ, 01-Feb-2024,162.25,163.5,163.5,155.3, 158.35,158.25,158.45,726213,1150.66,19326, 244569, 33.68,-2.47
UFO, EQ, 01-Mar-2021,81.0,82.8,83.05,81.0, 81.85,81.35,81.65,70660,57.7,1228, 38936, 55.10,0.43
UFO, EQ, 01-Mar-2023,75.1,75.9,78.8,75.15, 76.70,76.9,77.02,124258,95.7,1664, 54428, 43.80,2.4
UFO, EQ, 01-Mar-2024,145.05,145.0,145.7,142.6, 143.70,143.25,143.78,168651,242.48,4345, 79434, 47.10,-1.24
UFO, EQ, 01-Apr-2020,76.9,81.5,84.0,77.35,78.4,79.0,79.84,142848,114.05,3714, 95409, 66.79,2.73
UFO, EQ, 01-Apr-2021,69.75,70.5,73.95,69.0, 73.90,73.7,71.95,142192,102.3,1527, 73385, 51.61,5.66
UFO, EQ, 01-Apr-2022,101.7,102.4,107.1,102.3, 106.10,105.55,105.66,575850,608.42,8702, 172296, 29.92,3.79
UFO, EQ, 01-Apr-2024,134.45,134.6,142.35,134.6, 141.55,140.45,140.35,404041,567.07,7155, 141726, 35.08,4.46
UFO, EQ, 01-Apr-2025,66.24,66.24,71.99,66.0,69.61,70.72,69.77,178127,124.28,2607, 69536, 39.04,6.76
UFO, EQ, 01-Jun-2020,66.0,67.9,68.4,66.0, 66.95,67.0,67.0,221568,148.45,2701, 127592, 57.59,1.52
UFO, EQ, 01-Jun-2021,88.75,91.0,106.5,89.65, 104.90,105.2,100.89,11285320,11386.21,83522, 2039431, 18.07,18.54
UFO, EQ, 01-Jun-2022,98.45,99.4,100.5,97.25,98.5,98.5,99.02,110367,109.28,1765, 64619, 58.55,0.05
UFO, EQ, 01-Jun-2023,75.05,75.0,77.0,74.7, 75.60,75.6,76.14,121730,92.68,2050, 73706, 60.55,0.73
UFO, EQ, 01-Jul-2020,75.1,75.8,75.8,73.0, 73.70,73.85,73.97,114204,84.47,2302, 51985, 45.52,-1.66
UFO, EQ, 01-Jul-2021,94.85,95.9,95.9,94.0, 94.00,94.15,94.83,338397,320.89,3693, 218073, 64.44,-0.74
UFO, EQ, 01-Jul-2022,89.7,89.7,90.0,88.1,89.05,89.05,89.17,52855,47.13,697, 31533, 59.66,-0.72
UFO, EQ, 01-Jul-2024,133.92,134.86,140.3,132.07,135.9,135.77,136.48,412903,563.52,7498, 209597, 50.76,1.38
UFO, EQ, 01-Aug-2022,99.3,100.1,100.1,98.0, 98.90,98.35,98.86,102803,101.63,1814, 62990, 61.27,-0.96
UFO, EQ, 01-Aug-2023,86.45,89.85,94.8,89.15, 90.60,90.3,91.96,2300577,2115.56,14357, 734809, 31.94,4.45
UFO, EQ, 01-Aug-2024,148.54,149.28,149.95,141.3,143.0,142.44,145.53,481470,700.68,9835, 230569, 47.89,-4.11
UFO, EQ, 01-Sep-2020,79.4,79.4,81.45,77.35, 81.30,80.35,79.37,168852,134.02,2633, 63194, 37.43,1.2
UFO, EQ, 01-Sep-2021,89.35,89.35,90.95,89.2,90.1,89.85,89.9,101234,91.01,2360, 61721, 60.97,0.56
UFO, EQ, 01-Sep-2022,112.2,111.35,122.0,111.1,118.25,117.75,117.65,587887,691.67,10164, 315764, 53.71,4.95
UFO, EQ, 01-Oct-2020,75.05,81.9,83.7,78.3, 80.40,80.4,81.13,695245,564.07,7746, 249479, 35.88,7.13
UFO, EQ, 01-Oct-2021,107.5,106.5,109.5,105.1, 106.35,106.3,107.37,486960,522.84,7092, 154624, 31.75,-1.12
UFO, EQ, 01-Oct-2024,135.66,137.7,143.6,136.4,139.4,139.37,140.82,861335,1212.95,8512, 320596, 37.22,2.73
UFO, EQ, 01-Nov-2021,100.3,102.5,108.8,101.1, 108.10,107.6,105.97,794686,842.16,9449, 457811, 57.61,7.28
UFO, EQ, 01-Nov-2022,112.4,112.4,114.95,111.85,113.7,112.8,113.21,65075,73.67,1433, 38902, 59.78,0.36
UFO, EQ, 01-Dec-2020,77.65,77.5,81.7,77.5,79.7,79.75,79.34,213864,169.67,2433, 103451, 48.37,2.7
UFO, EQ, 01-Dec-2021,95.65,98.0,98.9,95.5,96.7,96.35,96.33,144472,139.17,2872, 60563, 41.92,0.73
UFO, EQ, 01-Dec-2022,99.65,100.05,101.1,99.2,100.1,99.9,100.15,94823,94.97,1838, 38018, 40.09,0.25
UFO, EQ, 01-Dec-2023,108.55,108.55,112.0,107.85, 108.60,109.35,110.02,352230,387.52,4251, 196560, 55.80,0.74
UFO, EQ, 02-Jan-2020,124.45,125.0,137.25,121.95, 132.95,132.4,132.2,102483,135.48,3099, 58592, 57.17,6.39
UFO, EQ, 02-Jan-2023,92.85,93.8,93.8,92.5, 93.65,93.6,93.28,52122,48.62,852, 31979, 61.35,0.81
