SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
USHAMART, EQ, 01-Jan-2020,27.0,27.05,27.9,26.85, 27.30,27.65,27.52,256777,70.67,633, 167483, 65.23,2.41
USHAMART, EQ, 01-Jan-2021,36.8,36.9,38.4,36.25, 36.95,37.1,37.53,2151005,807.38,5463, 1040374, 48.37,0.82
USHAMART, EQ, 01-Jan-2024,296.45,294.3,298.0,288.5, 291.45,291.4,291.47,1013803,2954.92,26532, 448402, 44.23,-1.7
USHAMART, EQ, 01-Jan-2025,376.3,378.0,388.1,376.05,385.65,383.8,382.86,382882,1465.9,13495, 126661, 33.08,1.99
USHAMART, EQ, 01-Feb-2021,29.8,29.8,31.65,29.8, 31.50,31.35,30.68,498769,153.04,1637, 269963, 54.13,5.2
USHAMART, EQ, 01-Feb-2022,85.45,85.1,89.1,85.1,88.0,88.2,87.31,563518,492.04,4228, 291213, 51.68,3.22
USHAMART, EQ, 01-Feb-2023,185.8,187.95,191.7,178.8, 182.40,183.15,186.13,1476550,2748.31,15718, 519194, 35.16,-1.43
USHAMART, EQ, 01-Feb-2024,371.85,375.0,379.9,358.0, 361.50,360.85,367.18,926751,3402.88,28451, 402952, 43.48,-2.96
USHAMART, EQ, 01-Mar-2021,30.2,30.75,31.6,30.3, 30.70,30.7,30.89,758495,234.32,1972, 398518, 52.54,1.66
USHAMART, EQ, 01-Mar-2023,175.7,175.6,180.8,175.6, 177.45,178.0,178.57,399575,713.53,6882, 212893, 53.28,1.31
USHAMART, EQ, 01-Mar-2024,329.05,325.4,329.05,319.5, 322.00,322.2,323.51,516316,1670.36,19951, 267258, 51.76,-2.08
USHAMART, EQ, 01-Apr-2020,16.0,16.25,16.5,15.6,15.95,15.7,16.04,138468,22.21,670, 76562, 55.29,-1.88
USHAMART, EQ, 01-Apr-2021,33.05,33.25,38.0,33.2, 36.80,36.55,36.28,6672568,2420.48,18522, 2592581, 38.85,10.59
USHAMART, EQ, 01-Apr-2022,134.5,133.95,134.5,125.55, 130.80,131.1,130.83,1346739,1761.96,18185, 664058, 49.31,-2.53
USHAMART, EQ, 01-Apr-2024,318.25,319.0,335.25,319.0, 335.00,333.25,329.18,881998,2903.36,23841, 482859, 54.75,4.71
USHAMART, EQ, 01-Apr-2025,337.35,338.95,341.85,330.15,334.0,334.0,334.21,1339766,4477.68,14083, 1100493, 82.14,-0.99
USHAMART, EQ, 01-Jun-2020,14.15,14.35,14.85,14.25, 14.85,14.8,14.83,416494,61.77,585, 368863, 88.56,4.59
USHAMART, EQ, 01-Jun-2021,50.4,50.4,50.9,48.5, 48.85,48.85,49.21,1070204,526.69,5362, 649092, 60.65,-3.08
USHAMART, EQ, 01-Jun-2022,117.15,117.7,119.55,115.1,117.25,117.35,117.51,355320,417.53,5311, 200426, 56.41,0.17
USHAMART, EQ, 01-Jun-2023,228.15,229.0,233.5,227.3, 232.65,232.3,231.39,1060807,2454.58,7360, 804019, 75.79,1.82
USHAMART, EQ, 01-Jul-2020,19.75,19.6,20.05,19.0, 19.20,19.25,19.23,160110,30.78,543, 111112, 69.40,-2.53
USHAMART, EQ, 01-Jul-2021,56.8,57.0,57.65,55.0, 55.90,55.6,56.16,1132430,635.94,5633, 677437, 59.82,-2.11
USHAMART, EQ, 01-Jul-2022,121.5,121.8,123.65,118.7,123.65,122.45,121.27,409215,496.25,5170, 146021, 35.68,0.78
USHAMART, EQ, 01-Jul-2024,387.85,387.85,406.0,384.45,405.0,402.2,396.04,848284,3359.58,23152, 463201, 54.60,3.7
USHAMART, EQ, 01-Aug-2022,144.95,147.5,151.75,143.2, 145.85,145.9,147.94,1629560,2410.85,12781, 673615, 41.34,0.66
USHAMART, EQ, 01-Aug-2023,337.5,338.5,341.9,334.3, 336.90,336.85,338.42,516317,1747.34,10804, 208607, 40.40,-0.19
USHAMART, EQ, 01-Aug-2024,379.75,379.75,387.0,378.8,379.0,380.95,383.19,685053,2625.08,23680, 315474, 46.05,0.32
USHAMART, EQ, 01-Sep-2020,28.0,28.0,28.45,26.2, 27.00,27.05,26.83,1176343,315.64,1480, 1007144, 85.62,-3.39
USHAMART, EQ, 01-Sep-2021,70.15,70.8,70.8,67.0,67.75,67.85,68.4,731566,500.37,4141, 496006, 67.80,-3.28
USHAMART, EQ, 01-Sep-2022,142.3,142.25,144.9,138.8,140.0,140.25,142.32,653008,929.36,8584, 375487, 57.50,-1.44
USHAMART, EQ, 01-Sep-2023,355.0,357.5,359.0,352.25, 357.10,358.15,357.01,707600,2526.19,18455, 316877, 44.78,0.89
USHAMART, EQ, 01-Oct-2020,25.15,26.0,26.45,24.75, 25.00,24.95,25.22,861352,217.2,1254, 657188, 76.30,-0.8
USHAMART, EQ, 01-Oct-2021,85.75,84.85,89.4,83.95, 87.50,87.45,87.37,2742670,2396.4,16207, 1192192, 43.47,1.98
USHAMART, EQ, 01-Oct-2024,357.5,360.0,369.6,357.0,368.35,366.85,364.39,1063308,3874.6,25282, 584780, 55.00,2.62
USHAMART, EQ, 01-Nov-2021,87.95,86.35,91.0,86.35, 91.00,90.7,90.24,635501,573.5,4475, 373538, 58.78,3.13
USHAMART, EQ, 01-Nov-2022,141.2,142.0,146.0,140.05,143.05,142.9,142.78,1038835,1483.23,7468, 581452, 55.97,1.2
USHAMART, EQ, 01-Nov-2023,297.6,294.0,304.2,290.0, 292.10,292.75,298.99,678407,2028.34,13302, 336254, 49.57,-1.63
USHAMART, EQ, 01-Dec-2020,25.1,25.5,25.8,24.65,25.3,25.3,25.03,820596,205.39,1387, 666471, 81.22,0.8
USHAMART, EQ, 01-Dec-2021,83.7,85.0,85.25,82.4,84.45,84.35,83.74,388920,325.69,2461, 265700, 68.32,0.78
USHAMART, EQ, 01-Dec-2022,131.45,132.5,136.95,132.4,134.15,134.5,134.43,583781,784.79,4493, 340695, 58.36,2.32
USHAMART, EQ, 01-Dec-2023,334.25,337.7,339.5,326.1, 326.10,328.9,332.69,275763,917.42,13807, 178597, 64.76,-1.6
USHAMART, EQ, 02-Jan-2020,27.65,27.35,28.85,27.35, 28.20,28.2,28.02,614479,172.21,1404, 416069, 67.71,1.99
USHAMART, EQ, 02-Jan-2023,172.2,176.0,199.0,175.0, 185.70,185.3,190.12,7003899,13316.09,57941, 2397924, 34.24,7.61
USHAMART, EQ, 02-Jan-2024,291.4,291.75,298.35,290.0, 295.80,294.95,294.57,600700,1769.5,16121, 280967, 46.77,1.22
USHAMART, EQ, 02-Jan-2025,383.8,388.0,392.5,377.6,378.1,379.1,382.14,270004,1031.8,11368, 113004, 41.85,-1.22
USHAMART, EQ, 02-Feb-2021,31.35,31.7,34.5,31.3, 33.75,33.7,32.86,1318477,433.25,4096, 974021, 73.87,7.5
USHAMART, EQ, 02-Feb-2022,88.2,88.85,91.1,88.35, 90.80,90.75,90.13,583175,525.6,4679, 326188, 55.93,2.89
USHAMART, EQ, 02-Feb-2023,183.15,180.0,188.0,180.0, 182.70,183.1,184.66,800336,1477.93,11936, 190673, 23.82,-0.03
USHAMART, EQ, 02-Feb-2024,360.85,363.0,367.1,353.85, 360.85,359.2,359.34,676004,2429.14,21941, 312549, 46.23,-0.46
USHAMART, EQ, 02-Mar-2020,23.85,24.05,24.9,22.4, 22.90,22.9,23.47,637792,149.71,848, 580918, 91.08,-3.98
USHAMART, EQ, 02-Mar-2021,30.7,31.0,31.05,29.85,30.35,30.3,30.34,1111447,337.25,2272, 719265, 64.71,-1.3
USHAMART, EQ, 02-Mar-2022,87.4,85.1,89.2,85.1, 86.80,87.05,87.42,479253,418.96,3485, 287348, 59.96,-0.4
USHAMART, EQ, 02-Mar-2023,178.0,179.7,180.5,174.05, 175.00,175.7,177.06,435278,770.69,4622, 270315, 62.10,-1.29
USHAMART, EQ, 02-Apr-2024,333.25,335.0,347.0,335.0, 347.00,345.2,343.1,1077698,3697.62,36026, 594776, 55.19,3.59
USHAMART, EQ, 02-Apr-2025,334.0,337.25,338.25,329.15,332.9,332.75,333.89,158820,530.29,8832, 52201, 32.87,-0.37
USHAMART, EQ, 02-May-2022,151.45,151.0,157.4,137.95,141.7,141.85,144.83,1704552,2468.67,20765, 974121, 57.15,-6.34
USHAMART, EQ, 02-May-2023,213.2,215.4,218.7,213.25, 217.25,217.3,216.59,631032,1366.78,9448, 302164, 47.88,1.92
USHAMART, EQ, 02-May-2024,377.05,374.85,378.45,367.0, 372.00,372.9,372.53,1356955,5055.01,32473, 508424, 37.47,-1.1
USHAMART, EQ, 02-Jun-2020,14.8,15.0,15.3,14.6,15.0,15.0,15.06,302972,45.62,786, 246151, 81.25,1.35
USHAMART, EQ, 02-Jun-2021,48.85,49.05,50.8,48.4, 50.60,49.95,49.81,1624261,809.09,5192, 860110, 52.95,2.25
USHAMART, EQ, 02-Jun-2022,117.35,117.35,121.5,115.0,121.0,120.7,118.65,766511,909.5,4205, 597769, 77.99,2.85
USHAMART, EQ, 02-Jun-2023,232.3,233.1,237.4,230.9, 233.60,233.3,234.4,516282,1210.18,6850, 254101, 49.22,0.43
USHAMART, EQ, 02-Jul-2020,19.25,19.5,20.0,19.15, 19.30,19.25,19.34,181108,35.02,539, 121547, 67.11,0.0
USHAMART, EQ, 02-Jul-2021,55.6,55.9,56.8,54.1,54.6,54.5,55.28,1098034,606.98,5822, 668167, 60.85,-1.98
USHAMART, EQ, 02-Jul-2024,402.2,406.0,408.4,395.5,401.75,402.65,401.53,925177,3714.82,22663, 480865, 51.98,0.11
USHAMART, EQ, 02-Aug-2021,67.3,67.8,67.9,65.4,65.7,65.7,66.1,1230650,813.51,7313, 660177, 53.64,-2.38
USHAMART, EQ, 02-Aug-2022,145.9,146.95,154.7,144.75,153.4,152.45,149.86,1849057,2770.93,13495, 678539, 36.70,4.49
USHAMART, EQ, 02-Aug-2023,336.85,336.5,338.6,328.2, 331.95,331.4,333.16,436336,1453.72,11911, 242680, 55.62,-1.62
USHAMART, EQ, 02-Aug-2024,380.95,377.4,379.4,368.0,369.75,369.95,371.76,721449,2682.06,21477, 410625, 56.92,-2.89
USHAMART, EQ, 02-Sep-2020,27.05,27.4,27.5,25.5, 26.80,26.4,26.38,804762,212.31,915, 730295, 90.75,-2.4
USHAMART, EQ, 02-Sep-2021,67.85,67.9,68.9,66.65, 67.65,67.55,67.62,1140267,771.0,6953, 618758, 54.26,-0.44
USHAMART, EQ, 02-Sep-2022,140.25,141.0,141.05,136.75,137.0,137.45,138.15,581788,803.76,5386, 380861, 65.46,-2.0
USHAMART, EQ, 02-Sep-2024,331.35,332.0,336.55,326.95,335.0,334.75,333.15,830786,2767.76,12334, 542869, 65.34,1.03
USHAMART, EQ, 02-Nov-2020,21.35,21.75,21.75,19.75, 20.30,20.35,20.34,505350,102.8,1216, 312450, 61.83,-4.68
USHAMART, EQ, 02-Nov-2021,90.7,91.4,93.0,90.5, 91.95,91.6,92.1,854696,787.19,6202, 492957, 57.68,0.99
USHAMART, EQ, 02-Nov-2022,142.9,145.75,145.75,142.0,142.55,142.6,143.02,479194,685.33,4722, 281538, 58.75,-0.21
