SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
UTKARSHBNK, EQ, 01-Jan-2024,53.85,53.95,54.5,53.0, 53.30,53.35,53.68,3444701,1849.27,9670, 1703593, 49.46,-0.93
UTKARSHBNK, EQ, 01-Jan-2025,33.99,34.0,34.54,33.95,34.51,34.4,34.24,1173854,401.96,10691, 499721, 42.57,1.21
UTKARSHBNK, EQ, 01-Feb-2024,57.5,57.5,58.15,56.6, 57.25,57.25,57.27,4119145,2359.05,12766, 1471741, 35.73,-0.43
UTKARSHBNK, EQ, 01-Mar-2024,52.2,52.2,52.95,52.2, 52.90,52.75,52.59,1929976,1015.03,7375, 927602, 48.06,1.05
UTKARSHBNK, EQ, 01-Apr-2024,47.0,47.95,49.65,47.55, 49.60,49.35,48.78,3301640,1610.55,10740, 1594061, 48.28,5.0
UTKARSHBNK, EQ, 01-Apr-2025,22.03,22.15,23.3,22.07,23.14,23.0,22.91,2471997,566.32,9244, 1182407, 47.83,4.4
UTKARSHBNK, EQ, 01-Jul-2024,51.22,51.22,51.7,50.9,51.09,51.0,51.16,1624088,830.86,9164, 1104517, 68.01,-0.43
UTKARSHBNK, EQ, 01-Aug-2023,51.45,51.65,51.9,50.6, 51.25,51.1,51.07,4207530,2148.72,22159, 2436933, 57.92,-0.68
UTKARSHBNK, EQ, 01-Aug-2024,50.38,51.0,51.1,50.29,50.46,50.5,50.63,1382302,699.84,8047, 785331, 56.81,0.24
UTKARSHBNK, EQ, 01-Sep-2023,47.8,47.8,48.35,47.7, 48.10,48.0,47.99,1322282,634.61,8799, 685070, 51.81,0.42
UTKARSHBNK, EQ, 01-Oct-2024,44.98,44.98,45.99,44.92,45.9,45.82,45.36,1213664,550.55,7625, 684878, 56.43,1.87
UTKARSHBNK, EQ, 01-Nov-2023,50.0,50.15,51.4,49.45, 49.65,49.85,50.26,4921969,2473.6,16286, 2188311, 44.46,-0.3
UTKARSHBNK, EQ, 01-Dec-2023,50.2,50.7,51.1,50.0, 50.25,50.2,50.47,2211712,1116.24,7721, 1051944, 47.56,0.0
UTKARSHBNK, EQ, 02-Jan-2024,53.35,53.6,53.6,52.1, 52.80,52.85,52.82,2842428,1501.47,8985, 1348401, 47.44,-0.94
UTKARSHBNK, EQ, 02-Jan-2025,34.4,34.66,34.66,33.83,33.93,33.95,34.05,2665622,907.63,16460, 1951726, 73.22,-1.31
UTKARSHBNK, EQ, 02-Feb-2024,57.25,57.15,61.05,57.15, 59.10,59.25,59.75,14441233,8628.92,27606, 7440244, 51.52,3.49
UTKARSHBNK, EQ, 02-Apr-2024,49.35,50.0,50.6,49.3, 50.55,50.45,50.13,3414303,1711.59,12842, 1508188, 44.17,2.23
UTKARSHBNK, EQ, 02-Apr-2025,23.0,23.0,23.35,22.42,22.99,22.88,22.97,2564111,588.91,7379, 1195317, 46.62,-0.52
UTKARSHBNK, EQ, 02-May-2024,57.15,57.35,57.6,56.2, 56.90,56.9,56.76,3349945,1901.5,10033, 1750619, 52.26,-0.44
UTKARSHBNK, EQ, 02-Jul-2024,51.0,51.09,51.35,50.54,51.1,51.06,51.05,1173748,599.23,8400, 639478, 54.48,0.12
UTKARSHBNK, EQ, 02-Aug-2023,51.1,51.2,51.6,48.8, 49.85,49.85,50.09,6582622,3297.1,27706, 3834865, 58.26,-2.45
UTKARSHBNK, EQ, 02-Aug-2024,50.5,50.39,50.39,49.51,50.02,50.02,49.95,1504200,751.34,7945, 766104, 50.93,-0.95
UTKARSHBNK, EQ, 02-Sep-2024,49.0,49.44,49.5,49.03,49.2,49.17,49.17,939906,462.17,5001, 623884, 66.38,0.35
UTKARSHBNK, EQ, 02-Nov-2023,49.85,50.35,50.7,49.75, 49.95,50.0,50.16,3753632,1882.82,10822, 1723933, 45.93,0.3
UTKARSHBNK, EQ, 02-Dec-2024,35.92,35.43,35.7,35.14,35.21,35.4,35.41,2725647,965.1,15646, 1961120, 71.95,-1.45
