SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
V2RETAIL, EQ, 01-Jan-2020,104.1,100.0,104.95,100.0, 102.95,102.7,102.87,175601,180.64,2689, 76022, 43.29,-1.34
V2RETAIL, EQ, 01-Jan-2024,300.4,300.5,315.4,300.5, 315.40,315.4,313.08,59893,187.51,644, 51429, 85.87,4.99
V2RETAIL, EQ, 01-Feb-2022,147.3,150.95,150.95,146.5,149.15,148.3,148.16,9250,13.7,268, 5752, 62.18,0.68
V2RETAIL, EQ, 01-Feb-2023,88.15,91.8,91.8,85.15, 85.95,85.6,87.56,14259,12.49,328, 9806, 68.77,-2.89
V2RETAIL, EQ, 01-Feb-2024,348.25,346.0,358.5,344.05, 344.05,346.65,351.13,33214,116.62,1719, 17016, 51.23,-0.46
V2RETAIL, EQ, 01-Mar-2021,135.6,132.0,141.35,132.0, 136.50,135.55,136.44,40802,55.67,861, 30558, 74.89,-0.04
V2RETAIL, EQ, 01-Mar-2023,85.55,86.0,97.1,85.6, 91.50,92.35,93.53,186399,174.34,3940, 84714, 45.45,7.95
V2RETAIL, EQ, 01-Mar-2024,375.7,374.95,387.9,368.5, 381.20,381.55,381.48,52999,202.18,2240, 37224, 70.24,1.56
V2RETAIL, EQ, 01-Apr-2020,51.55,54.1,54.1,54.1,54.1,54.1,54.1,7351,3.98,53, 7351, 100.00,4.95
V2RETAIL, EQ, 01-Apr-2021,125.85,125.0,132.1,125.0, 132.10,132.1,130.92,32141,42.08,223, 31381, 97.64,4.97
V2RETAIL, EQ, 01-Apr-2022,146.5,145.85,161.15,145.85, 161.15,160.15,153.99,78019,120.14,1369, 44885, 57.53,9.32
V2RETAIL, EQ, 01-Jun-2020,53.05,55.7,55.7,55.0, 55.70,55.7,55.69,37544,20.91,264, 28412, 75.68,5.0
V2RETAIL, EQ, 01-Jun-2021,125.5,129.1,129.55,122.1, 123.10,123.4,125.93,60944,76.75,958, 44441, 72.92,-1.67
V2RETAIL, EQ, 01-Jun-2022,116.7,117.55,120.5,115.1,118.2,117.7,117.84,22118,26.06,485, 12197, 55.15,0.86
V2RETAIL, EQ, 01-Jun-2023,96.95,107.4,112.1,102.15, 102.85,103.5,107.85,966827,1042.71,13240, 296029, 30.62,6.76
V2RETAIL, EQ, 01-Jul-2020,53.95,51.3,56.6,51.3, 56.45,56.4,55.08,287770,158.52,2348, 168960, 58.71,4.54
V2RETAIL, EQ, 01-Jul-2021,118.05,120.9,121.9,117.7, 121.90,121.2,120.24,42687,51.33,872, 31225, 73.15,2.67
V2RETAIL, EQ, 01-Jul-2022,107.35,106.1,107.6,105.0,106.1,105.85,105.68,8942,9.45,276, 4639, 51.88,-1.4
V2RETAIL, EQ, 01-Aug-2022,119.75,116.5,119.9,115.5, 117.00,117.0,117.44,24677,28.98,586, 15026, 60.89,-2.3
V2RETAIL, EQ, 01-Sep-2020,56.15,56.15,58.0,53.35, 56.00,55.5,55.18,53908,29.75,833, 33694, 62.50,-1.16
V2RETAIL, EQ, 01-Sep-2021,107.9,106.2,108.9,105.8,107.0,107.6,107.45,26910,28.91,571, 17196, 63.90,-0.28
V2RETAIL, EQ, 01-Sep-2022,113.25,114.0,115.4,110.65,112.55,112.75,113.18,37715,42.69,659, 28387, 75.27,-0.44
V2RETAIL, EQ, 01-Oct-2020,50.45,50.5,51.4,49.2, 51.00,50.3,50.69,68991,34.97,375, 59737, 86.59,-0.3
V2RETAIL, EQ, 01-Oct-2021,150.15,146.1,150.8,145.0, 149.90,148.05,147.94,108625,160.7,1636, 81378, 74.92,-1.4
V2RETAIL, EQ, 01-Nov-2022,105.35,106.0,108.0,105.6,107.35,106.3,106.58,13350,14.23,272, 7846, 58.77,0.9
V2RETAIL, EQ, 01-Dec-2020,84.65,87.9,88.85,86.0,88.85,88.85,87.71,287215,251.92,1785, 200167, 69.69,4.96
V2RETAIL, EQ, 01-Dec-2022,101.75,102.05,103.5,101.0,101.1,101.25,101.69,10610,10.79,260, 5911, 55.71,-0.49
V2RETAIL, EQ, 02-Jan-2020,102.7,103.05,111.9,102.15, 108.80,108.6,108.5,224954,244.08,4217, 100712, 44.77,5.74
V2RETAIL, EQ, 02-Jan-2023,103.2,102.1,102.25,98.55, 98.90,99.0,99.81,117262,117.04,1806, 62177, 53.02,-4.07
V2RETAIL, EQ, 02-Jan-2024,315.4,324.6,331.15,315.25, 331.15,330.4,325.27,102354,332.92,1957, 73507, 71.82,4.76
V2RETAIL, EQ, 02-Feb-2021,120.1,126.1,126.1,126.1, 126.10,126.1,126.1,12725,16.05,158, 12725, 100.00,5.0
V2RETAIL, EQ, 02-Feb-2022,148.3,148.25,150.65,145.95, 148.40,147.55,147.86,14565,21.54,453, 9643, 66.21,-0.51
V2RETAIL, EQ, 02-Feb-2023,85.6,92.0,93.3,81.85, 83.00,82.65,85.05,24043,20.45,704, 12826, 53.35,-3.45
V2RETAIL, EQ, 02-Feb-2024,346.65,342.05,358.05,338.05, 346.00,342.3,350.42,26482,92.8,1921, 11777, 44.47,-1.25
V2RETAIL, EQ, 02-Mar-2020,79.15,81.25,83.0,77.9, 79.80,79.65,80.67,113402,91.49,1664, 52550, 46.34,0.63
V2RETAIL, EQ, 02-Mar-2021,135.55,135.05,139.0,134.05,137.15,136.9,136.74,29111,39.81,564, 20423, 70.16,1.0
V2RETAIL, EQ, 02-Mar-2022,148.2,146.0,150.95,144.85, 150.70,149.6,147.33,20932,30.84,312, 14000, 66.88,0.94
V2RETAIL, EQ, 02-Mar-2023,92.35,91.7,91.7,89.55, 90.55,90.3,90.43,10206,9.23,287, 5696, 55.81,-2.22
V2RETAIL, EQ, 02-May-2022,152.95,148.05,153.55,148.05,150.3,151.05,151.6,18306,27.75,423, 11672, 63.76,-1.24
V2RETAIL, EQ, 02-May-2023,82.15,82.55,82.75,81.6, 81.75,81.85,82.12,20433,16.78,219, 16417, 80.35,-0.37
V2RETAIL, EQ, 02-Jun-2020,55.7,58.0,58.45,57.0,58.45,58.45,58.27,37628,21.93,223, 33003, 87.71,4.94
V2RETAIL, EQ, 02-Jun-2021,123.4,124.7,124.7,119.45, 123.10,122.6,122.03,42143,51.43,768, 31757, 75.36,-0.65
V2RETAIL, EQ, 02-Jun-2022,117.7,119.0,121.15,115.5,115.95,116.55,117.26,19847,23.27,398, 14336, 72.23,-0.98
V2RETAIL, EQ, 02-Jun-2023,103.5,103.0,111.7,102.85, 104.30,104.45,107.38,339731,364.79,5509, 168687, 49.65,0.92
