SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VAIBHAVGBL, EQ, 01-Jan-2020,826.05,815.05,852.0,815.05, 850.00,849.7,844.41,14393,121.54,576, 12459, 86.56,2.86
VAIBHAVGBL, EQ, 01-Jan-2021,2446.9,2450.0,2575.0,2440.0, 2542.00,2552.1,2518.23,31964,804.93,5574, 19208, 60.09,4.3
VAIBHAVGBL, EQ, 01-Jan-2024,396.85,396.85,398.75,393.15, 393.15,394.9,395.52,195171,771.93,10269, 107435, 55.05,-0.49
VAIBHAVGBL, EQ, 01-Jan-2025,277.45,279.0,292.4,278.55,290.05,290.9,286.93,443600,1272.83,12884, 182513, 41.14,4.85
VAIBHAVGBL, EQ, 01-Feb-2021,2596.95,2650.0,2815.0,2627.3, 2815.00,2808.05,2746.27,65430,1796.88,12066, 43058, 65.81,8.13
VAIBHAVGBL, EQ, 01-Feb-2022,462.9,462.0,468.0,437.55,446.0,443.05,448.05,652318,2922.73,31143, 330663, 50.69,-4.29
VAIBHAVGBL, EQ, 01-Feb-2023,304.2,308.0,308.75,288.4, 294.00,293.3,300.56,178719,537.16,12931, 69804, 39.06,-3.58
VAIBHAVGBL, EQ, 01-Feb-2024,496.6,499.7,509.95,490.0, 492.00,491.35,498.84,781158,3896.74,30590, 245644, 31.45,-1.06
VAIBHAVGBL, EQ, 01-Mar-2021,3506.6,3540.0,3608.9,3472.0, 3545.00,3557.85,3566.11,41704,1487.21,8445, 24228, 58.10,1.46
VAIBHAVGBL, EQ, 01-Mar-2023,324.4,326.4,331.0,324.3, 331.00,327.85,326.45,111391,363.63,5993, 41836, 37.56,1.06
VAIBHAVGBL, EQ, 01-Mar-2024,422.25,424.9,434.8,423.95, 425.10,428.2,432.19,1050497,4540.12,14723, 865566, 82.40,1.41
VAIBHAVGBL, EQ, 01-Apr-2020,770.9,783.0,830.0,746.0,798.5,795.85,799.46,7661,61.25,879, 5270, 68.79,3.24
VAIBHAVGBL, EQ, 01-Apr-2021,3841.9,3965.0,4040.0,3900.0, 4038.00,4006.95,3960.47,26829,1062.56,7282, 13528, 50.42,4.3
VAIBHAVGBL, EQ, 01-Apr-2022,373.95,375.0,417.5,374.45, 411.90,408.05,397.19,417797,1659.46,14839, 139746, 33.45,9.12
VAIBHAVGBL, EQ, 01-Apr-2024,364.3,366.9,382.65,366.75, 377.25,376.1,376.72,435123,1639.2,18751, 241613, 55.53,3.24
VAIBHAVGBL, EQ, 01-Apr-2025,218.99,219.7,227.44,218.99,227.0,226.68,225.18,373038,840.0,12300, 196410, 52.65,3.51
VAIBHAVGBL, EQ, 01-Jun-2020,1103.85,1129.45,1156.95,1082.95, 1090.35,1093.6,1093.52,165006,1804.38,4695, 149348, 90.51,-0.93
VAIBHAVGBL, EQ, 01-Jun-2021,842.0,840.0,849.0,827.1, 837.00,832.05,836.89,75137,628.82,5999, 49982, 66.52,-1.18
VAIBHAVGBL, EQ, 01-Jun-2022,335.75,337.9,350.0,336.65,337.0,338.3,342.48,177451,607.73,10513, 66687, 37.58,0.76
VAIBHAVGBL, EQ, 01-Jun-2023,301.0,302.8,302.8,299.1, 301.25,300.55,300.55,83217,250.11,4746, 43531, 52.31,-0.15
VAIBHAVGBL, EQ, 01-Jul-2020,1276.2,1275.05,1300.0,1275.0, 1295.20,1291.8,1284.92,6624,85.11,1634, 4071, 61.46,1.22
VAIBHAVGBL, EQ, 01-Jul-2021,798.2,802.0,834.0,795.05, 806.10,810.85,814.83,181776,1481.16,15458, 89511, 49.24,1.58
VAIBHAVGBL, EQ, 01-Jul-2022,299.9,301.0,306.95,287.9,303.0,302.4,300.39,131705,395.62,8712, 69726, 52.94,0.83
VAIBHAVGBL, EQ, 01-Jul-2024,308.6,313.2,341.9,310.65,331.05,331.75,332.17,3569029,11855.12,78684, 895971, 25.10,7.5
VAIBHAVGBL, EQ, 01-Aug-2022,298.3,306.0,338.8,299.35, 324.80,323.6,322.38,1494015,4816.46,36509, 553909, 37.08,8.48
VAIBHAVGBL, EQ, 01-Aug-2023,345.25,349.8,354.7,346.0, 352.40,350.9,350.59,332572,1165.97,11899, 153908, 46.28,1.64
VAIBHAVGBL, EQ, 01-Aug-2024,341.05,347.9,352.75,337.0,339.0,339.9,344.69,1614025,5563.4,52638, 695120, 43.07,-0.34
VAIBHAVGBL, EQ, 01-Sep-2020,1688.1,1688.1,1706.75,1630.0, 1677.15,1671.4,1657.95,10989,182.19,2809, 6155, 56.01,-0.99
VAIBHAVGBL, EQ, 01-Sep-2021,724.15,724.15,729.0,713.0,717.0,719.65,719.21,80431,578.46,11850, 46500, 57.81,-0.62
VAIBHAVGBL, EQ, 01-Sep-2022,347.95,337.8,354.7,332.75,342.75,341.55,345.29,1649533,5695.74,40454, 450462, 27.31,-1.84
VAIBHAVGBL, EQ, 01-Sep-2023,442.2,445.0,464.6,441.2, 449.75,449.35,454.95,773689,3519.93,24853, 236056, 30.51,1.62
VAIBHAVGBL, EQ, 01-Oct-2020,1883.3,1880.0,1925.0,1871.0, 1905.00,1908.3,1909.05,17840,340.58,3136, 12645, 70.88,1.33
VAIBHAVGBL, EQ, 01-Oct-2021,699.5,699.0,718.85,694.7, 697.30,696.65,701.05,171111,1199.58,13160, 89098, 52.07,-0.41
VAIBHAVGBL, EQ, 01-Oct-2024,311.25,309.85,311.7,304.0,305.85,304.9,307.3,292422,898.61,9899, 158198, 54.10,-2.04
VAIBHAVGBL, EQ, 01-Nov-2021,574.65,585.0,585.0,550.05, 560.80,559.0,562.39,243415,1368.94,21556, 122303, 50.24,-2.72
VAIBHAVGBL, EQ, 01-Nov-2022,352.25,354.0,356.15,347.1,347.5,348.05,350.08,138893,486.24,8153, 50296, 36.21,-1.19
VAIBHAVGBL, EQ, 01-Nov-2023,418.6,419.35,424.95,409.1, 415.40,411.65,416.3,165537,689.13,12165, 67157, 40.57,-1.66
VAIBHAVGBL, EQ, 01-Dec-2020,2129.45,2148.9,2180.0,2110.05,2149.0,2148.65,2149.58,50927,1094.72,10487, 43938, 86.28,0.9
VAIBHAVGBL, EQ, 01-Dec-2021,490.45,498.0,529.0,492.65,508.05,504.8,512.83,204033,1046.35,13719, 58738, 28.79,2.93
VAIBHAVGBL, EQ, 01-Dec-2022,337.65,339.65,344.5,337.15,343.9,343.85,342.0,133667,457.14,5976, 78924, 59.05,1.84
VAIBHAVGBL, EQ, 01-Dec-2023,428.0,434.85,454.25,427.8, 432.65,432.35,442.86,1354426,5998.25,57333, 483684, 35.71,1.02
VAIBHAVGBL, EQ, 02-Jan-2020,849.7,866.9,866.9,841.05, 854.95,853.1,850.7,2402,20.43,269, 1728, 71.94,0.4
VAIBHAVGBL, EQ, 02-Jan-2023,310.9,312.9,314.9,305.1, 307.30,307.85,309.14,239921,741.69,11570, 138629, 57.78,-0.98
VAIBHAVGBL, EQ, 02-Jan-2024,394.9,394.3,409.0,394.3, 406.50,406.85,404.11,364653,1473.61,16434, 132747, 36.40,3.03
VAIBHAVGBL, EQ, 02-Jan-2025,290.9,291.5,301.5,290.4,298.0,298.0,297.08,938478,2788.04,26539, 371011, 39.53,2.44
VAIBHAVGBL, EQ, 02-Feb-2021,2808.05,2829.95,2850.0,2755.0, 2790.05,2793.35,2815.34,56973,1603.99,13289, 43541, 76.42,-0.52
VAIBHAVGBL, EQ, 02-Feb-2022,443.05,450.0,470.0,447.0, 452.00,451.55,459.23,532693,2446.28,20637, 243361, 45.69,1.92
VAIBHAVGBL, EQ, 02-Feb-2023,293.3,294.75,300.5,294.05, 298.20,298.15,297.88,84429,251.5,8844, 42993, 50.92,1.65
VAIBHAVGBL, EQ, 02-Feb-2024,491.35,494.55,509.95,478.0, 480.05,481.0,492.09,1137257,5596.3,40095, 458826, 40.34,-2.11
VAIBHAVGBL, EQ, 02-Mar-2020,1097.15,1101.0,1115.0,1070.0, 1073.00,1076.5,1092.62,14290,156.14,2874, 9190, 64.31,-1.88
VAIBHAVGBL, EQ, 02-Mar-2021,3557.85,3605.0,3745.5,3572.65,3646.0,3691.95,3665.25,44714,1638.88,10202, 24464, 54.71,3.77
VAIBHAVGBL, EQ, 02-Mar-2022,410.1,410.0,411.1,394.85, 404.95,399.25,404.3,114713,463.79,10590, 47129, 41.08,-2.65
VAIBHAVGBL, EQ, 02-Mar-2023,327.85,329.5,333.85,327.1, 328.50,328.85,329.68,82932,273.41,5104, 27732, 33.44,0.31
VAIBHAVGBL, EQ, 02-Apr-2024,376.1,378.8,389.3,378.55, 388.20,386.1,385.88,455684,1758.37,18748, 207748, 45.59,2.66
VAIBHAVGBL, EQ, 02-Apr-2025,226.68,228.0,231.95,221.36,231.95,230.32,226.47,349701,791.95,9942, 200562, 57.35,1.61
VAIBHAVGBL, EQ, 02-May-2022,468.0,461.95,463.65,448.0,457.0,455.9,453.56,112066,508.29,6090, 40027, 35.72,-2.59
VAIBHAVGBL, EQ, 02-May-2023,315.1,317.95,320.9,315.3, 319.05,317.75,318.74,98348,313.48,5761, 47819, 48.62,0.84
VAIBHAVGBL, EQ, 02-May-2024,415.15,415.95,423.95,410.7, 411.00,412.65,416.87,259851,1083.25,14511, 113548, 43.70,-0.6
VAIBHAVGBL, EQ, 02-Jun-2020,1093.6,1109.95,1127.0,1095.0,1100.0,1099.4,1102.32,14855,163.75,1511, 11092, 74.67,0.53
VAIBHAVGBL, EQ, 02-Jun-2021,832.05,834.9,842.85,821.1, 826.95,825.55,825.98,99133,818.82,8302, 66810, 67.39,-0.78
VAIBHAVGBL, EQ, 02-Jun-2022,338.3,337.8,342.0,334.0,338.95,338.55,338.59,169779,574.86,16543, 89622, 52.79,0.07
VAIBHAVGBL, EQ, 02-Jun-2023,300.55,301.0,304.0,298.55, 303.00,301.55,300.78,79578,239.35,3889, 42363, 53.23,0.33
VAIBHAVGBL, EQ, 02-Jul-2020,1291.8,1298.0,1305.0,1270.0, 1274.40,1275.3,1292.1,51919,670.85,3951, 40959, 78.89,-1.28
VAIBHAVGBL, EQ, 02-Jul-2021,810.85,815.0,842.0,812.0,820.0,817.15,825.72,193930,1601.31,13278, 106005, 54.66,0.78
VAIBHAVGBL, EQ, 02-Jul-2024,331.75,334.0,334.5,325.0,326.8,326.2,329.36,465686,1533.77,17878, 197677, 42.45,-1.67
VAIBHAVGBL, EQ, 02-Aug-2021,829.75,855.0,860.0,806.0,814.95,812.9,827.79,352389,2917.05,22985, 165585, 46.99,-2.03
VAIBHAVGBL, EQ, 02-Aug-2022,323.6,328.0,338.0,321.8,324.0,323.9,328.35,723139,2374.45,22674, 315631, 43.65,0.09
VAIBHAVGBL, EQ, 02-Aug-2023,350.9,351.55,359.8,346.0, 348.90,349.9,352.81,466972,1647.54,16714, 172293, 36.90,-0.28
VAIBHAVGBL, EQ, 02-Aug-2024,339.9,320.0,330.8,318.35,327.15,326.2,326.19,1043871,3405.01,36559, 418150, 40.06,-4.03
VAIBHAVGBL, EQ, 02-Sep-2020,1671.4,1748.0,1760.0,1685.2, 1760.00,1750.75,1724.78,19162,330.5,2034, 14405, 75.17,4.75
VAIBHAVGBL, EQ, 02-Sep-2021,719.65,724.0,724.0,710.05, 716.50,715.65,717.41,65346,468.8,7010, 39048, 59.76,-0.56
VAIBHAVGBL, EQ, 02-Sep-2022,341.55,345.0,355.5,333.7,335.0,341.9,345.83,1461606,5054.64,32054, 356642, 24.40,0.1
VAIBHAVGBL, EQ, 02-Sep-2024,317.35,320.9,322.95,313.0,313.5,314.35,317.89,424833,1350.52,14946, 209268, 49.26,-0.95
VAIBHAVGBL, EQ, 02-Nov-2020,1954.5,1950.0,1999.9,1895.2, 1900.00,1899.45,1932.03,22188,428.68,3974, 16494, 74.34,-2.82
VAIBHAVGBL, EQ, 02-Nov-2021,559.0,564.0,598.4,563.95, 582.00,581.25,583.66,255874,1493.44,25691, 123234, 48.16,3.98
VAIBHAVGBL, EQ, 02-Nov-2022,348.05,352.6,355.85,347.0,347.0,348.1,350.24,120863,423.31,7491, 42995, 35.57,0.01
VAIBHAVGBL, EQ, 02-Nov-2023,411.65,414.0,423.0,413.8, 416.60,417.9,418.35,166501,696.55,9717, 67071, 40.28,1.52
VAIBHAVGBL, EQ, 02-Dec-2020,2148.65,2165.0,2165.0,2121.0, 2140.00,2138.8,2144.98,8333,178.74,1892, 5672, 68.07,-0.46
VAIBHAVGBL, EQ, 02-Dec-2021,504.8,507.0,528.25,503.75, 520.50,524.7,515.73,93847,484.0,8359, 45389, 48.36,3.94
VAIBHAVGBL, EQ, 02-Dec-2022,343.85,344.8,359.1,344.0, 350.00,350.45,353.23,338954,1197.27,12861, 122398, 36.11,1.92
VAIBHAVGBL, EQ, 02-Dec-2024,282.05,281.0,297.9,280.0,294.0,294.45,289.87,552930,1602.77,19203, 240632, 43.52,4.4
VAIBHAVGBL, EQ, 03-Jan-2020,853.1,849.95,857.0,849.5, 850.50,851.35,851.81,6862,58.45,448, 6002, 87.47,-0.21
VAIBHAVGBL, EQ, 03-Jan-2022,588.25,605.0,605.0,568.0, 572.20,571.3,573.92,193726,1111.84,16827, 114857, 59.29,-2.88
VAIBHAVGBL, EQ, 03-Jan-2023,307.85,309.4,310.85,304.05, 306.00,305.0,307.3,289255,888.88,11519, 177454, 61.35,-0.93
VAIBHAVGBL, EQ, 03-Jan-2024,406.85,406.0,442.55,402.65, 423.40,432.2,427.55,6145063,26273.51,86238, 3105652, 50.54,6.23
VAIBHAVGBL, EQ, 03-Jan-2025,298.0,297.75,302.75,293.4,298.0,296.95,297.75,442653,1317.99,15951, 190499, 43.04,-0.35
VAIBHAVGBL, EQ, 03-Feb-2020,1039.85,1048.0,1050.1,993.0, 1025.00,1029.5,1025.39,47289,484.9,3475, 36444, 77.07,-1.0
VAIBHAVGBL, EQ, 03-Feb-2021,2793.35,2824.0,2900.0,2771.0, 2771.75,2785.75,2806.2,30918,867.62,7560, 22084, 71.43,-0.27
VAIBHAVGBL, EQ, 03-Feb-2022,451.55,457.0,457.0,445.65, 452.00,449.2,450.62,178138,802.72,10253, 98811, 55.47,-0.52
VAIBHAVGBL, EQ, 03-Feb-2023,298.15,297.0,300.4,295.0, 295.90,296.4,297.98,94657,282.06,10979, 43486, 45.94,-0.59
VAIBHAVGBL, EQ, 03-Feb-2025,269.0,267.0,275.5,261.25,269.7,269.55,270.46,377883,1022.02,17197, 122728, 32.48,0.2
VAIBHAVGBL, EQ, 03-Mar-2020,1076.5,1070.0,1085.0,1041.0, 1055.00,1054.75,1056.45,14650,154.77,638, 10111, 69.02,-2.02
VAIBHAVGBL, EQ, 03-Mar-2021,3691.95,3687.0,3884.5,3607.95,3752.0,3754.7,3729.28,174457,6505.98,20155, 115842, 66.40,1.7
VAIBHAVGBL, EQ, 03-Mar-2022,399.25,404.0,412.0,391.9,399.0,395.75,398.54,115082,458.64,7983, 63514, 55.19,-0.88
