SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VALIANTORG, EQ, 01-Jan-2021,1535.6,1536.0,1594.0,1536.0, 1558.75,1550.0,1564.03,18769,293.55,2013, 10278, 54.76,0.94
VALIANTORG, EQ, 01-Jan-2024,503.95,504.0,516.1,501.55, 508.90,508.9,511.79,72095,368.97,6758, 36785, 51.02,0.98
VALIANTORG, EQ, 01-Jan-2025,306.35,307.0,313.95,305.0,312.0,311.7,311.17,24094,74.97,1530, 12148, 50.42,1.75
VALIANTORG, EQ, 01-Feb-2021,1363.95,1365.0,1420.05,1349.05, 1410.00,1387.5,1372.32,13560,186.09,1377, 9163, 67.57,1.73
VALIANTORG, EQ, 01-Feb-2022,1118.7,1137.5,1144.2,1108.85,1115.0,1118.8,1124.76,48833,549.26,9440, 18782, 38.46,0.01
VALIANTORG, EQ, 01-Feb-2023,477.4,480.0,485.6,450.6, 457.50,455.7,468.7,113165,530.4,7429, 70385, 62.20,-4.55
VALIANTORG, EQ, 01-Feb-2024,485.85,487.3,494.5,482.55, 483.05,489.55,487.43,64452,314.16,6391, 39807, 61.76,0.76
VALIANTORG, EQ, 01-Mar-2021,1257.55,1264.0,1275.0,1227.0, 1242.10,1235.0,1245.16,20937,260.7,2568, 12872, 61.48,-1.79
VALIANTORG, EQ, 01-Mar-2023,403.65,405.0,411.2,403.7, 408.15,409.6,409.48,33645,137.77,3013, 21812, 64.83,1.47
VALIANTORG, EQ, 01-Mar-2024,426.6,429.95,431.6,419.0, 419.30,422.25,424.91,54038,229.61,5399, 38274, 70.83,-1.02
VALIANTORG, EQ, 01-Apr-2021,1291.95,1291.95,1315.0,1250.0, 1297.00,1292.9,1283.75,51990,667.42,4252, 14490, 27.87,0.07
VALIANTORG, EQ, 01-Apr-2022,920.9,927.7,1014.45,922.3, 1002.00,1002.3,976.38,206390,2015.15,16416, 60081, 29.11,8.84
VALIANTORG, EQ, 01-Apr-2024,380.8,402.95,419.0,394.6, 409.95,411.7,404.85,119879,485.33,10984, 46534, 38.82,8.11
VALIANTORG, EQ, 01-Apr-2025,260.65,264.45,305.95,259.95,292.3,295.65,291.03,307966,896.28,11358, 75353, 24.47,13.43
VALIANTORG, EQ, 01-Jun-2021,1533.95,1520.0,1563.5,1503.05, 1535.00,1529.15,1537.03,30157,463.52,3186, 15421, 51.14,-0.31
VALIANTORG, EQ, 01-Jun-2022,676.15,681.0,709.25,674.35,705.05,704.95,695.27,40497,281.56,3729, 17452, 43.09,4.26
VALIANTORG, EQ, 01-Jun-2023,594.95,590.4,625.0,590.4, 621.80,620.6,614.13,193090,1185.82,11171, 85211, 44.13,4.31
VALIANTORG, EQ, 01-Jul-2021,1565.4,1575.0,1575.0,1538.1, 1550.15,1554.45,1553.45,20569,319.53,1541, 14860, 72.24,-0.7
VALIANTORG, EQ, 01-Jul-2022,532.95,531.5,580.0,525.0,549.95,552.05,551.13,150752,830.84,11490, 34380, 22.81,3.58
VALIANTORG, EQ, 01-Jul-2024,402.9,402.0,416.0,402.0,415.45,413.75,410.37,53399,219.13,6603, 29210, 54.70,2.69
VALIANTORG, EQ, 01-Aug-2022,670.0,675.7,675.7,644.2, 653.00,652.5,657.76,89408,588.09,7569, 43493, 48.65,-2.61
