SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VENTIVE, EQ, 01-Jan-2025,719.85,724.85,728.1,710.7,720.85,721.15,720.44,548645,3952.64,19382, 231422, 42.18,0.18
VENTIVE, EQ, 01-Apr-2025,712.45,710.0,736.95,702.25,718.3,718.4,722.14,101034,729.61,5769, 53269, 52.72,0.84
VENTIVE, EQ, 02-Jan-2025,721.15,725.8,774.5,712.25,740.1,738.35,746.19,2261727,16876.76,66037, 690054, 30.51,2.39
VENTIVE, EQ, 02-Apr-2025,718.4,718.75,750.4,707.75,735.25,739.8,732.86,181403,1329.42,10088, 112984, 62.28,2.98
VENTIVE, EQ, 03-Jan-2025,738.35,738.35,758.0,728.05,740.6,739.95,742.16,822194,6102.0,17789, 293603, 35.71,0.22
VENTIVE, EQ, 03-Feb-2025,731.3,720.0,741.95,709.95,740.25,736.9,729.28,355512,2592.67,9110, 217926, 61.30,0.77
VENTIVE, EQ, 03-Mar-2025,557.4,560.15,565.95,523.4,560.0,559.35,542.36,225572,1223.42,8576, 86337, 38.27,0.35
VENTIVE, EQ, 03-Apr-2025,739.8,736.5,749.4,715.0,715.25,724.2,733.72,144609,1061.03,11403, 75858, 52.46,-2.11
VENTIVE, EQ, 04-Feb-2025,736.9,740.0,756.0,725.25,750.0,748.9,744.38,362130,2695.64,11298, 163087, 45.04,1.63
VENTIVE, EQ, 04-Mar-2025,559.35,555.0,578.95,536.1,567.8,571.0,566.51,161366,914.15,5459, 82935, 51.40,2.08
VENTIVE, EQ, 04-Apr-2025,724.2,725.0,725.3,688.0,688.0,688.0,705.77,140213,989.58,6607, 86921, 61.99,-5.0
VENTIVE, EQ, 05-Feb-2025,748.9,756.9,780.95,750.1,767.0,771.6,766.69,451003,3457.79,15139, 202734, 44.95,3.03
VENTIVE, EQ, 05-Mar-2025,571.0,571.0,628.1,563.25,620.05,620.85,604.99,272714,1649.89,8411, 147600, 54.12,8.73
VENTIVE, EQ, 06-Jan-2025,739.95,740.0,742.65,704.05,715.0,712.45,716.77,1214818,8707.48,23256, 595352, 49.01,-3.72
VENTIVE, EQ, 06-Feb-2025,771.6,771.6,771.6,751.0,758.0,758.3,761.85,165627,1261.83,6225, 60063, 36.26,-1.72
VENTIVE, EQ, 06-Mar-2025,620.85,622.0,682.9,622.0,682.9,682.9,662.74,336499,2230.11,9593, 161459, 47.98,9.99
VENTIVE, EQ, 07-Jan-2025,712.45,719.5,726.7,707.0,719.0,722.05,716.74,792194,5677.94,15628, 398638, 50.32,1.35
VENTIVE, EQ, 07-Feb-2025,758.3,751.0,789.0,743.35,759.0,763.5,768.97,345447,2656.37,14164, 106726, 30.90,0.69
VENTIVE, EQ, 07-Mar-2025,682.9,714.75,723.7,686.05,692.0,705.5,702.56,670302,4709.28,24713, 240705, 35.91,3.31
VENTIVE, EQ, 07-Apr-2025,688.0,619.2,678.0,619.2,673.5,667.1,647.18,242693,1570.65,14597, 105621, 43.52,-3.04
VENTIVE, EQ, 08-Jan-2025,722.05,718.25,725.9,698.45,716.0,719.7,714.53,513520,3669.26,15023, 247809, 48.26,-0.33
VENTIVE, EQ, 08-Apr-2025,667.1,689.0,699.95,670.35,697.0,696.0,685.84,129900,890.91,6437, 66502, 51.19,4.33
VENTIVE, EQ, 09-Jan-2025,719.7,723.0,724.85,706.5,715.0,716.55,715.01,342111,2446.12,6784, 155082, 45.33,-0.44
VENTIVE, EQ, 09-Apr-2025,696.0,689.0,706.65,668.5,695.05,693.1,689.28,162734,1121.69,5409, 114857, 70.58,-0.42
