SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VIMTALABS, EQ, 01-Jan-2020,92.75,93.5,94.8,91.5, 92.05,92.35,92.81,24555,22.79,791, 12498, 50.90,-0.43
VIMTALABS, EQ, 01-Jan-2021,174.0,175.0,177.0,173.0, 174.35,173.9,174.87,10299,18.01,305, 6106, 59.29,-0.06
VIMTALABS, EQ, 01-Jan-2024,403.55,405.25,408.65,404.1, 405.10,405.3,406.01,23744,96.4,1473, 11635, 49.00,0.43
VIMTALABS, EQ, 01-Jan-2025,994.15,997.7,1024.0,985.15,990.0,988.8,1000.76,60883,609.29,4067, 20934, 34.38,-0.54
VIMTALABS, EQ, 01-Feb-2021,168.1,168.35,176.5,156.0, 173.25,174.9,171.51,55134,94.56,1192, 39535, 71.71,4.05
VIMTALABS, EQ, 01-Feb-2022,384.6,389.75,398.85,384.0,395.0,394.55,392.33,99256,389.41,4614, 23037, 23.21,2.59
VIMTALABS, EQ, 01-Feb-2023,356.75,357.25,366.55,342.05, 346.00,347.05,355.88,35454,126.17,2822, 19708, 55.59,-2.72
VIMTALABS, EQ, 01-Feb-2024,454.05,456.2,484.05,448.15, 453.50,457.0,463.63,336571,1560.45,19279, 211332, 62.79,0.65
VIMTALABS, EQ, 01-Mar-2021,166.4,166.4,168.35,163.95, 165.25,165.5,166.25,11611,19.3,377, 8217, 70.77,-0.54
VIMTALABS, EQ, 01-Mar-2023,302.25,302.35,312.0,300.9, 305.65,308.05,306.03,25336,77.53,1644, 16791, 66.27,1.92
VIMTALABS, EQ, 01-Mar-2024,508.3,511.8,514.4,505.8, 513.65,512.05,510.1,22377,114.15,1703, 14701, 65.70,0.74
VIMTALABS, EQ, 01-Apr-2020,59.7,60.9,62.0,59.45,60.25,59.85,60.58,24026,14.55,516, 15963, 66.44,0.25
VIMTALABS, EQ, 01-Apr-2021,161.4,161.5,165.5,161.35, 164.00,163.55,163.41,29060,47.49,779, 12262, 42.20,1.33
