SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VIPIND, EQ, 01-Jan-2020,431.65,434.6,436.5,425.05, 426.70,429.05,431.98,83024,358.65,3261, 34724, 41.82,-0.6
VIPIND, EQ, 01-Jan-2021,364.5,364.5,369.9,358.1, 366.80,365.8,364.19,580655,2114.68,15832, 311432, 53.63,0.36
VIPIND, EQ, 01-Jan-2024,597.65,599.0,613.8,597.2, 609.95,609.95,608.08,868087,5278.67,28038, 401128, 46.21,2.06
VIPIND, EQ, 01-Jan-2025,480.15,484.5,487.9,479.05,483.95,483.05,483.46,262108,1267.19,8266, 182215, 69.52,0.6
VIPIND, EQ, 01-Feb-2021,339.7,346.2,352.5,339.0, 349.95,348.35,344.52,706100,2432.62,6522, 588934, 83.41,2.55
VIPIND, EQ, 01-Feb-2022,599.45,610.0,616.3,592.3,601.05,602.3,601.25,386249,2322.33,18909, 109251, 28.29,0.48
VIPIND, EQ, 01-Feb-2023,699.25,705.25,724.0,660.1, 685.00,686.4,697.19,961412,6702.87,35000, 583739, 60.72,-1.84
VIPIND, EQ, 01-Feb-2024,538.65,538.45,544.1,526.4, 528.60,529.05,535.35,814326,4359.48,30453, 410136, 50.37,-1.78
VIPIND, EQ, 01-Mar-2021,400.7,409.4,412.5,396.0, 410.00,406.15,405.41,1564155,6341.19,11046, 1192973, 76.27,1.36
VIPIND, EQ, 01-Mar-2023,638.0,641.4,642.1,625.05, 640.35,639.95,636.2,123081,783.04,9919, 60075, 48.81,0.31
VIPIND, EQ, 01-Mar-2024,552.85,552.8,560.4,552.8, 556.10,557.05,556.29,670420,3729.51,14585, 532891, 79.49,0.76
VIPIND, EQ, 01-Apr-2020,240.15,236.1,239.9,228.05,233.2,233.5,233.07,125345,292.14,5402, 54076, 43.14,-2.77
VIPIND, EQ, 01-Apr-2021,354.15,357.0,361.2,351.0, 354.05,354.45,354.07,192683,682.24,33909, 84266, 43.73,0.08
VIPIND, EQ, 01-Apr-2022,745.65,750.0,757.0,738.0, 740.00,741.4,747.16,262713,1962.89,9951, 62838, 23.92,-0.57
VIPIND, EQ, 01-Apr-2024,525.5,519.0,549.9,514.6, 534.30,532.5,535.02,5625277,30096.57,109698, 1118921, 19.89,1.33
VIPIND, EQ, 01-Apr-2025,279.7,280.35,290.5,279.5,281.35,281.05,283.39,621220,1760.46,22865, 243593, 39.21,0.48
VIPIND, EQ, 01-Jun-2020,217.65,224.5,236.8,221.1, 232.70,231.15,232.33,1942172,4512.22,36134, 716174, 36.87,6.2
VIPIND, EQ, 01-Jun-2021,367.9,362.55,386.9,362.55, 384.50,382.75,378.25,1058035,4002.06,20067, 345632, 32.67,4.04
VIPIND, EQ, 01-Jun-2022,579.9,585.0,615.5,579.85,608.5,604.85,604.0,554746,3350.69,19341, 124846, 22.51,4.3
VIPIND, EQ, 01-Jun-2023,606.55,611.05,620.05,601.5, 604.00,603.4,604.91,427706,2587.22,10571, 359563, 84.07,-0.52
VIPIND, EQ, 01-Jul-2020,257.65,259.95,259.95,252.75, 258.50,257.45,256.81,302709,777.39,8715, 117355, 38.77,-0.08
VIPIND, EQ, 01-Jul-2021,400.55,400.55,406.65,390.6, 392.95,392.2,398.9,386959,1543.57,12597, 81924, 21.17,-2.08
VIPIND, EQ, 01-Jul-2022,626.5,626.5,631.8,606.4,618.9,617.95,619.24,125113,774.75,6697, 40609, 32.46,-1.36
VIPIND, EQ, 01-Jul-2024,485.05,485.95,487.95,481.75,483.1,483.65,483.37,237970,1150.28,9005, 130043, 54.65,-0.29
VIPIND, EQ, 01-Aug-2022,603.65,606.5,628.0,606.5, 625.10,625.8,620.29,590172,3660.8,21048, 239231, 40.54,3.67
VIPIND, EQ, 01-Aug-2023,599.8,600.0,604.8,597.0, 599.40,599.55,599.98,153285,919.68,7115, 88299, 57.60,-0.04
VIPIND, EQ, 01-Aug-2024,465.45,466.9,474.0,466.0,467.0,466.55,468.44,173919,814.7,8658, 82463, 47.41,0.24
VIPIND, EQ, 01-Sep-2020,283.45,286.85,298.8,277.0, 295.75,295.25,286.83,529878,1519.86,12422, 126865, 23.94,4.16
VIPIND, EQ, 01-Sep-2021,465.6,461.5,476.3,457.0,458.0,460.25,463.28,425015,1969.01,16106, 144796, 34.07,-1.15
VIPIND, EQ, 01-Sep-2022,593.45,587.0,597.8,586.95,595.3,594.5,592.98,105205,623.84,6287, 44231, 42.04,0.18
VIPIND, EQ, 01-Sep-2023,665.65,667.9,667.9,658.0, 658.50,660.35,661.61,635210,4202.61,14735, 428228, 67.42,-0.8
VIPIND, EQ, 01-Oct-2020,288.35,290.95,296.0,288.0, 289.45,289.35,291.57,231455,674.85,10363, 105008, 45.37,0.35
VIPIND, EQ, 01-Oct-2021,506.6,501.5,508.75,500.0, 503.00,504.65,504.07,342823,1728.06,15651, 99621, 29.06,-0.38
VIPIND, EQ, 01-Oct-2024,538.05,539.0,545.9,530.2,543.0,539.0,535.78,746356,3998.83,22385, 298918, 40.05,0.18
VIPIND, EQ, 01-Nov-2021,543.3,560.0,560.0,538.05, 545.55,549.5,548.27,389456,2135.27,19065, 160225, 41.14,1.14
VIPIND, EQ, 01-Nov-2022,747.1,760.0,765.0,726.85,732.0,731.65,740.91,532290,3943.8,21290, 208352, 39.14,-2.07
VIPIND, EQ, 01-Nov-2023,609.35,609.65,620.85,592.1, 594.95,596.05,606.21,637859,3866.74,20374, 270879, 42.47,-2.18
VIPIND, EQ, 01-Dec-2020,361.45,366.0,372.6,358.2,360.5,362.6,365.21,649967,2373.77,16915, 294030, 45.24,0.32
VIPIND, EQ, 01-Dec-2021,559.1,570.0,574.0,542.0,544.2,548.0,552.99,167136,924.25,10885, 42332, 25.33,-1.99
VIPIND, EQ, 01-Dec-2022,720.55,720.55,732.0,714.05,719.9,720.55,721.82,174539,1259.85,8478, 68469, 39.23,0.0
VIPIND, EQ, 01-Dec-2023,606.3,607.0,610.9,595.1, 597.00,597.1,601.58,510161,3069.04,15877, 320225, 62.77,-1.52
VIPIND, EQ, 02-Jan-2020,429.05,427.0,438.0,425.1, 431.50,429.95,434.49,265949,1155.52,6353, 175545, 66.01,0.21
VIPIND, EQ, 02-Jan-2023,668.15,671.5,690.0,666.95, 685.15,687.6,680.73,109594,746.04,6019, 47841, 43.65,2.91
VIPIND, EQ, 02-Jan-2024,609.95,614.0,614.65,597.55, 600.00,599.0,602.14,665228,4005.59,19873, 398563, 59.91,-1.8
VIPIND, EQ, 02-Jan-2025,483.05,485.3,485.3,475.0,482.6,483.5,480.81,258364,1242.24,12055, 135466, 52.43,0.09
VIPIND, EQ, 02-Feb-2021,348.35,354.5,357.65,350.1, 352.00,351.65,353.31,327054,1155.52,5456, 224587, 68.67,0.95
