SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VMM, EQ, 01-Jan-2025,106.43,106.0,106.9,105.02,105.55,105.91,106.15,11689297,12408.47,50319, 4349342, 37.21,-0.49
VMM, EQ, 01-Apr-2025,104.24,102.45,104.95,102.4,103.92,103.73,103.71,5393493,5593.49,25888, 1934696, 35.87,-0.49
VMM, EQ, 02-Jan-2025,105.91,106.0,111.15,105.4,107.22,107.36,108.34,47689604,51668.7,261612, 16367393, 34.32,1.37
VMM, EQ, 02-Apr-2025,103.73,104.02,111.25,103.5,107.3,107.71,108.0,31785802,34327.55,111950, 11253980, 35.41,3.84
VMM, EQ, 03-Jan-2025,107.36,109.0,117.34,108.56,112.5,112.18,113.86,112322902,127894.13,316679, 35198904, 31.34,4.49
VMM, EQ, 03-Feb-2025,115.26,113.0,121.7,111.41,116.49,115.34,117.8,66098244,77867.0,201514, 18444186, 27.90,0.07
VMM, EQ, 03-Mar-2025,100.21,102.0,102.48,96.75,101.1,101.09,99.99,14043750,14042.7,57617, 5457332, 38.86,0.88
VMM, EQ, 03-Apr-2025,107.71,106.49,110.0,106.1,109.5,109.43,108.64,10152297,11029.17,39307, 3074815, 30.29,1.6
VMM, EQ, 04-Feb-2025,115.34,117.7,126.87,115.34,123.18,125.4,122.52,80861240,99070.42,208573, 23857058, 29.50,8.72
VMM, EQ, 04-Mar-2025,101.09,99.92,103.6,99.71,102.02,102.11,102.33,12493393,12784.79,38099, 4659304, 37.29,1.01
VMM, EQ, 04-Apr-2025,109.43,109.0,109.35,104.8,105.95,105.79,106.81,10165539,10858.11,46272, 4459047, 43.86,-3.33
VMM, EQ, 05-Feb-2025,125.4,123.66,125.28,119.8,120.72,120.5,122.5,26529155,32498.1,101436, 7075437, 26.67,-3.91
VMM, EQ, 05-Mar-2025,102.11,102.64,105.83,102.62,105.06,105.13,104.88,15567685,16326.77,42530, 7170356, 46.06,2.96
VMM, EQ, 06-Jan-2025,112.18,112.98,113.44,104.11,105.2,104.84,108.37,40015050,43364.14,144857, 14374690, 35.92,-6.54
VMM, EQ, 06-Feb-2025,120.5,121.0,121.69,115.14,117.01,116.12,117.09,20426958,23917.51,74389, 7856164, 38.46,-3.63
VMM, EQ, 06-Mar-2025,105.13,105.99,108.2,105.23,107.0,107.09,107.08,15126847,16197.64,59806, 6865040, 45.38,1.86
VMM, EQ, 07-Jan-2025,104.84,107.0,114.35,106.7,113.85,113.58,110.74,52702210,58360.64,164654, 16735752, 31.76,8.34
VMM, EQ, 07-Feb-2025,116.12,116.85,117.75,112.5,113.1,113.13,115.3,21971999,25333.13,83001, 5890206, 26.81,-2.57
VMM, EQ, 07-Mar-2025,107.09,107.9,108.0,103.55,104.64,104.57,105.01,17841529,18736.25,59576, 7194715, 40.33,-2.35
VMM, EQ, 07-Apr-2025,105.79,96.35,103.4,96.3,103.01,102.49,99.95,18481084,18471.95,101306, 8973540, 48.56,-3.12
VMM, EQ, 08-Jan-2025,113.58,113.69,113.79,109.61,111.27,111.47,111.62,28699821,32033.4,118568, 6097166, 21.24,-1.86
VMM, EQ, 08-Apr-2025,102.49,104.55,105.25,102.81,104.5,104.3,104.17,7817030,8142.9,41798, 3582494, 45.83,1.77
VMM, EQ, 09-Jan-2025,111.47,111.45,116.49,109.5,111.15,110.94,112.93,37520221,42372.17,137162, 9805664, 26.13,-0.48
VMM, EQ, 09-Apr-2025,104.3,103.1,105.75,102.25,102.83,102.92,104.04,5179352,5388.82,40370, 1796579, 34.69,-1.32
VMM, EQ, 10-Jan-2025,110.94,110.9,111.37,107.3,108.2,108.51,109.11,24824477,27086.71,83915, 8305314, 33.46,-2.19
VMM, EQ, 10-Feb-2025,113.13,112.81,113.65,108.6,111.4,111.32,110.81,19121374,21188.22,76569, 5810239, 30.39,-1.6
VMM, EQ, 10-Mar-2025,104.57,105.0,106.0,101.8,102.1,102.38,103.91,10782599,11203.71,39249, 4188118, 38.84,-2.09
VMM, EQ, 11-Feb-2025,111.32,111.4,111.87,106.21,107.65,107.05,107.73,16153714,17402.06,54387, 6020872, 37.27,-3.84
