SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
VOLTAMP, EQ, 01-Jan-2020,1206.4,1206.45,1224.85,1195.05, 1200.00,1205.0,1212.43,10727,130.06,903, 7877, 73.43,-0.12
VOLTAMP, EQ, 01-Jan-2021,1248.15,1254.0,1258.45,1235.0, 1237.20,1241.3,1246.34,4830,60.2,811, 3178, 65.80,-0.55
VOLTAMP, EQ, 01-Jan-2024,6520.6,6553.25,6770.0,6544.25, 6700.00,6718.45,6678.3,31720,2118.36,7854, 8245, 25.99,3.03
VOLTAMP, EQ, 01-Jan-2025,10135.8,10200.0,10565.0,10020.8,10414.0,10400.8,10328.47,19834,2048.55,8484, 6539, 32.97,2.61
VOLTAMP, EQ, 01-Feb-2021,1199.95,1191.5,1234.95,1170.0, 1220.00,1217.6,1202.83,5138,61.8,1139, 2863, 55.72,1.47
VOLTAMP, EQ, 01-Feb-2022,2074.5,2050.1,2061.0,2000.8,2019.0,2020.55,2032.29,13165,267.55,2572, 6660, 50.59,-2.6
VOLTAMP, EQ, 01-Feb-2023,2525.75,2530.0,2600.0,2452.95, 2505.00,2505.75,2547.2,8565,218.17,2396, 3894, 45.46,-0.79
VOLTAMP, EQ, 01-Feb-2024,8054.3,8199.0,8204.45,7850.0, 7920.00,7954.1,7986.79,22775,1818.99,10910, 10792, 47.39,-1.24
VOLTAMP, EQ, 01-Mar-2021,1150.05,1155.85,1190.0,1152.05, 1166.15,1173.75,1172.87,7170,84.09,1150, 3246, 45.27,2.06
VOLTAMP, EQ, 01-Mar-2023,2730.25,2743.9,2824.0,2735.1, 2791.25,2804.55,2789.08,8429,235.09,2151, 2601, 30.86,2.72
VOLTAMP, EQ, 01-Mar-2024,8806.95,8980.0,9020.15,8555.0, 8645.00,8653.05,8724.35,33975,2964.1,12987, 17908, 52.71,-1.75
VOLTAMP, EQ, 01-Apr-2020,880.05,855.05,934.9,852.65,879.85,862.75,892.72,9411,84.01,2216, 5966, 63.39,-1.97
VOLTAMP, EQ, 01-Apr-2021,1095.05,1100.0,1120.0,1072.1, 1080.00,1081.65,1097.96,9994,109.73,1235, 4681, 46.84,-1.22
VOLTAMP, EQ, 01-Apr-2022,1960.1,1981.0,1993.15,1935.0, 1970.00,1968.55,1959.39,5994,117.45,1283, 3604, 60.13,0.43
VOLTAMP, EQ, 01-Apr-2024,9670.95,9757.2,9878.0,9602.75, 9845.00,9838.8,9760.38,51555,5031.96,9534, 36328, 70.46,1.74
VOLTAMP, EQ, 01-Apr-2025,7136.35,7136.35,7217.7,6950.1,7050.0,7058.65,7061.47,46781,3303.43,16772, 16350, 34.95,-1.09
VOLTAMP, EQ, 01-Jun-2020,857.55,870.0,895.0,859.1, 894.70,891.35,882.49,9342,82.44,1012, 4215, 45.12,3.94
VOLTAMP, EQ, 01-Jun-2021,1196.4,1202.4,1213.45,1115.2, 1157.80,1160.0,1161.65,17137,199.07,2883, 7429, 43.35,-3.04
VOLTAMP, EQ, 01-Jun-2022,2277.5,2278.0,2382.3,2278.0,2350.0,2347.0,2340.84,23427,548.39,4398, 9119, 38.93,3.05
VOLTAMP, EQ, 01-Jun-2023,4178.1,4145.0,4249.95,4111.1, 4120.00,4131.85,4169.21,31205,1301.0,6779, 13320, 42.69,-1.11
VOLTAMP, EQ, 01-Jul-2020,1091.6,1092.5,1099.0,1056.1, 1060.10,1063.2,1074.53,16436,176.61,3021, 6806, 41.41,-2.6
VOLTAMP, EQ, 01-Jul-2021,1383.7,1390.55,1424.9,1350.25, 1380.00,1379.35,1397.29,23032,321.82,3295, 13705, 59.50,-0.31
VOLTAMP, EQ, 01-Jul-2022,2874.4,2850.55,2989.85,2835.0,2970.0,2962.9,2930.4,86606,2537.91,15651, 25535, 29.48,3.08
VOLTAMP, EQ, 01-Jul-2024,11003.8,11347.0,12108.65,11145.8,11987.75,11975.95,11702.92,91210,10674.23,20580, 52869, 57.96,8.83
VOLTAMP, EQ, 01-Aug-2022,3495.7,3494.0,3549.9,3412.0, 3471.00,3475.45,3490.66,24479,854.48,6609, 11456, 46.80,-0.58
VOLTAMP, EQ, 01-Aug-2023,4630.7,4630.0,4772.05,4609.6, 4665.00,4665.65,4697.23,30408,1428.33,7562, 10119, 33.28,0.75
VOLTAMP, EQ, 01-Aug-2024,13506.7,13737.0,13815.0,13543.25,13612.0,13616.9,13675.64,17402,2379.84,7541, 6874, 39.50,0.82
VOLTAMP, EQ, 01-Sep-2020,1185.4,1160.5,1198.9,1133.0, 1137.50,1140.0,1146.85,7007,80.36,1354, 3635, 51.88,-3.83
VOLTAMP, EQ, 01-Sep-2021,1434.5,1431.0,1441.7,1395.0,1406.0,1404.3,1409.55,16148,227.61,2891, 10060, 62.30,-2.11
VOLTAMP, EQ, 01-Sep-2022,2777.2,2775.0,2860.0,2753.2,2806.0,2804.7,2820.52,18285,515.73,4557, 7967, 43.57,0.99
VOLTAMP, EQ, 01-Sep-2023,5753.75,5690.0,5757.4,5660.0, 5682.10,5688.4,5697.5,14978,853.37,4578, 7166, 47.84,-1.14
VOLTAMP, EQ, 01-Oct-2020,979.15,993.0,995.05,980.1, 982.05,982.9,986.58,8918,87.98,909, 5129, 57.51,0.38
VOLTAMP, EQ, 01-Oct-2021,1503.5,1511.0,1569.9,1486.5, 1529.00,1524.45,1536.04,29931,459.75,6098, 13726, 45.86,1.39
VOLTAMP, EQ, 01-Oct-2024,13179.2,12951.0,13140.05,12915.0,12982.25,12959.95,12975.69,25155,3264.03,6175, 18397, 73.13,-1.66
VOLTAMP, EQ, 01-Nov-2021,1496.9,1529.95,1637.35,1490.6, 1628.10,1621.75,1593.56,82483,1314.42,9481, 46069, 55.85,8.34
VOLTAMP, EQ, 01-Nov-2022,2724.55,2752.9,2794.0,2704.0,2794.0,2777.55,2747.63,14497,398.32,2460, 6989, 48.21,1.95
VOLTAMP, EQ, 01-Nov-2023,4805.85,4829.9,4995.0,4829.9, 4883.00,4881.85,4918.59,52002,2557.76,12276, 21975, 42.26,1.58
VOLTAMP, EQ, 01-Dec-2020,1180.2,1186.15,1240.0,1131.35,1166.05,1170.75,1199.02,26175,313.84,3115, 11107, 42.43,-0.8
VOLTAMP, EQ, 01-Dec-2021,1906.6,1906.95,1955.0,1906.95,1949.0,1936.85,1932.87,5115,98.87,1634, 2826, 55.25,1.59
VOLTAMP, EQ, 01-Dec-2022,2690.8,2743.1,2743.95,2648.0,2668.5,2662.05,2686.29,7941,213.32,1747, 4085, 51.44,-1.07
VOLTAMP, EQ, 01-Dec-2023,5502.85,5549.0,5765.2,5452.05, 5719.00,5728.6,5675.36,92201,5232.74,20809, 26752, 29.01,4.1
VOLTAMP, EQ, 02-Jan-2020,1205.0,1225.85,1225.85,1201.0, 1211.00,1209.45,1213.45,2412,29.27,309, 1417, 58.75,0.37
VOLTAMP, EQ, 02-Jan-2023,2772.5,2750.0,2769.95,2708.0, 2715.60,2714.0,2736.57,4564,124.9,1625, 1700, 37.25,-2.11
VOLTAMP, EQ, 02-Jan-2024,6718.45,6696.35,6774.9,6361.5, 6390.00,6388.95,6510.02,39868,2595.42,8375, 24599, 61.70,-4.9
VOLTAMP, EQ, 02-Jan-2025,10400.8,10460.0,10492.85,10251.0,10375.0,10426.25,10350.41,15691,1624.08,6174, 8392, 53.48,0.24
VOLTAMP, EQ, 02-Feb-2021,1217.6,1240.0,1258.0,1220.9, 1250.00,1249.5,1245.73,7297,90.9,1395, 3833, 52.53,2.62
VOLTAMP, EQ, 02-Feb-2022,2020.55,2025.6,2059.0,2016.05, 2045.00,2051.9,2043.64,4825,98.61,954, 3117, 64.60,1.55
VOLTAMP, EQ, 02-Feb-2023,2505.75,2471.0,2650.0,2470.05, 2625.00,2636.75,2605.85,13327,347.28,2926, 6226, 46.72,5.23
VOLTAMP, EQ, 02-Feb-2024,7954.1,7940.0,8084.85,7849.0, 8016.50,7994.85,7987.46,18688,1492.7,8097, 8566, 45.84,0.51
VOLTAMP, EQ, 02-Mar-2020,1242.4,1280.7,1299.0,1259.25, 1270.00,1267.0,1274.96,12420,158.35,1191, 9911, 79.80,1.98
VOLTAMP, EQ, 02-Mar-2021,1173.75,1179.65,1188.0,1152.0,1171.0,1177.15,1174.65,5566,65.38,1125, 2728, 49.01,0.29
VOLTAMP, EQ, 02-Mar-2022,1902.5,1900.0,1919.45,1851.0, 1861.00,1864.05,1884.69,4286,80.78,1125, 2008, 46.85,-2.02
VOLTAMP, EQ, 02-Mar-2023,2804.55,2818.6,2848.0,2751.5, 2761.05,2772.4,2791.52,3743,104.49,1258, 1909, 51.00,-1.15
VOLTAMP, EQ, 02-Apr-2024,9838.8,9838.8,10083.8,9770.6, 9806.90,9841.35,9908.39,27603,2735.01,10184, 12390, 44.89,0.03
VOLTAMP, EQ, 02-Apr-2025,7058.65,7175.0,7175.0,6886.15,7060.0,7053.95,7007.45,32362,2267.75,8653, 9244, 28.56,-0.07
VOLTAMP, EQ, 02-May-2022,1877.3,1875.0,1930.0,1875.0,1910.0,1919.4,1901.88,4007,76.21,803, 2274, 56.75,2.24
VOLTAMP, EQ, 02-May-2023,2987.1,3011.85,3060.05,2990.0, 3020.00,3025.45,3023.06,14494,438.16,3526, 8148, 56.22,1.28
VOLTAMP, EQ, 02-May-2024,10399.15,10400.0,10988.8,10362.0, 10960.00,10947.1,10772.63,41400,4459.87,11481, 20875, 50.42,5.27
VOLTAMP, EQ, 02-Jun-2020,891.35,895.9,919.0,865.0,913.9,913.6,907.5,10797,97.98,1184, 7633, 70.70,2.5
VOLTAMP, EQ, 02-Jun-2021,1160.0,1156.0,1198.0,1151.0, 1188.00,1193.3,1182.28,7024,83.04,1214, 3673, 52.29,2.87
VOLTAMP, EQ, 02-Jun-2022,2347.0,2347.1,2466.0,2337.4,2342.0,2357.8,2407.02,56259,1354.17,9941, 11957, 21.25,0.46
VOLTAMP, EQ, 02-Jun-2023,4131.85,4150.95,4168.2,4075.1, 4090.00,4099.9,4106.05,18637,765.24,5495, 9139, 49.04,-0.77
VOLTAMP, EQ, 02-Jul-2020,1063.2,1056.5,1121.85,1028.3, 1096.45,1089.45,1090.76,25187,274.73,3994, 10238, 40.65,2.47
VOLTAMP, EQ, 02-Jul-2021,1379.35,1382.3,1402.75,1364.1,1379.5,1376.2,1385.17,10005,138.59,2554, 6352, 63.49,-0.23
VOLTAMP, EQ, 02-Jul-2024,11975.95,12179.45,12179.45,11712.0,11900.0,11847.75,11859.24,21145,2507.64,8578, 9453, 44.71,-1.07
VOLTAMP, EQ, 02-Aug-2021,1556.3,1558.0,1589.0,1547.0,1547.0,1554.4,1562.86,6400,100.02,1296, 2681, 41.89,-0.12
VOLTAMP, EQ, 02-Aug-2022,3475.45,3475.45,3546.35,3443.9,3471.0,3478.3,3502.48,20363,713.21,5356, 9728, 47.77,0.08
VOLTAMP, EQ, 02-Aug-2023,4665.65,4698.0,4769.9,4487.0, 4590.00,4609.75,4608.58,28703,1322.8,8019, 9067, 31.59,-1.2
VOLTAMP, EQ, 02-Aug-2024,13616.9,13500.0,13800.0,13330.6,13650.0,13627.0,13567.95,14969,2030.99,7136, 5832, 38.96,0.07
VOLTAMP, EQ, 02-Sep-2020,1140.0,1169.95,1169.95,1100.0, 1114.00,1108.35,1118.56,12732,142.42,2181, 8306, 65.24,-2.78
VOLTAMP, EQ, 02-Sep-2021,1404.3,1410.0,1410.7,1387.85, 1400.00,1399.1,1398.48,7662,107.15,1147, 4900, 63.95,-0.37
VOLTAMP, EQ, 02-Sep-2022,2804.7,2812.0,2824.95,2751.65,2760.0,2757.75,2778.18,11566,321.32,2910, 5267, 45.54,-1.67
VOLTAMP, EQ, 02-Sep-2024,14104.45,14249.9,14400.0,13697.25,13968.0,13988.0,13957.59,15650,2184.36,7209, 7197, 45.99,-0.83
VOLTAMP, EQ, 02-Nov-2020,985.8,976.6,990.0,973.0, 984.10,984.0,981.0,2091,20.51,480, 1323, 63.27,-0.18
VOLTAMP, EQ, 02-Nov-2021,1621.75,1624.0,1633.25,1576.0, 1607.00,1607.05,1602.68,59765,957.84,5852, 38382, 64.22,-0.91
VOLTAMP, EQ, 02-Nov-2022,2777.55,2777.55,2844.8,2777.55,2822.1,2820.0,2817.76,12713,358.22,2366, 5930, 46.65,1.53
VOLTAMP, EQ, 02-Nov-2023,4881.85,4906.3,4979.95,4820.0, 4875.00,4845.95,4916.16,27976,1375.34,7022, 13108, 46.85,-0.74
VOLTAMP, EQ, 02-Dec-2020,1170.75,1176.5,1200.0,1172.0, 1184.00,1185.95,1182.26,20360,240.71,1443, 16163, 79.39,1.3
VOLTAMP, EQ, 02-Dec-2021,1936.85,1946.55,2185.0,1927.3, 2175.00,2152.45,2112.37,128863,2722.07,18250, 40013, 31.05,11.13
VOLTAMP, EQ, 02-Dec-2022,2662.05,2662.0,2685.95,2640.1, 2650.10,2648.75,2661.28,5222,138.97,1291, 3628, 69.48,-0.5
VOLTAMP, EQ, 02-Dec-2024,10161.15,10300.0,10360.0,10129.5,10247.0,10237.85,10231.33,19511,1996.23,7503, 8433, 43.22,0.75
VOLTAMP, EQ, 03-Jan-2020,1209.45,1218.8,1284.0,1205.0, 1247.00,1249.85,1256.0,48338,607.12,7242, 31860, 65.91,3.34
VOLTAMP, EQ, 03-Jan-2022,1992.05,2002.05,2045.75,2000.0, 2014.95,2007.9,2012.46,5271,106.08,1130, 3462, 65.68,0.8
VOLTAMP, EQ, 03-Jan-2023,2714.0,2727.6,2745.0,2685.95, 2691.10,2697.85,2710.45,9056,245.46,1605, 6656, 73.50,-0.6
