SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
WAAREEENER, EQ, 01-Jan-2025,2854.6,2869.0,2906.0,2842.5,2864.0,2862.2,2871.89,833148,23927.09,50829, 171348, 20.57,0.27
WAAREEENER, EQ, 01-Apr-2025,2404.65,2380.0,2421.0,2368.05,2380.8,2379.85,2389.98,411853,9843.22,33506, 125751, 30.53,-1.03
WAAREEENER, EQ, 02-Jan-2025,2862.2,2870.0,2877.0,2830.0,2833.0,2839.1,2848.02,880522,25077.47,56425, 209899, 23.84,-0.81
WAAREEENER, EQ, 02-Apr-2025,2379.85,2343.75,2343.75,2268.55,2278.9,2280.2,2299.84,1020321,23465.73,70112, 369060, 36.17,-4.19
WAAREEENER, EQ, 02-Dec-2024,2667.75,2695.0,2797.0,2675.05,2735.75,2740.3,2734.9,2898505,79271.29,126161, 581501, 20.06,2.72
WAAREEENER, EQ, 03-Jan-2025,2839.1,2843.1,2892.95,2815.0,2821.5,2820.85,2855.5,968095,27644.0,60654, 247785, 25.60,-0.64
WAAREEENER, EQ, 03-Feb-2025,2402.8,2369.45,2369.45,2275.0,2332.4,2334.4,2316.26,1607782,37240.34,102935, 309444, 19.25,-2.85
WAAREEENER, EQ, 03-Mar-2025,2158.55,2179.0,2179.05,2066.4,2110.0,2116.05,2105.95,1202101,25315.68,73929, 234329, 19.49,-1.97
WAAREEENER, EQ, 03-Apr-2025,2280.2,2239.85,2264.3,2205.05,2230.0,2233.05,2230.78,1239194,27643.66,83901, 338800, 27.34,-2.07
WAAREEENER, EQ, 03-Dec-2024,2740.3,2755.0,2765.1,2690.0,2692.0,2696.95,2715.75,1257966,34163.16,65874, 456233, 36.27,-1.58
WAAREEENER, EQ, 04-Feb-2025,2334.4,2379.8,2403.6,2311.0,2360.0,2353.3,2353.52,1385138,32599.53,89128, 265921, 19.20,0.81
WAAREEENER, EQ, 04-Mar-2025,2116.05,2079.85,2164.0,2072.05,2110.55,2109.45,2125.27,786403,16713.18,54402, 140029, 17.81,-0.31
WAAREEENER, EQ, 04-Apr-2025,2233.05,2232.95,2232.95,2131.2,2165.0,2160.95,2168.04,942611,20436.2,62059, 341662, 36.25,-3.23
WAAREEENER, EQ, 04-Nov-2024,2890.1,2909.65,3016.0,2712.0,2991.1,2990.6,2890.19,12683686,366582.49,486100, 1915266, 15.10,3.48
WAAREEENER, EQ, 04-Dec-2024,2696.95,2702.0,2764.3,2695.0,2716.0,2722.15,2723.51,1211550,32996.74,56823, 346203, 28.58,0.93
WAAREEENER, EQ, 05-Feb-2025,2353.3,2373.95,2414.0,2362.1,2384.0,2381.75,2385.91,944692,22539.47,58328, 202299, 21.41,1.21
WAAREEENER, EQ, 05-Mar-2025,2109.45,2115.2,2247.0,2115.2,2225.0,2224.8,2206.08,1415978,31237.54,76074, 368730, 26.04,5.47
WAAREEENER, EQ, 05-Nov-2024,2990.6,2980.0,3568.8,2931.3,3437.0,3472.7,3238.65,14195138,459731.03,706071, 2278445, 16.05,16.12
WAAREEENER, EQ, 05-Dec-2024,2722.15,2732.35,2949.0,2715.0,2848.4,2839.35,2846.95,4528208,128915.76,191545, 930108, 20.54,4.31
WAAREEENER, EQ, 06-Jan-2025,2820.85,2826.95,2843.4,2695.0,2739.9,2741.6,2766.93,1248844,34554.6,99527, 349590, 27.99,-2.81
WAAREEENER, EQ, 06-Feb-2025,2381.75,2390.0,2398.0,2320.0,2321.0,2329.15,2359.17,613329,14469.49,41905, 173638, 28.31,-2.21
WAAREEENER, EQ, 06-Mar-2025,2224.8,2246.0,2254.0,2199.0,2206.7,2209.9,2218.76,732463,16251.61,46382, 231866, 31.66,-0.67
WAAREEENER, EQ, 06-Nov-2024,3472.7,3435.0,3743.0,3425.0,3632.1,3636.6,3617.15,9495315,343459.7,497511, 1422806, 14.98,4.72
WAAREEENER, EQ, 06-Dec-2024,2839.35,2888.8,2975.0,2852.0,2891.0,2903.1,2918.41,3709349,108254.0,187642, 650036, 17.52,2.25
WAAREEENER, EQ, 07-Jan-2025,2741.6,2748.9,2824.0,2739.9,2763.0,2769.0,2777.36,826532,22955.78,55605, 188692, 22.83,1.0
WAAREEENER, EQ, 07-Feb-2025,2329.15,2321.0,2343.55,2290.2,2292.0,2298.3,2312.9,853039,19729.96,51761, 156396, 18.33,-1.32
WAAREEENER, EQ, 07-Mar-2025,2209.9,2204.9,2281.45,2191.4,2228.0,2226.1,2240.31,828511,18561.24,53957, 168806, 20.37,0.73
WAAREEENER, EQ, 07-Apr-2025,2160.95,1869.95,2137.7,1863.0,2120.5,2092.15,2038.51,1530620,31201.8,111326, 513738, 33.56,-3.18
WAAREEENER, EQ, 07-Nov-2024,3636.6,3574.0,3619.8,3300.0,3346.0,3348.65,3421.25,5831790,199520.04,346385, 1635008, 28.04,-7.92
WAAREEENER, EQ, 08-Jan-2025,2769.0,2755.0,2760.6,2686.5,2690.0,2697.65,2715.74,757064,20559.86,56651, 258766, 34.18,-2.58
WAAREEENER, EQ, 08-Apr-2025,2092.15,2151.2,2178.0,2100.2,2115.0,2114.8,2134.28,658407,14052.25,52846, 167967, 25.51,1.08
WAAREEENER, EQ, 08-Nov-2024,3348.65,3304.95,3414.0,3056.75, 3110.00,3133.7,3215.48,4885739,157099.78,293774, 1130149, 23.13,-6.42
WAAREEENER, EQ, 09-Jan-2025,2697.65,2693.3,2693.3,2591.0,2597.0,2600.4,2625.42,1032882,27117.46,79443, 355554, 34.42,-3.6
WAAREEENER, EQ, 09-Apr-2025,2114.8,2114.0,2161.85,2072.2,2155.5,2149.4,2116.34,633205,13400.8,42520, 169470, 26.76,1.64
WAAREEENER, EQ, 09-Dec-2024,2903.1,2918.4,2992.0,2902.0,2972.0,2971.3,2947.68,2843345,83812.71,135997, 646938, 22.75,2.35
WAAREEENER, EQ, 10-Jan-2025,2600.4,2585.0,2647.55,2560.0,2561.0,2565.0,2593.28,1258932,32647.61,89426, 324008, 25.74,-1.36
WAAREEENER, EQ, 10-Feb-2025,2298.3,2298.3,2299.0,2222.6,2268.1,2268.3,2257.4,876016,19775.22,58836, 229727, 26.22,-1.31
WAAREEENER, EQ, 10-Mar-2025,2226.1,2237.8,2250.0,2125.0,2131.0,2140.9,2181.79,637758,13914.56,51946, 223482, 35.04,-3.83
WAAREEENER, EQ, 10-Dec-2024,2971.3,3020.0,3185.0,3020.0,3140.0,3134.65,3124.14,5205256,162619.69,263850, 907553, 17.44,5.5
WAAREEENER, EQ, 11-Feb-2025,2268.3,2268.0,2270.0,2152.5,2164.0,2166.3,2191.3,1056788,23157.41,75738, 335635, 31.76,-4.5
WAAREEENER, EQ, 11-Mar-2025,2140.9,2110.0,2129.95,2086.75,2127.75,2114.25,2108.88,723430,15256.26,48653, 199823, 27.62,-1.24
WAAREEENER, EQ, 11-Apr-2025,2149.4,2240.0,2240.0,2150.0,2153.0,2161.45,2173.9,666422,14487.32,41964, 200045, 30.02,0.56
WAAREEENER, EQ, 11-Nov-2024,3133.7,3071.0,3122.0,2820.35, 2820.35,2822.8,2933.06,4711657,138195.72,265431, 1263542, 26.82,-9.92
WAAREEENER, EQ, 11-Dec-2024,3134.65,3143.0,3231.0,3134.65,3169.0,3174.7,3184.16,2544371,81016.84,126662, 482042, 18.95,1.28
WAAREEENER, EQ, 12-Feb-2025,2166.3,2147.9,2215.0,2111.1,2195.45,2190.8,2171.48,1739591,37774.86,110690, 269544, 15.49,1.13
WAAREEENER, EQ, 12-Mar-2025,2114.25,2130.0,2149.75,2102.0,2112.5,2117.55,2122.06,448119,9509.35,37060, 127264, 28.40,0.16
WAAREEENER, EQ, 12-Nov-2024,2822.8,2821.0,3014.0,2762.25,2859.7,2870.0,2908.68,3934523,114442.75,229523, 708975, 18.02,1.67
WAAREEENER, EQ, 12-Dec-2024,3174.7,3235.0,3445.45,3210.05,3295.05,3292.25,3323.87,8948458,297435.12,431607, 1283034, 14.34,3.7
WAAREEENER, EQ, 13-Jan-2025,2565.0,2552.25,2648.0,2475.0,2487.95,2487.2,2552.19,1691859,43179.49,110633, 456327, 26.97,-3.03
WAAREEENER, EQ, 13-Feb-2025,2190.8,2191.1,2258.0,2168.25,2204.9,2194.05,2219.47,1047889,23257.54,67189, 146690, 14.00,0.15
WAAREEENER, EQ, 13-Mar-2025,2117.55,2128.0,2153.9,2096.4,2125.2,2125.25,2127.51,525713,11184.61,45905, 166871, 31.74,0.36
WAAREEENER, EQ, 13-Nov-2024,2870.0,2905.1,2970.0,2784.0,2899.0,2875.75,2873.37,2124099,61033.31,132366, 499295, 23.51,0.2
WAAREEENER, EQ, 13-Dec-2024,3292.25,3270.0,3279.9,3162.0,3211.5,3217.05,3219.07,3292067,105973.89,166447, 634908, 19.29,-2.28
WAAREEENER, EQ, 14-Jan-2025,2487.2,2520.0,2635.0,2493.1,2635.0,2617.1,2578.38,1667039,42982.64,114209, 330763, 19.84,5.22
WAAREEENER, EQ, 14-Feb-2025,2194.05,2210.9,2218.95,2085.25,2099.95,2103.9,2131.79,1067068,22747.68,86007, 272146, 25.50,-4.11
WAAREEENER, EQ, 14-Nov-2024,2875.75,2900.0,2968.0,2872.0, 2915.95,2917.45,2923.62,1428158,41753.84,96107, 364367, 25.51,1.45
WAAREEENER, EQ, 15-Jan-2025,2617.1,2655.0,2684.9,2590.0,2609.0,2609.9,2636.22,981806,25882.59,57143, 205993, 20.98,-0.28
WAAREEENER, EQ, 15-Apr-2025,2161.45,2200.0,2223.9,2176.2,2214.4,2218.5,2203.43,617429,13604.6,40255, 208874, 33.83,2.64
WAAREEENER, EQ, 16-Jan-2025,2609.9,2650.0,2683.95,2630.05,2656.0,2648.5,2656.37,738069,19605.84,51028, 175888, 23.83,1.48
WAAREEENER, EQ, 16-Apr-2025,2218.5,2218.0,2261.2,2200.6,2250.0,2229.6,2229.57,675975,15071.35,46765, 219446, 32.46,0.5
WAAREEENER, EQ, 16-Dec-2024,3217.05,3225.0,3257.55,3111.15,3121.0,3133.15,3174.89,2066749,65617.05,119768, 641094, 31.02,-2.61
WAAREEENER, EQ, 17-Jan-2025,2648.5,2656.0,2656.0,2595.0,2606.0,2605.3,2612.08,421725,11015.81,33968, 122033, 28.94,-1.63
WAAREEENER, EQ, 17-Feb-2025,2103.9,2100.0,2185.9,2052.4,2181.0,2173.6,2125.14,1362233,28949.36,107390, 246622, 18.10,3.31
WAAREEENER, EQ, 17-Mar-2025,2125.25,2138.9,2183.0,2090.0,2112.9,2114.9,2149.69,649782,13968.28,47381, 186676, 28.73,-0.49
WAAREEENER, EQ, 17-Apr-2025,2229.6,2279.0,2377.1,2275.0,2317.0,2323.0,2331.78,2672712,62321.67,134322, 494610, 18.51,4.19
WAAREEENER, EQ, 17-Dec-2024,3133.15,3133.1,3245.5,3081.0,3095.0,3101.0,3175.72,3220058,102260.04,168388, 590592, 18.34,-1.03
WAAREEENER, EQ, 18-Feb-2025,2173.6,2181.0,2193.05,2134.35,2170.05,2164.6,2163.77,837027,18111.31,59462, 175584, 20.98,-0.41
WAAREEENER, EQ, 18-Mar-2025,2114.9,2150.0,2186.75,2131.9,2182.0,2178.8,2166.94,648856,14060.34,42440, 239081, 36.85,3.02
WAAREEENER, EQ, 18-Nov-2024,2917.45,2950.0,3186.0,2893.3,3106.0,3114.45,3072.85,3696718,113594.71,223007, 747508, 20.22,6.75
WAAREEENER, EQ, 18-Dec-2024,3101.0,3111.0,3145.0,3017.6,3042.0,3042.15,3065.05,2029095,62192.81,111757, 397228, 19.58,-1.9
WAAREEENER, EQ, 19-Feb-2025,2164.6,2150.0,2266.85,2135.0,2216.9,2220.3,2220.17,1104031,24511.35,74297, 180886, 16.38,2.57
WAAREEENER, EQ, 19-Mar-2025,2178.8,2192.9,2268.4,2184.0,2257.0,2255.2,2236.01,828453,18524.29,55969, 270117, 32.60,3.51
WAAREEENER, EQ, 19-Nov-2024,3114.45,2950.0,3044.0,2880.0,2883.0,2901.8,2970.14,3339933,99200.61,195909, 759398, 22.74,-6.83
WAAREEENER, EQ, 19-Dec-2024,3042.15,2950.0,3108.0,2941.05,3041.3,3039.1,3048.82,2375391,72421.48,124727, 408515, 17.20,-0.1
WAAREEENER, EQ, 20-Jan-2025,2605.3,2620.9,2667.45,2611.0,2638.5,2634.6,2638.01,543690,14342.62,37328, 132696, 24.41,1.12
WAAREEENER, EQ, 20-Feb-2025,2220.3,2225.0,2364.9,2220.0,2304.0,2309.3,2302.63,2298701,52930.47,126218, 334141, 14.54,4.01
WAAREEENER, EQ, 20-Mar-2025,2255.2,2271.9,2303.65,2222.3,2244.0,2253.4,2257.39,754449,17030.82,57250, 274577, 36.39,-0.08
WAAREEENER, EQ, 19-Nov-2024,3114.45,2950.0,3044.0,2880.0,2883.0,2901.8,2970.14,3339933,99200.61,195909, 759398, 22.74,-6.83
WAAREEENER, EQ, 20-Dec-2024,3039.1,3073.55,3085.95,2865.0,2871.0,2879.35,2958.79,2106023,62312.82,137139, 663855, 31.52,-5.26
WAAREEENER, EQ, 21-Jan-2025,2634.6,2674.55,2721.0,2591.1,2678.0,2673.4,2656.74,1216649,32323.26,77298, 267100, 21.95,1.47
WAAREEENER, EQ, 21-Feb-2025,2309.3,2310.0,2344.4,2242.0,2247.0,2260.7,2278.34,939735,21410.36,68715, 235304, 25.04,-2.1
WAAREEENER, EQ, 21-Mar-2025,2253.4,2254.55,2374.0,2233.0,2358.0,2352.9,2312.74,1349324,31206.33,88286, 444139, 32.92,4.42
WAAREEENER, EQ, 21-Apr-2025,2323.0,2350.0,2466.0,2345.1,2443.0,2444.2,2401.17,2146286,51535.9,95793, 702766, 32.74,5.22
WAAREEENER, EQ, 21-Nov-2024,2901.8,2883.0,2915.0,2690.0,2730.0,2721.45,2799.13,2282806,63898.71,157348, 689255, 30.19,-6.22
WAAREEENER, EQ, 22-Jan-2025,2673.4,2680.0,2680.0,2362.25,2424.0,2425.1,2457.42,5626060,138256.08,323312, 1705319, 30.31,-9.29
WAAREEENER, EQ, 22-Apr-2025,2444.2,2520.0,2649.0,2508.0,2645.0,2615.9,2585.59,6040348,156178.76,270741, 1083343, 17.94,7.02
WAAREEENER, EQ, 22-Nov-2024,2721.45,2738.0,2805.0,2672.0,2702.0,2705.2,2725.91,1588761,43308.25,103424, 326064, 20.52,-0.6
WAAREEENER, EQ, 23-Jan-2025,2425.1,2435.9,2464.3,2317.85,2355.95,2343.4,2380.08,2825108,67239.94,211795, 707776, 25.05,-3.37
WAAREEENER, EQ, 23-Apr-2025,2615.9,2820.0,3116.3,2740.8,3002.0,3007.7,2933.25,21378307,627078.33,810623, 2578190, 12.06,14.98
WAAREEENER, EQ, 23-Dec-2024,2879.35,2922.0,2968.0,2830.45,2948.3,2932.45,2908.18,2082511,60563.16,122053, 367510, 17.65,1.84
WAAREEENER, EQ, 24-Jan-2025,2343.4,2369.95,2394.4,2207.0,2225.0,2241.7,2284.93,2527905,57760.98,146885, 725286, 28.69,-4.34
WAAREEENER, EQ, 24-Feb-2025,2260.7,2207.95,2274.8,2195.05,2229.0,2232.85,2241.26,755727,16937.83,54712, 142584, 18.87,-1.23
WAAREEENER, EQ, 24-Mar-2025,2352.9,2395.0,2449.7,2382.65,2429.95,2431.35,2421.32,1068155,25863.47,67044, 310157, 29.04,3.33
WAAREEENER, EQ, 24-Apr-2025,3007.7,2920.0,2956.0,2821.5,2832.0,2839.9,2879.61,6266062,180437.86,335367, 1290711, 20.60,-5.58
WAAREEENER, EQ, 24-Dec-2024,2932.45,2958.7,3030.0,2858.75,2868.0,2868.7,2934.35,1921221,56375.27,132501, 470231, 24.48,-2.17
WAAREEENER, EQ, 25-Feb-2025,2232.85,2243.95,2294.9,2241.0,2274.0,2268.75,2269.94,755602,17151.7,46180, 147378, 19.50,1.61
WAAREEENER, EQ, 25-Mar-2025,2431.35,2450.55,2508.0,2392.6,2435.25,2440.95,2448.93,1444601,35377.23,100217, 430119, 29.77,0.39
WAAREEENER, EQ, 25-Apr-2025,2839.9,2625.0,2775.0,2590.2,2668.1,2676.5,2714.48,9185483,249337.99,324046, 2848647, 31.01,-5.75
WAAREEENER, EQ, 25-Nov-2024,2705.2,2789.95,2789.95,2565.0,2590.0,2596.6,2615.27,3059199,80006.36,173271, 1033259, 33.78,-4.01
WAAREEENER, EQ, 26-Mar-2025,2440.95,2454.75,2464.6,2392.5,2423.4,2427.1,2427.37,784170,19034.67,53422, 192278, 24.52,-0.57
