SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
WEL, EQ, 01-Jan-2024,406.35,413.45,413.45,398.0, 400.20,399.9,403.79,5661,22.86,416, 3727, 65.84,-1.59
WEL, EQ, 01-Jan-2025,167.35,167.02,172.99,163.3,164.0,165.48,167.5,781480,1308.98,7744, 300392, 38.44,-1.12
WEL, EQ, 01-Feb-2023,247.6,259.85,259.85,242.0, 242.50,243.7,249.33,2101,5.24,193, 959, 45.64,-1.58
WEL, EQ, 01-Feb-2024,334.45,339.75,339.75,318.3, 322.00,323.35,326.33,4630,15.11,506, 2900, 62.63,-3.32
WEL, EQ, 01-Mar-2023,212.9,222.8,222.8,208.0, 208.00,212.95,213.92,337,0.72,72, 187, 55.49,0.02
WEL, EQ, 01-Mar-2024,471.35,482.0,494.9,465.15, 490.00,491.3,486.56,51043,248.35,1577, 37483, 73.43,4.23
WEL, EQ, 01-Apr-2024,682.25,682.8,716.0,655.0, 714.00,713.3,689.61,28173,194.28,1462, 15929, 56.54,4.55
WEL, EQ, 01-Apr-2025,171.3,171.25,176.0,170.01,170.61,171.72,172.51,128171,221.1,2417, 52832, 41.22,0.25
WEL, EQ, 01-Jun-2023,223.25,232.05,234.4,225.0, 226.10,227.0,230.25,2334,5.37,245, 1222, 52.36,1.68
WEL, EQ, 01-Aug-2023,265.05,269.95,269.95,253.1, 259.15,260.6,260.84,2679,6.99,514, 845, 31.54,-1.68
WEL, EQ, 01-Aug-2024,1251.2,1299.6,1313.75,1210.0,1313.65,1313.3,1292.11,138254,1786.4,3312, 66985, 48.45,4.96
WEL, EQ, 01-Oct-2024,1407.7,1427.7,1427.7,1385.0,1414.6,1409.65,1408.03,24514,345.17,1815, 5356, 21.85,0.14
WEL, EQ, 02-Jan-2024,399.9,407.7,407.7,380.7, 387.00,386.4,390.16,4325,16.87,339, 2749, 63.56,-3.38
WEL, EQ, 02-Jan-2025,165.48,164.6,165.13,154.1,155.26,155.86,157.82,651583,1028.31,8360, 371849, 57.07,-5.81
WEL, EQ, 02-Feb-2023,243.7,249.5,249.5,235.0, 235.25,241.8,243.42,2138,5.2,240, 764, 35.73,-0.78
WEL, EQ, 02-Feb-2024,323.35,329.9,329.9,305.0, 305.00,308.3,316.13,5883,18.6,738, 3361, 57.13,-4.65
