SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
WENDT, EQ, 01-Jan-2020,2822.45,2859.95,2859.95,2790.7, 2813.95,2813.95,2822.02,123,3.47,89, 58, 47.15,-0.3
WENDT, EQ, 01-Jan-2021,3103.65,3130.0,3130.0,3055.0, 3095.00,3090.05,3092.81,369,11.41,128, 256, 69.38,-0.44
WENDT, EQ, 01-Jan-2024,14662.75,14879.9,14879.9,14249.35, 14343.00,14389.35,14619.21,860,125.73,536, 407, 47.33,-1.86
WENDT, EQ, 01-Jan-2025,16643.6,16701.75,16893.75,16435.0,16500.0,16518.25,16547.65,459,75.95,181, 362, 78.87,-0.75
WENDT, EQ, 01-Feb-2021,3161.2,3195.95,3236.0,3160.0, 3206.00,3190.5,3192.51,682,21.77,231, 470, 68.91,0.93
WENDT, EQ, 01-Feb-2022,5271.9,5298.85,5350.0,5211.7,5285.0,5279.1,5261.13,188,9.89,112, 134, 71.28,0.14
WENDT, EQ, 01-Feb-2023,8221.8,8340.0,8340.0,8051.0, 8099.85,8066.65,8164.98,211,17.23,111, 119, 56.40,-1.89
WENDT, EQ, 01-Feb-2024,13070.25,13266.3,13266.3,12811.2, 13049.95,12938.4,12983.07,612,79.46,389, 348, 56.86,-1.01
WENDT, EQ, 01-Mar-2021,3252.0,3259.2,3299.95,3259.15, 3289.95,3270.25,3274.02,247,8.09,98, 161, 65.18,0.56
WENDT, EQ, 01-Mar-2023,8269.5,8215.65,8361.0,8150.0, 8349.00,8344.65,8289.44,220,18.24,133, 145, 65.91,0.91
WENDT, EQ, 01-Mar-2024,12537.45,12470.55,12643.95,12470.55, 12621.00,12589.75,12584.73,147,18.5,99, 85, 57.82,0.42
WENDT, EQ, 01-Apr-2020,1781.55,1840.05,1840.05,1760.0,1830.0,1819.55,1812.86,140,2.54,94, 46, 32.86,2.13
WENDT, EQ, 01-Apr-2021,3147.1,3170.0,3213.0,3130.0, 3213.00,3189.0,3161.16,281,8.88,125, 147, 52.31,1.33
WENDT, EQ, 01-Apr-2022,5060.2,5064.8,5149.9,4974.95, 5124.90,5125.4,5091.14,252,12.83,91, 131, 51.98,1.29
WENDT, EQ, 01-Apr-2024,11233.8,11233.8,11496.0,11172.1, 11496.00,11427.1,11319.35,277,31.35,208, 143, 51.62,1.72
WENDT, EQ, 01-Apr-2025,8861.7,8994.65,9750.85,8917.55,9300.0,9410.5,9409.99,3543,333.4,2147, 787, 22.21,6.19
WENDT, EQ, 01-Jun-2020,2000.95,2030.05,2060.0,2000.0, 2015.00,2021.15,2030.05,322,6.54,132, 175, 54.35,1.01
WENDT, EQ, 01-Jun-2021,3412.25,3469.0,3469.0,3370.0, 3390.00,3408.0,3405.33,1494,50.88,640, 410, 27.44,-0.12
WENDT, EQ, 01-Jun-2022,6896.2,6950.0,7440.0,6867.55,7320.0,7277.55,7287.35,5566,405.61,1911, 1840, 33.06,5.53
WENDT, EQ, 01-Jun-2023,9213.05,9140.3,9303.55,9140.3, 9290.00,9272.0,9265.87,366,33.91,225, 239, 65.30,0.64
WENDT, EQ, 01-Jul-2020,2674.1,2687.95,2718.05,2660.05, 2660.05,2667.6,2680.61,119,3.19,94, 46, 38.66,-0.24
WENDT, EQ, 01-Jul-2021,4358.8,4450.0,4495.0,4336.6, 4370.00,4380.85,4415.33,5036,222.36,1192, 3091, 61.38,0.51
WENDT, EQ, 01-Jul-2022,8350.6,8434.1,8551.3,8112.9,8225.0,8324.45,8296.21,2571,213.3,1047, 1015, 39.48,-0.31
WENDT, EQ, 01-Jul-2024,15643.7,15666.35,15666.35,15200.0,15200.0,15337.85,15449.62,936,144.61,564, 631, 67.41,-1.96
