SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER,PER_CHANGE
ZODJRDMKJ, EQ, 01-Jan-2020,32.8,32.05,32.75,32.0, 32.05,32.05,32.11,1070,0.34,73, 735, 68.69,-2.29
ZODJRDMKJ, EQ, 01-Jan-2021,29.0,30.0,30.0,28.7, 29.05,29.05,29.22,2816,0.82,113, 2274, 80.75,0.17
ZODJRDMKJ, EQ, 01-Feb-2021,28.0,28.95,29.0,27.1, 27.20,27.7,27.99,1855,0.52,136, 583, 31.43,-1.07
ZODJRDMKJ, EQ, 01-Mar-2021,27.85,28.8,28.8,27.05, 27.50,27.45,27.67,3488,0.97,176, 732, 20.99,-1.44
ZODJRDMKJ, EQ, 01-Apr-2020,23.0,22.95,23.0,22.9,23.0,23.0,22.96,38,0.01,5, 19, 50.00,0.0
ZODJRDMKJ, EQ, 01-Apr-2021,24.75,25.35,26.0,24.35, 26.00,25.8,25.36,693,0.18,64, 443, 63.92,4.24
ZODJRDMKJ, EQ, 01-Jun-2020,22.05,22.05,25.15,22.05, 25.15,25.1,24.38,7014,1.71,118, 5262, 75.02,13.83
ZODJRDMKJ, EQ, 01-Jun-2021,35.75,34.3,36.45,34.3, 35.60,35.7,35.64,11389,4.06,156, 7246, 63.62,-0.14
ZODJRDMKJ, EQ, 01-Jul-2020,24.4,23.5,25.3,22.25, 24.60,24.6,24.26,7289,1.77,272, 1690, 23.19,0.82
ZODJRDMKJ, EQ, 01-Sep-2020,27.0,28.2,28.2,25.65, 26.75,26.45,26.51,3119,0.83,51, 2272, 72.84,-2.04
ZODJRDMKJ, EQ, 01-Sep-2021,30.2,30.95,31.0,30.2,31.0,31.0,30.71,307,0.09,15, 284, 92.51,2.65
ZODJRDMKJ, EQ, 01-Oct-2020,24.6,24.6,25.7,24.6, 25.00,25.0,24.9,1139,0.28,24, 839, 73.66,1.63
ZODJRDMKJ, EQ, 01-Dec-2020,23.95,24.45,24.9,23.7,24.7,24.6,24.48,4381,1.07,80, 3981, 90.87,2.71
